Date;Year;Month;Type;sentiment;sentiment_score;sentence
2007-04-12;2007;April;REPORT;Positive;0.544587254524231;introductory statement with qa jeanclaude trichet president of the ecb andlucas papademos vice president of the ecbfrankfurt am main 12 april 2007 jump to the transcript of the questions and answers ladies and gentlemen the vicepresident and i are very pleased to welcome you to todays press conference
2007-04-12;2007;April;REPORT;Neutral;0.953532338142395;let me report on the outcome of our meeting which was also attended by the president of the eurogroup prime minister juncker and commissioner almunia
2007-04-12;2007;April;REPORT;Neutral;0.9924543499946594;on the basis of our regular economic and monetary analyses we decided at todays meeting to leave the key ecb interest rates unchanged
2007-04-12;2007;April;REPORT;Positive;0.7908709645271301;the information that has become available since our last meeting has further underpinned the reasoning behind our decision to increase interest rates in march
2007-04-12;2007;April;REPORT;Neutral;0.9776479005813599;it has also confirmed that the mediumterm outlook for price stability remains subject to upside risks so that very close monitoring of all developments is warranted
2007-04-12;2007;April;REPORT;Neutral;0.9664596915245056;indeed it is essential to ensure that risks to price stability over the medium term do not materialise
2007-04-12;2007;April;REPORT;Positive;0.9830129742622375;this will contribute to ensuring that medium to longerterm inflation expectations in the euro area remain solidly anchored at levels consistent with price stability
2007-04-12;2007;April;REPORT;Neutral;0.6657304763793945;such anchoring is a prerequisite for monetary policy to make an ongoing contribution towards supporting sustainable economic growth and job creation in the euro area
2007-04-12;2007;April;REPORT;Positive;0.9013564586639404;given the favourable economic environment our monetary policy continues to be on the accommodative side with the key ecb interest rates moderate money and credit growth vigorous and liquidity in the euro area ample by all plausible measures
2007-04-12;2007;April;REPORT;Neutral;0.8964850902557373;therefore looking ahead acting in a firm and timely manner to ensure price stability in the medium term is warranted
2007-04-12;2007;April;REPORT;Positive;0.9899314641952515;turning first to the economic analysis recent information has underpinned our assessment of ongoing robust economic growth dynamics in the euro area
2007-04-12;2007;April;REPORT;Neutral;0.9609695672988892;eurostats second estimate has confirmed quarteronquarter real gdp growth in the fourth quarter of 2006 at 09
2007-04-12;2007;April;REPORT;Neutral;0.743598461151123;over the whole year 2006 real gdp grew by 27 in the euro area unadjusted for the number of working days
2007-04-12;2007;April;REPORT;Positive;0.9918389916419983;on the basis of the latest data survey releases and various indicatorbased estimates it appears that robust growth is continuing in the first half of 2007 looking further ahead the conditions are in place for the euro area economy to grow solidly
2007-04-12;2007;April;REPORT;Positive;0.9621902108192444;as regards the external environment global economic growth has become more balanced across regions and while moderating somewhat remains strong
2007-04-12;2007;April;REPORT;Neutral;0.9703206419944763;external conditions thus continue to provide support for euro area exports
2007-04-12;2007;April;REPORT;Positive;0.9923896193504333;domestic demand in the euro area is also expected to maintain its relatively strong momentum
2007-04-12;2007;April;REPORT;Positive;0.9914513230323792;investment should remain dynamic benefiting from an extended period of favourable financing conditions balance sheet restructuring accumulated and ongoing strong corporate earnings and gains in business efficiency
2007-04-12;2007;April;REPORT;Positive;0.9928557872772217;consumption should also strengthen further over time in line with developments in real disposable income increasingly supported by employment growth and improving labour market conditions
