Date;Year;Month;Type;sentiment;sentiment_score;sentence
2007-08-02;2007;August;REPORT;Neutral;0.9455198645591736;transcript of the press briefing held by jeanclaude trichet president of the european central bank following the meeting of the governing council on 2 august 2007 trichet let me just say a few words and then i will be ready to respond to questions as usual
2007-08-02;2007;August;REPORT;Positive;0.9910707473754883;recent economic developments and survey indicators confirm that sustained economic growth continued in the euro area through the second quarter
2007-08-02;2007;August;REPORT;Positive;0.6301754117012024;rising oil prices emerging capacity constraints and the potential for stronger wage and cost dynamics among other factors imply upside risks to price stability over the medium term
2007-08-02;2007;August;REPORT;Neutral;0.5106205344200134;the existence of upside risks to price stability at medium to longerterm horizons is confirmed by the strength of the underlying rate of monetary expansion strong vigilance is therefore of the essence to ensure that risks to price stability over the medium term do not materialise
2007-08-02;2007;August;REPORT;Neutral;0.9834311604499817;both our previous economic and monetary analysis as expressed in particular in the last press conference have been fully confirmed by the ongoing information we have received since the last meeting of the governing council
2007-08-02;2007;August;REPORT;Neutral;0.9791077971458435;let me also stress that we never precommit we decide at the moment of the meeting of the governing council on the basis of the information that we have facts and figures and according to the judgement that we make at that moment
2007-08-02;2007;August;REPORT;Neutral;0.5368383526802063;i reemphasise that we never precommit
2007-08-02;2007;August;REPORT;Negative;0.99068683385849;let me also say that we are experiencing a period of market nervousness a period where we see volatility in markets in general and reappreciation of risks
2007-08-02;2007;August;REPORT;Positive;0.8922697305679321;we think that these developments in financial markets deserve attention
2007-08-02;2007;August;REPORT;Neutral;0.8445701003074646;shifts in market sentiment need careful monitoring
2007-08-02;2007;August;REPORT;Positive;0.6795692443847656;we will continue to pay great attention to the developments in the market over the period to come
2007-08-02;2007;August;REPORT;Neutral;0.9355962872505188;i am now open to questions
2007-08-02;2007;August;REPORT;Neutral;0.9105541706085205;question just three quick questions first of all in your brief remarks do you intend for us to reinterpret the meaning of strong vigilance as opposed to how it has been used in the past
2007-08-02;2007;August;REPORT;Negative;0.8271006941795349;my second question is much of the nervousness that you describe and that we have been seeing in financial markets has to do with the unwinding of novel financial instruments which we are now learning have become conduits for instability around the world but i wondered whether you could also say whether you felt that was the whole picture or whether recent financial innovations were also contributing to the stability of financial markets
2007-08-02;2007;August;REPORT;Neutral;0.8570829629898071;and my third question is could you comment on the macroeconomic effect of rising interest rates through this year especially now that longterm interest rates have done what they historically have done and now that risk premiums are being reassessed
2007-08-02;2007;August;REPORT;Neutral;0.6297588348388672;do you see macroeconomic effects of rising interest rates
2007-08-02;2007;August;REPORT;Neutral;0.9530335664749146;trichet on the first question i do not ask for any new interpretation of the words i have pronounced
2007-08-02;2007;August;REPORT;Neutral;0.978749692440033;they have exactly the same meaning as before
2007-08-02;2007;August;REPORT;Neutral;0.7625433206558228;i have always said when using the words strong vigilance do not forget that we never precommit
