Date;Year;Month;Type;sentiment;sentiment_score;sentence
2008-06-05;2008;June;REPORT;Positive;0.6160861253738403;introductory statement with qa jeanclaude trichet president of the ecblucas papademos vice president of the ecbfrankfurt am main 5 june 2008 jump to the transcript of the questions and answers ladies and gentlemen the vicepresident and i are very pleased to welcome you to our press conference
2008-06-05;2008;June;REPORT;Positive;0.9188339114189148;this week we celebrated the tenth anniversary of the ecb marking an important milestone in the development of this institution and of the single monetary policy
2008-06-05;2008;June;REPORT;Positive;0.9829755425453186;on that occasion i expressed my sincere thanks to all those who have helped to build a solid foundation for the euro
2008-06-05;2008;June;REPORT;Neutral;0.8586627840995789;let me also extend these thanks to you who play such an important role in transmitting our decisions and explanations to the financial markets and to the public at large
2008-06-05;2008;June;REPORT;Neutral;0.9616497159004211;we will now report on the outcome of todays meeting of the governing council which was also attended by the president of the eurogroup prime minister juncker
2008-06-05;2008;June;REPORT;Neutral;0.9924543499946594;on the basis of our regular economic and monetary analyses we decided at todays meeting to leave the key ecb interest rates unchanged
2008-06-05;2008;June;REPORT;Negative;0.9847484230995178;at the same time we noted that risks to price stability over the medium term have increased further
2008-06-05;2008;June;REPORT;Positive;0.98917156457901;inflation rates have risen significantly since the autumn of last year owing mainly to strong increases in energy and food prices
2008-06-05;2008;June;REPORT;Negative;0.9668203592300415;hicp inflation is now expected to remain high for a more protracted period than previously thought
2008-06-05;2008;June;REPORT;Positive;0.5416945219039917;upside risks to price stability over the medium term are also confirmed by the continuing very vigorous money and credit growth and the absence of significant constraints on bank loan supply up to now
2008-06-05;2008;June;REPORT;Positive;0.6625156998634338;at the same time the economic fundamentals of the euro area are sound
2008-06-05;2008;June;REPORT;Neutral;0.9382619857788086;against this background we emphasise that maintaining price stability in the medium term is our primary objective in accordance with our mandate
2008-06-05;2008;June;REPORT;Neutral;0.9725216627120972;the governing council is monitoring very closely all developments
2008-06-05;2008;June;REPORT;Neutral;0.884017288684845;it is in a state of heightened alertness
2008-06-05;2008;June;REPORT;Neutral;0.9655156135559082;by acting in a firm and timely manner we will prevent secondround effects and ensure that risks to price stability over the medium term do not materialise
2008-06-05;2008;June;REPORT;Positive;0.9841728210449219;it is our strong determination to secure a firm anchoring of medium and longterm inflation expectations in line with price stability
2008-06-05;2008;June;REPORT;Neutral;0.9419136047363281;allow me to explain our assessment in greater detail starting with the economic analysis
2008-06-05;2008;June;REPORT;Positive;0.9862832427024841;at a quarteronquarter rate of 08 real gdp growth in the first quarter of 2008 was well above expectations
2008-06-05;2008;June;REPORT;Positive;0.9880720376968384;in part this strength reflected temporary factors notably the unusually mild winter in many parts of europe which appears to have boosted construction activity
2008-06-05;2008;June;REPORT;Negative;0.7776281833648682;however the high growth rate in the first quarter might be partly offset in the second
2008-06-05;2008;June;REPORT;Neutral;0.9598274827003479;it is therefore more appropriate in order to avoid being misguided by highly volatile quarterly results to evaluate the first two quarters of 2008 together
2008-06-05;2008;June;REPORT;Positive;0.9918197393417358;in line with available forecasts both domestic and foreign demand are expected to support ongoing real gdp growth in the euro area in 2008 albeit to a lesser extent than during 2007 while moderating growth in the world economy is expected to remain resilient benefiting in particular from continued robust growth in emerging economies
2008-06-05;2008;June;REPORT;Positive;0.972426176071167;this should support euro area external demand
2008-06-05;2008;June;REPORT;Positive;0.8578078746795654;the fundamentals of the euro area economy remain sound and the euro area does not suffer from major imbalances
2008-06-05;2008;June;REPORT;Positive;0.9916152358055115;against this background we expect investment growth in the euro area to provide ongoing support to economic activity as capacity utilisation remains solid and profitability in the nonfinancial corporate sector has been sustained
2008-06-05;2008;June;REPORT;Negative;0.9921644926071167;moreover employment and labour force participation have increased significantly and unemployment rates have fallen to levels not seen for 25 years
2008-06-05;2008;June;REPORT;Positive;0.9604766368865967;these developments support disposable income although purchasing power is being dampened by the impact of higher energy and food prices
2008-06-05;2008;June;REPORT;Neutral;0.9694682359695435;this outlook is also reflected in the june 2008 eurosystem staff macroeconomic projections
2008-06-05;2008;June;REPORT;Positive;0.983178436756134;the projections foresee average annual real gdp growth in a range between 15 and 21 in 2008 and between 10 and 20 in 2009 in comparison with the march ecb staff projections the current range projected for real gdp growth in 2008 is within the upper part of the range published in march 2008 mainly as a consequence of the better than expected outcome in the first quarter
2008-06-05;2008;June;REPORT;Neutral;0.9570285677909851;for 2009 the range has been adjusted downwards following the increase in commodity prices over recent months
2008-06-05;2008;June;REPORT;Negative;0.8668306469917297;the yearonyear growth rates which i have just mentioned need to be interpreted with particular caution on this occasion
2008-06-05;2008;June;REPORT;Negative;0.9647877812385559;while the annual rates suggest that growth may be weaker in 2009 than in 2008 they mask the fact that on a quarterly basis real gdp growth is projected to reach a trough in 2008 before gradually recovering thereafter
2008-06-05;2008;June;REPORT;Neutral;0.9528933763504028;in order not to draw the wrong conclusions about the growth dynamics implied in the staff projections it is important to keep this distinction in mind
