Date;Year;Month;Type;sentiment;sentiment_score;sentence
2013-01-10;2013;January;REPORT;Positive;0.5130819082260132;introductory statement to the press conference with qa mario draghi president of the ecbvítor constâncio vicepresident of the ecbfrankfurt am main 10 january 2013 jump to the transcript of the questions and answers ladies and gentlemen the vicepresident and i are very pleased to welcome you to our press conference
2013-01-10;2013;January;REPORT;Positive;0.8667285442352295;let me wish you all a happy new year
2013-01-10;2013;January;REPORT;Neutral;0.9750279188156128;we will now report on the outcome of todays meeting of the governing council
2013-01-10;2013;January;REPORT;Neutral;0.9895159006118774;based on our regular economic and monetary analyses we decided to keep the key ecb interest rates unchanged
2013-01-10;2013;January;REPORT;Negative;0.9889322519302368;hicp inflation rates have declined over recent months as anticipated and are expected to fall below 2 this year
2013-01-10;2013;January;REPORT;Neutral;0.793118417263031;over the policyrelevant horizon inflationary pressures should remain contained
2013-01-10;2013;January;REPORT;Negative;0.9946714043617249;the underlying pace of monetary expansion continues to be subdued
2013-01-10;2013;January;REPORT;Neutral;0.9828038215637207;inflation expectations for the euro area remain firmly anchored in line with our aim of maintaining inflation rates below but close to 2 over the medium term
2013-01-10;2013;January;REPORT;Negative;0.9925410747528076;the economic weakness in the euro area is expected to extend into 2013 in particular necessary balance sheet adjustments in financial and nonfinancial sectors and persistent uncertainty will continue to weigh on economic activity
2013-01-10;2013;January;REPORT;Positive;0.9840137362480164;later in 2013 economic activity should gradually recover
2013-01-10;2013;January;REPORT;Positive;0.9925498962402344;in particular our accommodative monetary policy stance together with significantly improved financial market confidence and reduced fragmentation should work its way through to the economy and global demand should strengthen
2013-01-10;2013;January;REPORT;Positive;0.5640078783035278;in order to sustain confidence it is essential for governments to reduce further both fiscal and structural imbalances and to proceed with financial sector restructuring
2013-01-10;2013;January;REPORT;Neutral;0.935492992401123;let me now explain our assessment in greater detail starting with the economic analysis
2013-01-10;2013;January;REPORT;Negative;0.9870865345001221;following a contraction of 02 quarter on quarter in the second quarter of 2012 euro area real gdp declined by 01 in the third quarter
