Date;Year;Month;Type;sentiment;sentiment_score;sentence
2013-10-02;2013;October;REPORT;Neutral;0.5385576486587524;introductory statement to the press conference with qa mario draghi president of the ecbvítor constâncio vicepresident of the ecbparis 2 october 2013 jump to the transcript of the questions and answers ladies and gentlemen the vicepresident and i are very pleased to welcome you to our press conference
2013-10-02;2013;October;REPORT;Positive;0.9273980855941772;i would like to thank governor noyer for his kind hospitality and express our special gratitude to his staff for the excellent organisation of todays meeting of the governing council
2013-10-02;2013;October;REPORT;Neutral;0.9557377696037292;we will now report on the outcome of todays meeting which was also attended by the commission vicepresident mr rehn
2013-10-02;2013;October;REPORT;Neutral;0.9895159006118774;based on our regular economic and monetary analyses we decided to keep the key ecb interest rates unchanged
2013-10-02;2013;October;REPORT;Neutral;0.9632024168968201;incoming information and analysis have further underpinned our previous assessment
2013-10-02;2013;October;REPORT;Negative;0.9926618337631226;underlying price pressures in the euro area are expected to remain subdued over the medium term
2013-10-02;2013;October;REPORT;Negative;0.9949313998222351;in keeping with this picture monetary and in particular credit dynamics remain subdued
2013-10-02;2013;October;REPORT;Neutral;0.9817966222763062;inflation expectations for the euro area continue to be firmly anchored in line with our aim of maintaining inflation rates below but close to 2 over the medium term
2013-10-02;2013;October;REPORT;Positive;0.9911086559295654;at the same time real gdp growth in the second quarter was positive after six quarters of negative output growth and confidence indicators up to september confirm the expected gradual improvement in economic activity from low levels
2013-10-02;2013;October;REPORT;Positive;0.9378647208213806;our monetary policy stance continues to be geared towards maintaining the degree of monetary accommodation warranted by the outlook for price stability and promoting stable money market conditions
2013-10-02;2013;October;REPORT;Positive;0.9900750517845154;it thereby provides support to a gradual recovery in economic activity
2013-10-02;2013;October;REPORT;Neutral;0.9591919183731079;looking ahead our monetary policy stance will remain accommodative for as long as necessary in line with the forward guidance provided in july
2013-10-02;2013;October;REPORT;Neutral;0.9836998581886292;the governing council confirms that it expects the key ecb interest rates to remain at present or lower levels for an extended period of time
2013-10-02;2013;October;REPORT;Negative;0.987366795539856;this expectation continues to be based on an unchanged overall subdued outlook for inflation extending into the medium term given the broadbased weakness in the economy and subdued monetary dynamics
2013-10-02;2013;October;REPORT;Neutral;0.9835020899772644;in the period ahead we will monitor all incoming information on economic and monetary developments and assess any impact on the mediumterm outlook for price stability
2013-10-02;2013;October;REPORT;Neutral;0.9835951328277588;with regard to money market conditions we will remain particularly attentive to developments which may have implications for the stance of monetary policy and are ready to consider all available instruments
2013-10-02;2013;October;REPORT;Neutral;0.935492992401123;let me now explain our assessment in greater detail starting with the economic analysis
2013-10-02;2013;October;REPORT;Positive;0.7826606035232544;following six quarters of negative output growth euro area real gdp rose quarter on quarter by 03 in the second quarter of 2013 also supported by temporary factors related to unusually adverse weather conditions in some euro area countries earlier this year
2013-10-02;2013;October;REPORT;Negative;0.9862684011459351;developments in industrial production data point to somewhat weaker growth at the beginning of the third quarter while surveybased confidence indicators up to september have improved further from low levels overall confirming our previous expectations of a gradual recovery in economic activity
2013-10-02;2013;October;REPORT;Positive;0.9900144338607788;looking ahead output is expected to recover at a slow pace in particular owing to a gradual improvement in domestic demand supported by the accommodative monetary policy stance
2013-10-02;2013;October;REPORT;Positive;0.9922343492507935;euro area economic activity should in addition benefit from a gradual strengthening of external demand for exports
2013-10-02;2013;October;REPORT;Positive;0.9879898428916931;furthermore the overall improvements in financial markets seen since last summer appear to be gradually working their way through to the real economy as should the progress made in fiscal consolidation
2013-10-02;2013;October;REPORT;Positive;0.9759384989738464;in addition real incomes have benefited recently from generally lower inflation
2013-10-02;2013;October;REPORT;Negative;0.9934340715408325;this being said unemployment in the euro area remains high and the necessary balance sheet adjustments in the public and private sectors will continue to weigh on economic activity
2013-10-02;2013;October;REPORT;Negative;0.9912898540496826;the risks surrounding the economic outlook for the euro area continue to be on the downside
2013-10-02;2013;October;REPORT;Negative;0.9812739491462708;developments in global money and financial market conditions and related uncertainties may have the potential to negatively affect economic conditions
2013-10-02;2013;October;REPORT;Negative;0.989059567451477;other downside risks include higher commodity prices in the context of renewed geopolitical tensions weaker than expected global demand and slow or insufficient implementation of structural reforms in euro area countries
2013-10-02;2013;October;REPORT;Neutral;0.9222568869590759;according to eurostats flash estimate and broadly in line with expectations euro area annual hicp inflation decreased in september 2013 to 11 from 13 in august
2013-10-02;2013;October;REPORT;Neutral;0.8751580715179443;on the basis of current futures prices for energy annual inflation rates are expected to remain at such low levels in the coming months
2013-10-02;2013;October;REPORT;Negative;0.9885821342468262;taking the appropriate mediumterm perspective underlying price pressures are expected to remain subdued reflecting the broadbased weakness in aggregate demand and the modest pace of the recovery
2013-10-02;2013;October;REPORT;Neutral;0.9218505620956421;medium to longterm inflation expectations continue to be firmly anchored in line with price stability
2013-10-02;2013;October;REPORT;Negative;0.7518208622932434;the risks to the outlook for price developments are expected to be still broadly balanced over the medium term with upside risks relating in particular to higher commodity prices as well as stronger than expected increases in administered prices and indirect taxes and downside risks stemming from weaker than expected economic activity
2013-10-02;2013;October;REPORT;Negative;0.994950532913208;turning to the monetary analysis data for august indicate that the underlying growth of broad money m3 and in particular credit remained subdued
2013-10-02;2013;October;REPORT;Neutral;0.9364315271377563;annual growth in m3 continued to be broadly stable at 23 in august compared with 22 in july
2013-10-02;2013;October;REPORT;Negative;0.8732848763465881;annual growth in m1 remained strong but decreased to 68 in august from 71 in july
2013-10-02;2013;October;REPORT;Negative;0.6944218277931213;net capital inflows into the euro area continued to be the main factor supporting annual m3 growth while the annual rate of change of loans to the private sector remained weak
2013-10-02;2013;October;REPORT;Neutral;0.9808701872825623;the annual growth rate of loans to households adjusted for loan sales and securitisation stood at 04 in august broadly unchanged since the turn of the year
2013-10-02;2013;October;REPORT;Neutral;0.9893975257873535;the annual rate of change of loans to nonfinancial corporations adjusted for loan sales and securitisation was 29 in august compared with 28 in july
2013-10-02;2013;October;REPORT;Negative;0.9929965138435364;weak loan dynamics for nonfinancial corporations continue to reflect primarily their lagged relationship with the business cycle credit risk and the ongoing adjustment of financial and nonfinancial sector balance sheets
2013-10-02;2013;October;REPORT;Positive;0.9901573657989502;since the summer of 2012 substantial progress has been made in improving the funding situation of banks and in particular in strengthening the domestic deposit base in a number of stressed countries
