Date;Year;Month;Type;sentiment;sentiment_score;sentence
2015-03-19;2015;March;Monetary Policy Decisions;Neutral;0.9860388040542604;the ranges shown around the central projections are based on the differences between actual outcomes and previous projections carried out over a number of years
2015-03-19;2015;March;Monetary Policy Decisions;Positive;0.9795438647270204;third euro area activity is expected to be increasingly supported by the gradual strengthening of external demand and the depreciation of the euro
2015-03-19;2015;March;Monetary Policy Decisions;Positive;0.9924612641334534;second domestic demand will further benefit from the accommodative monetary policy stance leading to ongoing improvements in financial conditions as well as from the easing of credit supply conditions
2015-03-19;2015;March;Monetary Policy Decisions;Positive;0.8639158010482788;first the sharp fall in oil prices which is largely supplydriven contributes to a substantial increase in real disposable income
2015-03-19;2015;March;Monetary Policy Decisions;Positive;0.9918171763420104;gdp growth for the fourth quarter of 2014 is estimated using the flash estimate which is seasonally and working dayadjusted18ecb economic bulletinissue 2  2015 the basis for the ongoing economic recovery has strengthened visibly over recent months
2015-03-19;2015;March;Monetary Policy Decisions;Neutral;0.9664053320884703;note data up to the third quarter of 2014 are neither seasonally nor working dayadjusted
2015-03-19;2015;March;Monetary Policy Decisions;Neutral;0.9200947880744934;chart 13 euro area real gdp index q1 2008100 80859095100105 80859095100105 1999 2001 2003 2005 2007 2009 2011 2013 2015 sources eurostat and ecb calculationschart 14 euro area real gdp growth and its composition yearonyear percentage changes and yearonyear percentage point contributions 6543210123 6543210123 2008 2009 2010 2011 2012 2013 2014net exports domestic demandchanges in inventories real gdp sources eurostat and ecb calculations
2015-03-19;2015;March;Monetary Policy Decisions;Positive;0.9745956659317015;domestic demand strengthened in the second half of 2014 real gdp increased by 03 quarter on quarter in the fourth quarter after 02 in the third quarter of 2014 as a consequence following seven consecutive quarterly increases real gdp in the euro area returned in the fourth quarter of 2014 to the level seen in the first quarter of 2011 albeit almost 2 short of its level just before the start of the crisis in 2008 see chart 13
2015-03-19;2015;March;Monetary Policy Decisions;Negative;0.9930973649024964;moreover the strength of the recovery remains uneven across euro area countries
2015-03-19;2015;March;Monetary Policy Decisions;Positive;0.989625871181488;against this background the march 2015 ecb staff macroeconomic projections for the euro area foresee a stronger growth outlook compared with the december 2014 eurosystem staff macroeconomic projections
2015-03-19;2015;March;Monetary Policy Decisions;Positive;0.9917730689048768;looking forward economic activity is therefore expected to continue to strengthen during the course of 2015 and beyond driven by both domestic and external demand although unemployment is expected to remain high
2015-03-19;2015;March;Monetary Policy Decisions;Positive;0.9893312454223632;the recently announced expanded asset purchase programme app should further contribute to easing financing conditions and enhancing access to credit
2015-03-19;2015;March;Monetary Policy Decisions;Positive;0.9604151844978333;the recent depreciation of the euro exchange rate has facilitated exports
2015-03-19;2015;March;Monetary Policy Decisions;Positive;0.9911537766456604;lower oil prices are bolstering real disposable income thus supporting private consumption
2015-03-19;2015;March;Monetary Policy Decisions;Positive;0.9920048117637634;although no breakdown was available at the time of this economic bulletins cutoff date economic indicators and country data suggest that domestic demand continued to contribute positively to growth in the fourth quarter of 2014 it also appears that net exports made a positive contribution as exports are benefiting from the depreciation of the euro
2015-03-19;2015;March;Monetary Policy Decisions;Negative;0.6803890466690063;in addition factors such as weak global demand and the private and public balance sheet adjustments which had contributed to the recent prolonged years of very weak real gdp growth are gradually reversing and exerting a more positive influence on economic activity in the euro area
