Date;Year;Month;Type;sentiment;sentiment_score;sentence
2015-05-21;2015;May;REPORT;Neutral;0.9550526142120361;account of the monetary policy meeting 21 may 2015 of the governing council of the european central bank held in frankfurt am main on tuesday and wednesday 1415 april 2015 1 review of financial economic and monetary developments and policy options financial market developments mr cœuré reviewed recent financial market developments
2015-05-21;2015;May;REPORT;Negative;0.9918602108955383;since the governing councils previous monetary policy meeting on 45 march 2015 the implementation of the ecbs expanded asset purchase programme app had had a significant impact on euro area financial markets contributing to further declines in government bond yields while higher levels of excess liquidity had put downward pressure on euro money market rates
2015-05-21;2015;May;REPORT;Neutral;0.9393688440322876;the euro had continued to depreciate against the us dollar reaching a low of usd 105 per euro
2015-05-21;2015;May;REPORT;Negative;0.8855143785476685;since the start of purchases under the public sector purchase programme pspp on 9 march sovereign bond yields had declined further reaching new historical lows in almost all euro area jurisdictions the impact being strongest at the longer end of the yield curve
2015-05-21;2015;May;REPORT;Neutral;0.8295435309410095;however over the course of the month yields in some jurisdictions had partly reversed the earlier declines that had immediately followed the start of the programme
2015-05-21;2015;May;REPORT;Neutral;0.6494907140731812;yield curves had remained lower and flatter than on 4 march ie
2015-05-21;2015;May;REPORT;Neutral;0.967017412185669;just before the announcement of the details on pspp implementation
2015-05-21;2015;May;REPORT;Neutral;0.57564777135849;the downward shift was even more apparent when comparing prevailing yield curves with those observed immediately before the announcement of the app on 22 january
2015-05-21;2015;May;REPORT;Neutral;0.9913344979286194;daily purchases of securities under the pspp had been around 32 billion on average
2015-05-21;2015;May;REPORT;Neutral;0.9743109941482544;for the app overall the announced volume of 60 billion per month had been achieved in the first month of the programmes implementation
2015-05-21;2015;May;REPORT;Negative;0.9918696880340576;the concerns of some market participants that the ecb would have difficulty meeting purchase targets had thus far not materialised
2015-05-21;2015;May;REPORT;Negative;0.9642149209976196;such concerns were based on the presumption that the ecb would at some stage exhaust the supply from priceelastic sellers and on the expectation that the yield on an increasing number of bonds would fall below the ecbs deposit facility rate
2015-05-21;2015;May;REPORT;Negative;0.6968190670013428;however these issues did not seem to be pressing at this stage
2015-05-21;2015;May;REPORT;Positive;0.9748018980026245;during the first month of implementation bond market conditions had been quite favourable and market liquidity had also remained good in most jurisdictions as illustrated by the ready availability of bonds and transactions generally being priced at midprice
2015-05-21;2015;May;REPORT;Neutral;0.9837717413902283;purchases of agency and supranational bonds had been conducted without major difficulty
2015-05-21;2015;May;REPORT;Negative;0.993245542049408;however implementation had proved to be more challenging than with government bonds because market liquidity in these bonds had already been thinner before the start of the programme
2015-05-21;2015;May;REPORT;Neutral;0.5550220608711243;the announcement of the details of the securities lending programme on 1 april had been positively received by market participants
2015-05-21;2015;May;REPORT;Neutral;0.7617782354354858;at the same time some commentators saw a need to streamline the various avenues for securities lending and to move towards greater harmonisation in the modalities applied by the eurosystems central banks
2015-05-21;2015;May;REPORT;Positive;0.9899043440818787;the performance of equity markets had been exceptionally strong
2015-05-21;2015;May;REPORT;Positive;0.8309867978096008;since the monetary policy meeting of 45 march total returns on the euro stoxx 50 and the euro stoxx banks equity indices had been 75 and 10 respectively which was much higher than the total returns on the sovereign bond markets
2015-05-21;2015;May;REPORT;Neutral;0.43992099165916443;this strong reaction by the equity markets had in the view of market participants been driven by the decreasing returns on bond investments and investors had clearly shifted from bonds to equities
2015-05-21;2015;May;REPORT;Positive;0.9167799353599548;the strength of the performance of bank stocks had been attributed by some market analysts to an increase in the valuation of the banks sovereign bond holdings
2015-05-21;2015;May;REPORT;Neutral;0.5471066832542419;in the corporate bond market price gains had been significantly lower than those of sovereign bonds when comparing the respective markit iboxx indices with the sovereign index up by 16 and the nonfinancial corporate index up by 03
2015-05-21;2015;May;REPORT;Neutral;0.9153639078140259;eurodenominated issuance outside the euro area by nonresident firms had increased
2015-05-21;2015;May;REPORT;Positive;0.88619065284729;foreign companies had benefited from a substantial funding advantage when issuing in euro and swapping back into us dollars instead of issuing directly in us dollars thus expanding the role of the euro as a funding currency
2015-05-21;2015;May;REPORT;Neutral;0.9790357351303101;issuance had been concentrated on longerterm maturities which was consistent with the flattening of the yield curve for corporate bonds
2015-05-21;2015;May;REPORT;Neutral;0.9920016527175903;regarding the other constituent programmes of the app settled abs purchases had reached 12 billion for march and cumulative purchases stood at 46 billion under the abspp at the end of march
2015-05-21;2015;May;REPORT;Neutral;0.9794744253158569;the eurosystem had participated in four primary market issuances and also in some retained deals
2015-05-21;2015;May;REPORT;Neutral;0.946284294128418;abs issuance had been picking up in line with its usual seasonal pattern and based on this pattern an increase in abs issuance was expected in the second quarter of the year
2015-05-21;2015;May;REPORT;Neutral;0.9461720585823059;covered bond purchases had been 124 billion in march also supported by participation in a number of primary issuances
2015-05-21;2015;May;REPORT;Neutral;0.9888597726821899;cumulative purchases under the programme amounted to 636 billion at the end of march with primary market issuance accounting for 189
2015-05-21;2015;May;REPORT;Negative;0.7953504920005798;given the traditionally slow second quarter in primary market issuance in the covered bond market such strong issuance and purchases might not be observed in subsequent weeks
2015-05-21;2015;May;REPORT;Neutral;0.8179497718811035;turning to the money markets and liquidity the level of excess liquidity had increased since the start of the app by over 100 billion to stand at 247 billion on 7 april
2015-05-21;2015;May;REPORT;Neutral;0.9435076713562012;this was due to the combined impact of the pspp and the settlement of the third targeted longerterm refinancing operation
2015-05-21;2015;May;REPORT;Neutral;0.9796209931373596;a tentative analysis of excess liquidity holdings by individual counterparties suggested that excess liquidity had thus far continued to flow to the large international banks located in a few euro area jurisdictions
2015-05-21;2015;May;REPORT;Negative;0.9926047325134277;money market rates both secured and unsecured had continued to decline
2015-05-21;2015;May;REPORT;Neutral;0.6444354057312012;the threemonth euribor had declined to a new alltime low of 08 basis point on 14 april while threemonth euribor futuresimplied rates were being quoted at slightly negative levels for euribor futures contracts as of june 2015 the eonia was experiencing some downward rigidity with the average standing at 56 basis points in the second reserve maintenance period which was lower than at the end of 2014 but still significantly above the deposit facility rate
2015-05-21;2015;May;REPORT;Neutral;0.9845436215400696;the eonia forward rate for the end of 2015 was set at 15 basis points
2015-05-21;2015;May;REPORT;Negative;0.950598418712616;it was possible that a deposit rate cut  albeit minor  was still priced in as suggested by the negative tail of optionimplied densities
2015-05-21;2015;May;REPORT;Positive;0.8030248284339905;in the foreign exchange market the euro had reached a low of usd 105 per euro after the start of the app thus depreciating by 25 since may 2014 according to some market participants this move had been underpinned by continued net outflows from euro area government bond markets which had accelerated with the decline in sovereign bond yields
2015-05-21;2015;May;REPORT;Neutral;0.9180524349212646;the effect of these outflows on the euros exchange rate had been somewhat mitigated by equity inflows from noneuro area investors
2015-05-21;2015;May;REPORT;Positive;0.9603209495544434;in january 2015 the net combined bond and equity flows to and from the euro area as reported in the balance of payments had been positive for the first time since june 2014 since equity inflows to the euro area had exceeded bond outflows
2015-05-21;2015;May;REPORT;Positive;0.9864088296890259;anecdotal evidence suggested that equity inflows had gathered momentum in february and march which was consistent with the rise in euro area equity issuance observed in the first quarter
2015-05-21;2015;May;REPORT;Neutral;0.986517071723938;in the view of market participants the impact of capital flows on the exchange rate had been mitigated by the hedging strategies of investors
2015-05-21;2015;May;REPORT;Negative;0.7328963279724121;recent trends in foreign exchange hedging behaviour suggested that the share of noneuro investors hedging their portfolios had increased which reduced the impact of portfolio inflows on the exchange rate
2015-05-21;2015;May;REPORT;Positive;0.9915487766265869;with regard to international developments the release of the federal open market committees statement on 18 march had had a strong impact on global financial markets
2015-05-21;2015;May;REPORT;Neutral;0.8574262261390686;the committee had lowered its projections for gdp growth and core personal consumption expenditure pce inflation as well as its expectations for the appropriate pace and magnitude of monetary policy tightening as reflected by the midpoints of target ranges or the target level for the federal funds rate
2015-05-21;2015;May;REPORT;Negative;0.9472638964653015;the release of unexpectedly weak nonfarm payroll data on 3 april 2015 had further increased the expectation that a rate hike would come later in 2015 even though a hike in june was still not completely ruled out by market participants
2015-05-21;2015;May;REPORT;Neutral;0.936566174030304;intraday volatility in the foreign exchange market had been exceptionally high on 18 march 2015 the euros exchange rate against the us dollar climbed from usd 106 to usd 110 within a few hours resulting in an overall intraday move of around 44 the second largest intraday move since the creation of the euro
2015-05-21;2015;May;REPORT;Neutral;0.9752156734466553;the only bigger move in the usdeur exchange rate had taken place on 22 september 2000 when the ecb intervened in the foreign exchange market
2015-05-21;2015;May;REPORT;Negative;0.5313916206359863;according to some analysts the march move had been amplified by thin liquidity  as it occurred just after the close of the new york session when the market volume is usually at its lowest over the daily cycle  and by the unwinding of very large noncommercial short euro positions
