Date;Year;Month;Type;sentiment;sentiment_score;sentence
2018-09-27;2018;September;Monetary Policy Decisions;Neutral;0.9809237718582152;chart 3 oecd consumer price inflation yearonyear percentage changes percentage point contributions sources oecd and ecb staff calculations
2018-09-27;2018;September;Monetary Policy Decisions;Negative;0.9936320185661316;at the same time despite tightening labour markets across advanced economies wage pressures remain relatively subdued
2018-09-27;2018;September;Monetary Policy Decisions;Neutral;0.9700515270233154;excluding food and energy inflation increased slightly to 21 extending a very moderate upward trend observed over the past year chart 3
2018-09-27;2018;September;Monetary Policy Decisions;Positive;0.48856982588768;in the short term the euro areas competitors export prices are expected to increase following the recent pick up in oil prices
2018-09-27;2018;September;Monetary Policy Decisions;Negative;0.9913454055786132;further ahead however the current oil futures curve anticipates a modest decline in oil prices implying a declining contribution from energy prices to global inflation
2018-09-27;2018;September;Monetary Policy Decisions;Positive;0.8903570771217346;on the other hand diminishing spare capacity at the global level is projected to provide some upward support for inflation
2018-09-27;2018;September;Monetary Policy Decisions;Neutral;0.9897187948226928;financial developments since the governing councils meeting in june 2018 euro area longterm riskfree rates have remained broadly unchanged
2018-09-27;2018;September;Monetary Policy Decisions;Neutral;0.978505790233612;note the latest observation is for july 2018 looking ahead global inflationary pressures are expected to remain contained
2018-09-27;2018;September;Monetary Policy Decisions;Negative;0.9712949395179749;sovereign bond spreads have been volatile against a background of sustained political uncertainty in italy
2018-09-27;2018;September;Monetary Policy Decisions;Neutral;0.9794880747795104;chart 4 tenyear sovereign bond yields percentages per annum sources thomson reuters and ecb calculations
2018-09-27;2018;September;Monetary Policy Decisions;Positive;0.9332223534584044;in foreign exchange markets the euro has broadly strengthened in tradeweighted terms
2018-09-27;2018;September;Monetary Policy Decisions;Neutral;0.9872833490371704;longterm yields remain broadly unchanged in the euro area and in the united states
2018-09-27;2018;September;Monetary Policy Decisions;Neutral;0.9910542368888856;during the period under review from 14 june to 12 september the euro area tenyear riskfree overnight index swap ois rate and the gdpweighted euro area tenyear sovereign bond yield remained unchanged at 075 and 110 respectively
2018-09-27;2018;September;Monetary Policy Decisions;Positive;0.8443909883499146;in the united states the tenyear government bond yield increased by 3 basis points to 296 causing its spread visàvis the corresponding euro area yield to increase further and reach historically high levels
2018-09-27;2018;September;Monetary Policy Decisions;Neutral;0.9200359582901;notes daily data
2018-09-27;2018;September;Monetary Policy Decisions;Neutral;0.989744246006012;the vertical grey line denotes the start of the review period ie
2018-09-27;2018;September;Monetary Policy Decisions;Neutral;0.7937661409378052;14 june 2018
2018-09-27;2018;September;Monetary Policy Decisions;Neutral;0.9893189072608948;the latest observation is for 12 september 2018 euro area sovereign bond spreads relative to the riskfree ois rate have been volatile but remain broadly unchanged compared with june
2018-09-27;2018;September;Monetary Policy Decisions;Neutral;0.9913083910942078;in the oecd area consumer price index cpi inflation rose to 29 in july
2018-09-27;2018;September;Monetary Policy Decisions;Neutral;0.7892982363700867;sovereign bond market conditions remained volatile throughout the review period with spreads of italian sovereign bonds rising amid renewed tension in the market see chart 5
2018-09-27;2018;September;Monetary Policy Decisions;Neutral;0.9911792874336244;overall since 14 june the gdpweighted average of tenyear sovereign bond yields has remained broadly unchanged standing at 36 basis points on 12 september
2018-09-27;2018;September;Monetary Policy Decisions;Neutral;0.9579660892486572;government bond markets in other euro area countries have also been affected to different degrees
2018-09-27;2018;September;Monetary Policy Decisions;Negative;0.9896783828735352;although corporate earnings remain robust equity and bond prices of euro area financial corporations have declined amid geopolitical uncertainty and rising volatility in emerging markets
2018-09-27;2018;September;Monetary Policy Decisions;Negative;0.988175630569458;the past increase in oil prices has put upward pressure on global consumer price inflation
2018-09-27;2018;September;Monetary Policy Decisions;Positive;0.6728581786155701;over the medium term global trade is projected to grow broadly in line with activity
2018-09-27;2018;September;Monetary Policy Decisions;Neutral;0.954173743724823;since the cutoff date for the projections however the price of oil has risen again reaching usd 80 per barrel on 12 september
2018-09-27;2018;September;Monetary Policy Decisions;Negative;0.9943910241127014;after strong growth in 2017 global trade indicators point to a deceleration in the first half of this year
2018-09-27;2018;September;Monetary Policy Decisions;Neutral;0.9791489243507384;chart 5 euro area sovereign bond spreads visàvis the ois rate percentages per annum sources thomson reuters and ecb calculations
2018-09-27;2018;September;Monetary Policy Decisions;Negative;0.6904831528663635;according to cpb data the volume of merchandise imports fell by 04 in june in threemonthonthreemonth terms
2018-09-27;2018;September;Monetary Policy Decisions;Neutral;0.9726852774620056;the picture of softening global trade is consistent with other indicators chart 2
2018-09-27;2018;September;Monetary Policy Decisions;Neutral;0.9779186844825744;chart 2 world trade in goods lefthand scale threemonthonthreemonth percentage changes righthand scale diffusion index sources markit cpb netherlands bureau for economic policy analysis and ecb calculations
2018-09-27;2018;September;Monetary Policy Decisions;Neutral;0.981062114238739;note the latest observations are for august 2018 global pmi manufacturing and global pmi new export orders and june 2018 trade
2018-09-27;2018;September;Monetary Policy Decisions;Negative;0.9940211176872252;in the near term global trade is expected to remain subdued
2018-09-27;2018;September;Monetary Policy Decisions;Negative;0.9819981455802916;increased trade protectionism is expected to weigh on trade prospects
2018-09-27;2018;September;Monetary Policy Decisions;Neutral;0.850658655166626;the tariffs implemented so far affect a relatively small proportion of global trade
2018-09-27;2018;September;Monetary Policy Decisions;Negative;0.994881272315979;however while the direct trade effects of the tariff increases are small for most countries they have heightened concerns about the broader outlook for trade policies and the global economy
2018-09-27;2018;September;Monetary Policy Decisions;Negative;0.993770182132721;this uncertainty about future trading relations is expected to hit confidence and investment which will also weigh on global trade prospects
2018-09-27;2018;September;Monetary Policy Decisions;Positive;0.6419063806533813;the latest increase reflected market reaction to lowerthanexpected crude oil inventories in the united states which suggested a faster tightening of the market than had been expected
2018-09-27;2018;September;Monetary Policy Decisions;Negative;0.9875462651252748;overall global growth is projected to decelerate over the projection horizon
2018-09-27;2018;September;Monetary Policy Decisions;Negative;0.9926264882087708;further ahead expansion in advanced economies is projected to slow towards potential growth
