Date;Year;Month;Type;sentiment;sentiment_score;sentence
2021-07-29;2021;July;REPORT;Neutral;0.9403382539749146;29 july 2021 meeting of 7 july 2021 account of the monetary policy meeting of the governing council of the european central bank held in frankfurt am main on wednesday 7 july 2021 conclusion of the ecbs strategy review 202021 the president started her introduction by looking back at the strategy review that the governing council had been conducting over the previous 18 months drawing on an immense collective effort by staff at the ecb and the national central banks ncbs of the euro area
2021-07-29;2021;July;REPORT;Neutral;0.9107180237770081;while taking the ecbs primary mandate of price stability as a given the review had allowed the governing council to challenge its thinking engage with numerous stakeholders reflect discuss and reach common ground on how to adapt its strategy
2021-07-29;2021;July;REPORT;Positive;0.9766245484352112;the new strategy which would be reflected in the document entitled the ecbs monetary policy strategy statement intended for publication on the ecbs website was a strong foundation that would help guide the governing council in the conduct of its monetary policy in the years to come
2021-07-29;2021;July;REPORT;Neutral;0.9756383895874023;the president then reviewed the key elements of the new strategy in more detail
2021-07-29;2021;July;REPORT;Neutral;0.9917663931846619;the governing council judged that the harmonised index of consumer prices hicp remained the appropriate price measure for assessing the achievement of its price stability objective
2021-07-29;2021;July;REPORT;Neutral;0.9849867224693298;at the same time european citizens had called for a broader coverage of housing costs in the hicp
2021-07-29;2021;July;REPORT;Neutral;0.988436222076416;the governing council had therefore recommended a roadmap for the inclusion of owneroccupied housing in the hicp although it recognised that this was a multiyear project to be led by eurostat
2021-07-29;2021;July;REPORT;Neutral;0.990465521812439;in the transition period the main reference index for monetary policy remained the current hicp but initial estimates of owneroccupied housing costs would play a supplementary role alongside the set of broader inflation measures and would help the governing council to assess the contribution of housing costs to inflation
2021-07-29;2021;July;REPORT;Neutral;0.9852956533432007;to improve clarity about the price stability objective and with the aim of better anchoring inflation expectations the governing council had decided to amend its formulation
2021-07-29;2021;July;REPORT;Neutral;0.9895623326301575;the governing council considered that price stability was best maintained by aiming for a two per cent inflation target over the medium term
2021-07-29;2021;July;REPORT;Neutral;0.9843111634254456;a two per cent inflation target was consistent with standard definitions of price stability and provided a safety margin to protect the effectiveness of monetary policy in responding to disinflationary shocks and to guard against the risk of deflation
2021-07-29;2021;July;REPORT;Positive;0.9865608811378479;the formulation in terms of a specific quantitative target was clear and easy to communicate and thereby provided a strong anchor for inflation expectations which was essential for maintaining price stability
2021-07-29;2021;July;REPORT;Neutral;0.9911023378372192;it would replace the doublekey formulation which featured a definition of price stability in terms of a range of positive inflation rates below two per cent and within that range an inflation aim of below but close to two per cent
2021-07-29;2021;July;REPORT;Negative;0.9058820009231567;the previous formulation was widely seen as too complicated and occasionally giving rise to misperceptions about the ecbs aspirations
2021-07-29;2021;July;REPORT;Neutral;0.9894585609436035;the new formulation removed possible ambiguities and resolutely conveyed that two per cent was not a ceiling
2021-07-29;2021;July;REPORT;Neutral;0.9921244978904724;the governing councils commitment to the two per cent target was symmetric
2021-07-29;2021;July;REPORT;Neutral;0.9937792420387268;symmetry meant that the governing council considered negative and positive deviations of inflation from the target to be equally undesirable
2021-07-29;2021;July;REPORT;Neutral;0.9859157800674438;to maintain the symmetry of its inflation target the governing council recognised the importance of taking into account the implications of the effective lower bound on nominal interest rates
2021-07-29;2021;July;REPORT;Negative;0.970559298992157;in particular when these rates tended to be low throughout the business cycle like at present the economy operated not too far from the lower bound
2021-07-29;2021;July;REPORT;Neutral;0.5507182478904724;episodes in which the policy rate was constrained at the lower bound were often associated with disinflationary pressure
2021-07-29;2021;July;REPORT;Neutral;0.7853679060935974;addressing this required especially forceful or persistent monetary policy measures to avoid negative deviations from the inflation target becoming entrenched
