sentence;sentiment
federal open market committee held on july 6-7, 1993, were approved.secretary's note: advice had been received of the election of william j. mcdonough by the board of directors of the federal reserve bank of new york as a member of the federal open market committee for the period commencing july 19, 1993, and ending december 31, 1993, and that he had executed his oath of office.by unanimous vote, the committee elected william j. mcdonough as vice chairman of the committee to serve until the first meeting of the committee after december 31, 1993.the deputy manager for foreign operations reported on developments in foreign exchange markets during the period since the july meeting.;neutral
there were no system open market transactions in foreign currencies during this period, and thus no vote was required of the committee.the deputy manager for domestic operations reported on developments in domestic financial markets and on system open market transactions in government securities and federal agency obligations during the period july 7, 1993, through august 16, 1993. by unanimous vote, the committee ratified these transactions.the committee then turned to a discussion of the economic and financial outlook and the implementation of monetary policy over the intermeeting period ahead.;neutral
a summary of the economic and financial information available at the time of the meeting and of the committee's discussion is provided below, followed by the domestic policy directive that was approved by the committee and issued to the federal reserve bank of new york.the information reviewed by the committee suggested that economic activity was expanding at a moderate pace.;neutral
the limited data available for the third quarter presented a mixed picture but on balance pointed to continued expansion in consumption, business fixed investment, and homebuilding.;positive
employment remained on an uptrend, and industrial production recently had firmed somewhat.;negative
after rising at a faster rate in the early part of the year, consumer prices had changed little and producer prices had fallen in recent months.total nonfarm payroll employment, after a small gain in june, expanded in july at a rate close to its average advance in earlier months of the year.;negative
the services industries, led by business services, provided half of the july increase.;neutral
elsewhere, considerable hiring was evident in wholesale and retail trade, and construction employment moved up after a small decline in june.;positive
in manufacturing, more jobs were lost, although at a slower rate than earlier in the year.;negative
the civilian unemployment rate dropped to 6.8 percent in july.industrial production recovered in july from small declines in may and june.;negative
manufacturing output rose in spite of a sizable cutback in motor vehicle assemblies: utility production registered a strong weather-related gain and mining output declined further.;positive
within manufacturing, the production of consumer durable goods other than automobiles and trucks rebounded in july, and the output of business equipment advanced further.;positive
total utilization of industrial capacity edged higher in july, reflecting a substantial gain at electric utilities: utilization of manufacturing capacity was unchanged.retail sales increased slightly further in july after a sizable rise in the second quarter.;positive
