sentence;sentiment
federal open market committee held on february 3-4, 1994, were approved.the manager for foreign operations reported on developments in foreign exchange markets and on system transactions in foreign currencies during the period february 4, 1994, through march 21, 1994. by unanimous vote, the committee ratified these transactions.the manager for domestic operations reported on developments in domestic financial markets and on system open market transactions in government securities and federal agency obligations during the period february 4, 1994, through march 21, 1994. by unanimous vote, the committee ratified these transactions.by unanimous vote, paragraph l(a) of the authorization for domestic open market operations was amended to raise from $8 billion to $11 billion the dollar limit on intermeeting changes in system account holdings of u.s. government and federal agency securities for the intermeeting period ending with the close of business on may 17, 1994.the committee then turned to a discussion of the economic and financial outlook and the implementation of monetary policy over the intermeeting period ahead.;neutral
a summary of the economic and financial information available at the time of the meeting and of the committee's discussion is provided below, followed by the domestic policy directive that was approved by the committee and issued to the federal reserve bank of new york.the information reviewed at this meeting indicated that economic activity had expanded appreciably further in the early months of 1994, despite unusually severe winter weather.;positive
consumer spending and construction activity had been held down to some extent by the adverse weather conditions, but motor vehicle production had continued at a very strong pace and business fixed investment appeared to be headed for a significant gain in the first quarter.;negative
factory utilization rates had moved still higher, and labor demand seemed to have grown moderately further.;positive
outside of a surge in energy prices, increases in broad indexes of consumer and producer prices remained moderate.nonfarm payroll employment was unchanged in january but posted a february advance comparable to the sizable monthly increases recorded in the final quarter of 1993. employment in the service industries declined slightly in january, then rebounded substantially in february.;negative
manufacturing payrolls rose in january and february, but the number of jobs in construction declined in both months, reflecting that industry's vulnerability to weather disruptions.;negative
the civilian unemployment rate, calculated on the new basis, fell to 6.5 percent in february: however, the bureau of labor statistics cautioned that a variety of technical factors might have exaggerated the decline in joblessness in early 1994.after a sharp rise in the fourth quarter, industrial production increased considerably further in january and february.;negative
manufacturing output continued to rise, despite the apparent damping effect of adverse weather on a number of industries.;positive
assemblies of motor vehicles remained quite buoyant, accounting for more than half of the increase in manufacturing production in the first two months of the year and reaching in february their highest level since the late 1970s.;positive
production of manufactured goods other than motor vehicles also was up in the two months, but the advances were smaller than those of late 1993. output of utilities surged in-january, reflecting the heating demand resulting from abnormally cold temperatures, but a portion of that gain was retraced in february.;positive
total utilization of industrial capacity increased in both january and february and was at relatively elevated levels, judged by historical norms operating rates in primary processing industries were especially high.retail sales were little changed on balance over the first two months of the year, with sales recovering in february from a large january decline.;positive
by contrast, sales of motor vehicles remained quite brisk on average over the two months, despite the california earthquake and the severe weather.;positive
soaring outlays for home heating contributed to rapid growth of consumer spending on services in january.;positive
the unusual weather also affected housing activity starts were down considerably in january and february from the very high levels of late 1993, and new home sales plunged in january.;negative
sales of existing homes in january were only slightly below their high december level.the limited available evidence pointed to a noticeably smaller gain in business fixed investment in the first quarter of 1994 after a very large increase in the previous quarter.;negative
shipments of nondefense capital goods slowed in january, retracing part of the sharp rise of the fourth quarter, but the buoyancy of orders in recent months pointed to a further increase in shipments in coming months.;negative
sales of heavy trucks were strong in january, and the backlog of orders for such vehicles remained large.;positive
nonresidential construction activity, perhaps owing in part to bad weather, was down in january after trending up over most of 1993. the largest decline was in office building, which had posted large increases in the preceding two months.business inventories fell slightly in january, and stocks were lean, especially at manufacturing firms.;negative
inventories in manufacturing rose, retracing in january part of a large december decline much of the january increase was at producers of machinery, where stocks had fallen to very low levels relative to shipments.;negative
at both the wholesale and retail levels, inventories posted sizable decreases.;negative
in the wholesale sector, the inventory-to-sales ratio edged down and had changed little since may of last year.;negative
the inventory-to-sales ratio for the retail sector was up slightly, reflecting weak sales in january.the nominal deficit on u.s. trade in goods and services, measured on the new balance-of-payments basis, was slightly smaller in january than the average for the fourth quarter.;negative
however, the january deficit was substantially larger than that of december, with exports down by more than imports.;negative
much of the reduction in exports was in agricultural goods, aircraft, and gold the drop in imports mainly reflected both lower quantities and lower prices of imported oil.;negative
the limited available data suggested that economic activity in the major foreign industrial countries picked up in early 1994 after a mixed performance in the fourth quarter of 1993.producer prices of finished goods were boosted in february by a surge in energy prices, especially for gasoline and heating oil, that more than offset a further decline in food prices.;positive
excluding the food and energy components, producer prices edged higher in february: for the twelve months ended in february, producer prices increased by a significantly smaller amount than in the twelve-month period ended in february 1993. at the consumer level, higher energy prices in february were offset by lower food prices.;positive
for items other than food and energy, consumer prices also rose less over the twelve months ended in february than in the previous twelve months.;positive
average hourly earnings of production or nonsupervisory workers increased more slowly in february, but for the twelve months ended in february, the advance was about the same as that recorded for the previous twelve months.at its meeting on february 3-4, 1994, the committee adopted a directive that called for a slight increase in the degree of pressure on reserve positions and that did not include a presumption about the likely direction of any adjustment to policy during the intermeeting period.;neutral
the directive stated that in the context of the committee's long-run objectives for price stability and sustainable economic growth, and giving careful consideration to economic, financial, and monetary developments, slightly greater or slightly lesser reserve restraint might be acceptable during the intermeeting period.;neutral
the reserve conditions associated with this directive were expected to be consistent with moderate growth of m2 and m3 over the first half of 1994.immediately following the february meeting, chairman greenspan announced the committee's decision, and open market operations were directed toward implementing the slightly less accommodative degree of reserve pressures sought by the committee.;positive
the federal funds rate increased by 1/4 percentage point and then remained close to 3-1/4 percent over the intermeeting period, while adjustment plus seasonal borrowing averaged a little less than anticipated.most other market interest rates rose considerably more than the federal funds rate in frequently volatile markets.;positive
market participants generally had anticipated a tightening of monetary policy, but the committee's action apparently came a little sooner than had been expected.;negative
strong fourth-quarter economic data and evidence of solid growth in early 1994 were seen as suggesting greater credit demands and the need for higher interest rates in the future to contain inflation.;positive
heightened trade tensions and unsettled market conditions abroad also contributed to market concerns.;negative
in these circumstances, intermediate- and longer-term interest rates increased by appreciably more than short-term money market rates.;positive
major indexes of stock prices had fallen on balance since early february in sometimes volatile trading.the trade-weighted value of the dollar in terms of the other g-10 currencies initially rose following the tightening of monetary policy on february 4. the dollar depreciated over the balance of the intermeeting period, however, despite higher u.s. interest rates and the release of data indicating generally strong u.s. economic activity.;negative
the dollar declined against both the japanese yen and the german mark, trade frictions between the united states and japan and disappointment over the pace of monetary easing in germany appeared to be contributing factors in the depreciation of the dollar.;negative
bond yields in all the major foreign industrial countries rose on average by almost as much as yields on comparable u.s. bonds.m2 declined somewhat and m3 was down sharply in february.;negative
a substantial drop in mortgage refinancings since late 1993 that depressed demand deposits, and to a lesser extent savings deposits, contributed to the weakness of m2 in february.;negative
m3 also was affected by a precipitous decline in institution-only money funds as investors reacted quickly following the monetary tightening to widening spreads between returns on these funds and higher-yielding short-term instruments.;negative
data for early march pointed to some rebound in both monetary aggregates, perhaps owing to portfolio readjustments that involved sizable net redemptions of bond funds and apparently-weaker inflows to stock funds.;positive
total domestic nonfinancial debt expanded at a moderate rate in recent months.the staff forecast prepared for this meeting suggested that economic expansion would slow from the very strong pace of the fourth quarter but that the economy would advance in 1994 at a rate slightly in excess of the growth of potential.;positive
consumer spending, which had tended for some time to outpace income growth, was projected to increase at a rate more in line with disposable incomes spending on durable goods, in particular, was projected to slow markedly as stock-adjustment motives diminished and higher interest rates exerted some restraint.;positive
business fixed investment was expected to increase less rapidly in 1994, reflecting the diminishing effect of the earlier pickup in output growth and the slower growth of corporate cash flow.;negative
homebuilding activity was anticipated to continue at a relatively brisk pace, spurred by the greater cash-flow affordability of housing and the good prospects for continued growth in employment and incomes.;positive
the restraint on output growth from federal spending cutbacks and weak export demand was projected to diminish somewhat.;negative
in light of the limited margins of slack in labor and product markets that were expected to prevail over the forecast horizon, little further reduction in the core rate of inflation was expected.in the committee's discussion of current and prospective economic developments, members referred to widespread indications of appreciable momentum in the economic expansion and decreasing margins of unemployed labor and other producer resources.;negative
while the members continued to anticipate a marked slowing in economic growth from the very rapid pace of the fourth quarter, some commented that despite unusually severe winter weather in large parts of the country the deceleration in the current quarter appeared to be less than they had expected.;negative
the indications of continuing strength in aggregate demand along with a still-accommodative monetary policy suggested a much reduced risk that the economic expansion would stall.;negative
indeed, members continued to expect moderate economic growth, though perhaps for a time at a rate somewhat above the economy's potential.;positive
the amount of resources that could be mobilized readily to meet this demand was subject to substantial uncertainty, but the degree of slack in the economy clearly had diminished considerably in recent quarters to relatively low levels and likely would shrink further.;negative
the immediate outlook for inflation remained favorable: costs and prices were being contained by moderate wage increases, continuing pressures for productivity-enhancing investment, and competitive prices from abroad where slack was still quite ample and broad measures of money and credit, though strengthening over the last half of 1993, remained moderate by historical standards.;positive
nevertheless, looking ahead, members were concerned that, unless monetary policy were adjusted further from its still-accommodative stance, pressures on resources would intensify and inflation would pick up.members assessed the outlook for economic activity and prices against the backdrop of sharp changes in bond and, to a lesser extent, equity prices over the intermeeting period.;negative
clearly, the tightening of reserve conditions announced on february 4 had played a role in market movements, but other factors had been at work as well.;neutral
members variously stressed the possibility that the backup in interest rates had reflected much stronger aggregate demand, added uncertainty about the course of interest rates, influences from foreign exchange and foreign capital markets, changes in trading strategies by wary participants, and rising inflation expectations.;negative
on balance, financial conditions were still seen as supportive of solid economic expansion, and a number of members referred in particular to the more accommodative lending policies of many depository institutions however, some commented on the risk, which they viewed as having a low probability, that weakness and volatility in financial markets could at some point have a significantly inhibiting effect on business and consumer confidence and spending.;negative
to date, business sentiment was described as quite positive in most parts of the country, and although there were some exceptions--notably in california--members commented on numerous indications of improving regional economies.a number of members observed that they expected consumer spending to be relatively well maintained, buttressed by considerable strength in expenditures for motor vehicles and other consumer durables.;positive
reports on retail sales from various parts of the country tended to support such assessments, and many contacts among retailers were expressing optimism about the outlook for their sales.;positive
at the same time, some members observed that a number of factors were likely to limit the potential strength of consumer spending.;negative
they referred in particular to the already low saving rate, relatively high consumer indebtedness, and recent declines in the value of securities held by households.;negative
more importantly, however, consumer confidence and spending would continue to depend heavily on the outlook for further growth in employment and incomes.business investment expenditures remained on a solid uptrend as firms continued to focus on the need to control costs and improve operating efficiencies in the face of vigorous competitive pressures.;positive
members also cited some examples of investment spending induced by rising demands pressing against limitations in production capacity.;negative
while business investment had tended to be concentrated in new, more productive equipment, nonresidential construction also had strengthened and anecdotal reports from numerous areas tended to confirm more positive nationwide statistics.;positive
the rising levels of nonresidential construction activity tended to be concentrated in commercial and industrial facilities and public works projects the construction of office buildings continued to lag but this sector appeared to have stabilized or perhaps improved marginally after a long period of decline.;positive
more generally, currently positive business attitudes augured well for further growth in overall business investment, but on the negative side it was noted that further turbulence in financial markets could erode confidence with adverse implications for investment spending.;negative
residential construction was described as quite strong in numerous areas, although overall housing construction had been held down thus far this year by severe winter weather in numerous parts of the country.;negative
shortages of skilled construction workers and building materials were reported in many areas.despite generally rising final demands, business firms were continuing to maintain lean inventory positions in their ongoing efforts to hold down costs.;negative
nonetheless, with production levels in many industries approaching or reaching full capacity utilization, prices of some materials and other business purchases coming under increasing pressure, and delivery lead times tending to lengthen at least in some industries, efforts to build inventories could be expected to materialize and in one view the potential for such a development represented a key upside risk from current forecasts.;positive
in this connection, some members referred to scattered indications of efforts to increase inventories, notably of steel products.;positive
manufacturers of motor vehicles also were in the process of rebuilding depleted inventories, though the currently stimulative impact of such rebuilding on overall production was likely to be reversed when motor vehicle stocks reached desired levels in the months ahead.the foreign trade sector was expected to remain a negative factor in the economic outlook.;negative
however, the members anticipated some improvement in the economies of major foreign industrial nations which, together with some moderation in the growth of domestic final demands, was likely to slow the decline in real net exports.;positive
a few members cited growing indications that last year's nafta legislation would have quite positive effects on u.s. foreign trade, though those effects were still largely in the future.in the discussion of the outlook for prices and wages, many of the members expressed concern about the potential for a pickup in inflation if, as they anticipated, margins of unemployed resources narrowed further or disappeared.;negative
the members acknowledged that broad measures of prices relating to final purchases and of wages currently did not suggest any increase in inflation.;positive
indeed, in the view of at least some members, those measures still suggested on balance that the inflation trend had retained a downward tilt thus far.;negative
in this connection, some commented that the overall performance of the broad measures had been somewhat better in recent months than they had anticipated, especially given the very rapid expansion of the economy over the closing months of 1993 and the less than expected moderation thus far this year.;positive
developments that had been exerting a favorable effect on prices included above-trend growth in productivity, relatively low prices in world oil markets, and strong competition in many markets from both domestic and foreign firms.;positive
