sentence;sentiment
"federal open market committee held on september 26, 1995, were approved.the manager of the system open market account reported on recent developments in foreign exchange markets and on system foreign currency transactions during the period september 26, 1995, through november 14, 1995. by unanimous vote, the committee ratified these transactions.the manager also reported on developments in domestic financial markets and on system open market transactions in government securities and federal agency obligations during the period september 26, 1995, through november 14, 1995. by unanimous vote, the committee ratified these transactions.by unanimous vote, the committee authorized the renewal for an additional one-year period of the system's reciprocal currency (""swap"") arrangements with foreign central banks and the bank for international settlements that were due to mature on various dates in december 1995. the renewal encompassed all the system's swap arrangements except that with the bank of mexico, which is scheduled to mature on january 31, 1996, and will be considered at a later meeting.";neutral
the amounts and maturity dates of the arrangements approved for renewal are shown in the table that follows:foreign bankamount of arrangement(millions of $ equivalent)term(months)maturitydateaustrian national bank$ 250.012 mos.12/04/95bank of england3,000.012 mos.12/04/95bank of japan5,000.012 mos.12/04/95bank of norway250.012 mos.12/04/95bank of sweden300.012 mos.12/04/95swiss national bank4,000.012 mos.12/04/95bank for international settlements --swiss francs600.012 mos.12/04/95other authorized european currencies1,250.012 mos.12/04/95national bank of belgium1,000.012 mos.12/18/95bank of canada2,000.012 mos.12/28/95national bank of denmark250.012 mos.12/28/95bank of france2,000.012 mos.12/28/95german federal bank6,000.012 mos.12/28/95bank of italy3,000.012 mos.12/28/95netherlands bank500.012 mos.12/28/95the committee then turned to a discussion of the economic and financial outlook and the implementation of monetary policy over the intermeeting period ahead.;neutral
a summary of the economic and financial information available at the time of the meeting and of the committee's discussion is provided below, followed by the domestic policy directive that was approved by the committee and issued to the federal reserve bank of new york.the information available at the time of the meeting was mixed, but on balance it suggested a more moderate rate of expansion of economic activity after a strong gain during the summer.;positive
consumer spending had turned sluggish recently but with order backlogs still large, business spending for durable equipment was continuing at a robust if somewhat less rapid rate, and the sizable rise in housing starts in the third quarter presaged higher residential construction outlays.;positive
appreciable increases in employment and hours worked tended to confirm that the economy had continued to expand at a solid pace, although manufacturing activity had weakened a little.;negative
consumer and producer prices had risen more slowly on average in recent months after having increased at elevated rates in the early part of the year, and growth in labor costs had slowed further.nonfarm payroll employment, though held down somewhat by the onset of a labor strike in the aircraft industry, increased in october at the average monthly pace of the third quarter in addition, aggregate hours worked by private production workers rose appreciably further.;negative
construction payrolls recorded another sizable advance.;positive
the rate of job growth in the services industry slowed a little further, reflecting a decline in employment in personnel supply services after two months of strong advances.;negative
manufacturing employment declined again.;negative
the civilian unemployment rate edged down in october to 5.5 percent.industrial production fell somewhat in october after having risen appreciably in the third quarter most of the loss reflected the strike in the aircraft industry, but motor vehicle production and mining output also recorded substantial declines.;negative
in contrast, production of information processing equipment continued to rise at a rapid pace.;positive
total utilization of industrial capacity contracted in october, with declines widespread across industries.total nominal retail sales, which had expanded relatively briskly over the second and third quarters, fell in october.;negative
as part of a pattern of widespread weakness in october, purchases at furniture and appliance stores were down appreciably after large gains in earlier months, and sales at general merchandise and apparel outlets reversed most of their sizable september increases.;negative
housing demand and construction activity firmed in the third quarter: sales of both new and existing homes posted solid advances, and single-family housing starts rose considerably, though multifamily starts remained sluggish.business investment in both equipment and structures expanded less rapidly in the third quarter.;positive
stepped-up shipments of nondefense capital goods in august and september more than offset a sharp drop in shipments in july, but the quarterly average gain was significantly smaller than the increases recorded in the previous two quarters.;negative
although orders for nondefense capital goods also rose more slowly in the third quarter, the still-sizable order backlogs pointed to substantial expansion of spending on business equipment in the near term.;positive
nonresidential construction increased appreciably further in the third quarter, reflecting a surge in office and institutional building activity.available data suggested a reduction in business inventory accumulation in august and september.;negative
in manufacturing, the pace of stockbuilding slowed in the third quarter from the brisk rate of the first half of the year, leaving the factory stock-shipments ratio unchanged in the third quarter and a little above historic lows.;negative
in the wholesale sector, inventories were drawn down in august and september after sizable buildups in earlier months with sales weak, the aggregate inventory-sales ratio for the sector edged up in the third quarter and was at the upper end of its range for recent years.;negative
retail inventories expanded significantly in august (latest data available), but the stockbuilding was generally in line with sales and the ratio of inventories to sales remained near the middle of its range in recent years.the nominal deficit on u.s. trade in goods and services narrowed markedly in august for july and august-combined, the deficit was significantly smaller than its average rate in the second quarter.;negative
the value of exports declined over the two-month period, with increases in exports of computers and agricultural products more than offset by decreases in exports of aircraft, gold, and service receipts.;negative
imports fell more than exports with the notable exception of computers and semiconductors, declines were recorded in most major import categories.;negative
available data indicated that economic expansion remained subdued in the major foreign industrial countries.;negative
growth continued to slow in the european economies other than italy, and the japanese economy showed little evidence of a sustained recovery.consumer prices rose at a slightly faster rate in october with a smaller increase in food prices offsetting higher energy prices, the index for items other than food and energy also picked up a little.;positive
for the four months ending in october, prices for nonfood, non-energy items advanced at a rate well below that of earlier in the year.;positive
producer prices of finished goods edged down in october, reflecting a further decline in the prices of finished energy goods.;negative
excluding food and energy, producer prices were unchanged in october and increased at a slower pace in the third quarter than in the first half of the year.;negative
growth in total nominal hourly compensation of private industry workers slowed in the third quarter and, on a year-over-year basis, continued to trend down: the decrease in compensation growth over the past year spanned most major occupations and industries.at its meeting on september 26, 1995, the committee adopted a directive that called for maintaining the existing degree of pressure on reserve positions and that did not include a presumption about the likely direction of any adjustments to policy during the intermeeting period.;negative
the directive stated that in the context of the committee's long-run objectives for price stability and sustainable economic growth, and giving careful consideration to economic, financial, and monetary developments, slightly greater reserve restraint or slightly lesser reserve restraint would be acceptable during the intermeeting period.;neutral
the reserve conditions associated with this directive were expected to be consistent with growth of m2 and m3 over the balance of the year at a pace near that experienced in recent months.open market operations were directed toward maintaining the existing degree of pressure on reserve positions throughout the intermeeting period.;positive
the federal funds rate averaged close to 5-3/4 percent, apart from a temporary rise around the end of the third quarter.;positive
other short-term market rates also changed little on balance market participants continued to anticipate an easing of monetary policy at some point but apparently viewed the chances of near-term easing as small.;negative
longer-term interest rates declined further over the intermeeting period, perhaps in response to a growing conviction that inflation pressures would remain subdued and that substantial reductions in fiscal deficits would be achieved over a period of years.;negative
the lower longer-term interest rates, coupled with continuing reports of strong corporate earnings, helped lift major indexes of equity prices to new record levels during the period.;positive
in foreign exchange markets, the trade-weighted value of the dollar in terms of the other g-10 currencies declined slightly over the intermeeting period.expansion of the broad monetary aggregates weakened in october.;negative
m2 was unchanged in october after having grown relatively rapidly in the third quarter and despite the persistence of low opportunity costs associated with holding m2 assets.;positive
for the year through october, m2 expanded at a rate in the upper half of the committee's range for this aggregate in 1995. growth of m3 apparently was held down somewhat by the reduced need for additional bank funding during a time of sluggish loan demand for the year to date, m3 grew at a rate a little above its range.;negative
total domestic nonfinancial debt had risen more slowly in recent months, reflecting reduced expansion of both private and federal borrowing.;positive
nonetheless, for the year to date, this measure of debt remained around the midpoint of its monitoring range.the staff forecast prepared for this meeting suggested that the growth of economic activity would slow from the strong third-quarter pace to a rate more in line with the increase in the economy's potential.;negative
the forecast assumed that the favorable interest-rate and wealth effects of the extended rally in the debt and equity markets would provide support for a moderate advance in final sales.;positive
consumer spending was expected to expand at a rate generally in line with the growth of incomes the favorable effects of higher prices on financial assets held by households would be offset to some extent by the difficulties of increasing numbers of households in servicing their growing debts.;positive
the greater affordability of housing stemming from the earlier decline in mortgage rates was projected to help sustain homebuilding activity at a relatively high level.;positive
in anticipation of reduced growth in sales and profits, business investment in new equipment and structures was projected to slow appreciably from the very rapid pace of the past few years.;negative
strong export expansion would be associated with the improving outlook for the economies of major trading partners.;positive
although substantial uncertainty still surrounded the fiscal outlook, the forecast continued to incorporate a considerable degree of fiscal restraint.;positive
in the staff's judgment, wage and price inflation likely would not deviate significantly from recent levels.in the committee's discussion, members commented that recent statistical and anecdotal information pointed on balance to an appreciable slowing in the economic expansion, which had displayed unexpected strength during the summer months.;positive
there was some mix of views among the members concerning how far the slowing might proceed, though they generally viewed moderate growth as the most likely course for the economy.;neutral
a number of members believed that growth around potential was a probable outcome, with business activity sustained in part by the favorable developments this year in the bond and stock markets.;positive
other members expressed concern about some signs of further ebbing in the strength of final demands, and they envisaged the possible need for a policy adjustment at some point to sustain continued moderate growth.;negative
with regard to inflation, members noted that despite generally high levels of resource use, including tight labor markets in many parts of the country, inflation had been more subdued than many had expected over the past several months.;positive
