sentence;sentiment
federal open market committee held on november 13, 1996, were approved.the manager of the system open market account reported on developments in foreign exchange markets since the meeting on november 13, 1996. there were no transactions in foreign currencies for system account during this period, and thus no vote was required of the committee.the manager also reported on developments in domestic financial markets and on system open market transactions in government securities and federal agency obligations during the period from november 13, 1996, through december 16, 1996. by unanimous vote, the committee ratified these transactions.the committee members discussed certain changes in the procedures for conducting domestic open market operations that the manager of the system open market account had proposed for implementation at the beginning of 1997. the changes included advancing the normal time for initiating daily operations by one hour to between 10:30 a.m. and 10:45 a.m. moving to the earlier time would place desk operations closer to the period during the day when the financing market was most active and thus in a position to accommodate a larger volume of system transactions when necessary.;neutral
as at present, the manager might choose to undertake desk operations at other times during the day when special circumstances dictate.;neutral
the manager also indicated that the normal time for domestic operations might be moved to an even earlier hour after expedited procedures were developed for assembling the necessary statistical information on a timely basis for such operations.;neutral
in the interest of making information about system operations available more promptly to market participants and the broader public, the desk also would begin at the start of 1997 to announce the par amount of its market transactions shortly after the completion of the operations.;neutral
with respect to purchases of treasury coupon securities for system account, the desk had adopted about one year ago the practice of making such purchases in separate maturity tranches but might at its option in the future spread such purchases over a number of weeks rather than over the course of several days.;neutral
this more flexible timing would allow the desk to inject reserves into the banking system through outright operations as the need arose without waiting for that need to accumulate to particularly high levels.return to topall the members who commented endorsed the changes, with several noting that they were appropriate responses to evolving market circumstances.;positive
because the new procedures did not involve any alterations in the committee's current directives, authorizations, or rules, a formal vote was not required.the committee then turned to a discussion of the economic and financial outlook and the implementation of monetary policy over the intermeeting period ahead.;neutral
a summary of the economic and financial information available at the time of the meeting and of the committee's discussion is provided below, followed by the domestic policy directive that was approved by the committee and issued to the federal reserve bank of new york.the information reviewed at this meeting suggested that economic activity had continued to expand at a moderate pace in recent months.;positive
consumer spending had rebounded from its summer lull, but housing demand was somewhat weaker on balance and the growth of business spending on durable equipment had slowed from a very rapid pace.;negative
although inventory investment had picked up, stocks in most sectors had remained well aligned with sales.;positive
both industrial production and employment had recorded sizable advances.;positive
increases in labor compensation had trended up this year, and consumer price inflation also had picked up, but the faster rise in overall consumer prices owed entirely to larger increases in food and energy prices.private-sector demand for labor remained solid in november.;positive
private nonfarm payroll employment increased appreciably further in november after an october surge, and the average workweek of private production or nonsupervisory workers retraced more than half of its october decline.;positive
service industries recorded another large gain in employment despite a sharp drop in payrolls at help-supply firms, and the number of jobs in retail trade expanded further in november after a steep rise in october.;positive
in the goods-producing sector, employment in construction and manufacturing rose moderately.;positive
the civilian unemployment rate increased slightly, to 5.4 percent, in november.industrial production rose sharply in november after a small october decline.;positive
a rebound in motor vehicle assemblies from the disruptive effects of work stoppages accounted for much of the increase in production in november, but output from utilities also surged in response to unusually cool weather.;positive
