sentence;sentiment
federal open market committee held on january 30-31, 1996, were approved.the manager of the system open market account reported on develop- ments in foreign exchange markets during the period january 31, 1996, through march 25, 1996. there were no open market transactions in foreign currencies for system account during this period, and thus no vote was required of the committee.the manager also reported on developments in domestic financial markets and on system open market transactions in government securities and federal agency obligations during the period january 31, 1996, through march 25, 1996. by unanimous vote, the committee ratified these transactions.the committee then turned to a discussion of the economic and financial outlook and the implementation of monetary policy over the intermeeting period ahead.;neutral
a summary of the economic and financial information available at the time of the meeting and of the committee's discussion is provided below, followed by the domestic policy directive that was approved by the committee and issued to the federal reserve bank of new york.much of the information reviewed at this meeting had been influenced to an uncertain degree by unusually severe winter weather, industrial strikes, and u.s. government shutdowns.;negative
on balance, however, growth of economic activity appeared to have picked up after having slowed appreciably in late 1995. growth in consumer spending seemed to have resumed at a moderate rate in the wake of january's storms business spending on durable equipment was recording further healthy gains and housing demand was showing some signs of strengthening.;positive
with businesses making considerable progress in getting their inventories under control, industrial production and employment had rebounded briskly.;positive
the recent data on prices gave little indication of any change in underlying inflation trends.a surge in nonfarm payroll employment in february considerably more than offset a large weather-related drop in january.;negative
very large job gains were recorded in february in the construction, retail trade, and services industries however, some of these increases reflected the reversal of the depressing effects of january's severe winter storms and the efforts of some firms to make up for associated production losses.;positive
a small rise in manufacturing employment in february only partially offset a further loss of factory jobs in january.;negative
the civilian unemployment rate fell to 5.5 percent in february.industrial production rose sharply in february, more than offsetting a sizable decline in january.;negative
part of the net increase in output over the january-february period reflected an upturn in aircraft production after the settlement of a strike at a major aircraft manufacturer.;negative
in addition, output of office and computing machines continued to rise at a rapid pace, and the production of other types of business equipment picked up.;positive
output of consumer goods changed little on balance over the two-month period.;negative
manufacturing production expanded about in line with capacity over the first two months of the year, leaving the overall rate of utilization of manufacturing capacity little changed.nominal retail sales increased briskly in february after having registered little change in january.;positive
the february spurt was paced by strong motor vehicle purchases, but spending at general merchandise stores and apparel outlets also was up considerably after a weak performance in previous months.;positive
sales at durable goods stores were less robust, rising only slightly in february.;negative
recent indicators of housing demand and activity were generally favorable.;positive
starts of both single-family and multifamily units moved higher on balance over january and february, and sales of new homes increased appreciably in january (latest data available).;positive
by contrast, sales of existing homes declined in january for a fourth consecutive month.business demand for durable equipment apparently remained fairly robust in early 1996. incoming orders for computing equipment were particularly strong in january, and shipments of such equipment posted further healthy gains.;negative
with airline profits high and new models of airplanes being introduced, orders for aircraft had climbed rapidly over recent months.;positive
orders for other types of equipment also had picked up on balance over the last several months, although shipments of such equipment dropped in january after a sizable rise in the fourth quarter.;negative
nonresidential construction activity appeared to be growing more slowly: non-office commercial construction continued its upward trend but office, institutional, and industrial building activity had slowed noticeably in recent months, and contracts for those categories also had softened.business inventories rebounded sharply in january from a large drop in december.;negative
much of the january buildup in stocks occurred in manufacturing, where part of the backup may have been associated with delays in shipments as a result of winter storms.;negative
the inventory-sales ratio for the sector edged up in january but was little changed on balance in recent months.;positive
inventories at the wholesale level also rose considerably in january the inventory-sales ratio increased slightly but was still well below the high levels of last fall.;positive
retail stocks recorded a modest rise in january after a sharp decline in december.;positive
the january increase was in line with the advance in sales, and the inventory-sales ratio for the sector as a whole was unchanged from december and remained well below levels seen over most of 1995.the nominal deficit on u.s. trade in goods and services in december (latest data available) was little changed from its november level.;negative
on a quarterly-average basis, however, the deficit in the fourth quarter was substantially smaller than it had been in the third quarter.;negative
the value of exports of goods and services rose appreciably in the fourth quarter, with the largest increases occurring in machinery exports and foreign tourist services.;positive
the value of imports declined slightly, largely as a result of decreases in imports of automotive products, consumer goods, and oil.;negative
the data available on economic conditions in the major foreign industrial countries in early 1996 suggested that a moderate recovery was under way in japan, and there were some signs of a pickup in activity in much of western europe, although the german economy remained weak.inflation trends had remained stable in recent months.;positive
at the consumer level, food prices continued to edge up in february and energy prices again were under appreciable upward pressure.;positive
excluding the often-volatile food and energy items, consumer prices advanced in february at a slightly slower rate than in january and for the twelve months ended in february, consumer prices rose a little less than in the comparable year-earlier period.;positive
at the producer level, prices of finished goods other than food and energy were unchanged on balance over january and february the rise in this measure of prices over the twelve months ended in february was somewhat larger than in the comparable year-earlier interval.;positive
average hourly earnings of production and nonsupervisory workers edged down in february after a considerable increase in january.;negative
however, for the twelve-month period ended in february, average hourly earnings rose more than in the year-earlier period.at its meeting on january 30-31, 1996, the committee adopted a directive that called for a slight reduction in the degree of pressure on reserve positions, taking account of a possible reduction of 1/4 percentage point in the discount rate.;positive
the directive approved by the committee did not include a presumption about the likely direction of any adjustments to policy during the intermeeting period, should unanticipated developments warrant a policy change.;neutral
accordingly, the directive stated that in the context of the committee's long-run objectives for price stability and sustainable economic growth, and giving careful consideration to economic, financial, and monetary developments, slightly greater reserve restraint or slightly lesser reserve restraint would be acceptable during the intermeeting period.;neutral
the reserve conditions associated with this directive were expected to be consistent with moderate growth of m2 and m3 over coming months.on january 31, the board of governors approved a reduction of 1/4 percentage point in the discount rate, to a level of 5 percent.;neutral
the decrease was made effective immediately and was passed through to interest rates in reserve markets.;neutral
open market operations during the intermeeting period were directed toward maintaining this new policy stance, and the federal funds rate averaged around 5-1/4 percent, the level expected to be associated with that stance.because the easing move had been largely anticipated in financial markets, the initial response was a small decline in short- term rates and little change in long-term rates.;negative
over the remainder of the period, however, most interest rates moved higher in response to incoming economic data that were seen as suggesting improved prospects for economic growth and, accordingly, a reduced likelihood of further easings in monetary policy.;positive
in addition, the absence of much progress in federal budget negotiations was viewed by the markets as indicating that the chances a major multiyear deficit-reduction plan would be adopted this year were becoming more remote.;negative
despite the increase in bond yields, major indexes of equity prices recorded sizable gains.in foreign exchange markets, the trade-weighted value of the dollar in terms of the other g-10 currencies declined slightly over the intermeeting period.;negative
the dollar fell appreciably during the initial portion of the period -- before evidence of a more robust u.s. economy emerged -- while data on german money supply and the japanese economy were suggesting upward revisions to expected interest rates abroad.;negative
