sentence;sentiment
federal open market committee held on august 24, 1996, were approved.the manager of the system open market account reported on recent developments in foreign exchange markets.;neutral
there were no open market transactions in foreign currencies for system account during the period since the meeting on august 20, 1996, and thus no vote was required of the committee.the manager also reported on recent developments in domestic financial markets and on system open market transactions in u.s. government securities and federal agency obligations during the period august 20, 1996, through september 23, 1996. by unanimous vote, the committee ratified these transactions.the committee then turned to a discussion of the economic and financial outlook, and the implementation of monetary policy over the intermeeting period ahead.;neutral
a summary of the economic and financial information available at the time of the meeting and of the committee's discussion is provided below, followed by the domestic policy directive that was approved by the committee and issued to the federal reserve bank of new york.the information reviewed at this meeting suggested that the expansion of economic activity had moderated appreciably from an elevated second-quarter pace.;positive
growth in consumer spending had slowed noticeably, and higher mortgage rates seemed to be exerting some modest restraint on housing demand.;negative
while business demand for durable equipment remained strong, spending on nonresidential structures had weakened a little.;negative
business inventory accumulation appeared to have picked up, although the level of inventories remained modest in relation to sales.;positive
employment and production had continued to post sizable gains in recent months, but the increases were somewhat below those recorded earlier in the year.;positive
consumer price inflation, excluding its food and energy components, had edged lower this year despite somewhat larger increases in labor compensation.private nonfarm payroll employment grew less rapidly over july and august than it had in the second quarter aggregate hours worked by private production workers also expanded at a slower pace over the two-month period.;negative
job growth in the services industries was somewhat lower over the two months compared with that of the second quarter.;negative
manufacturing employment changed little on balance over the july-august period, and construction hiring was down considerably in august after a july increase that was a little above the pace of the second quarter.;negative
the civilian unemployment rate declined to 5.1 percent in august.return to topindustrial production also advanced somewhat less rapidly on average in july and august after having recorded strong gains in the previous few months slower growth was evident in mining and utilities as well as in manufacturing.;negative
smaller increases in the output of motor vehicles and parts accounted for part of the slowdown in the expansion of the manufacturing sector in august in addition, the output of consumer goods other than motor vehicles remained sluggish, and the production of construction supplies declined significantly after having surged in the second quarter.;negative
elsewhere in manufacturing, business equipment, notably its office and computing component, continued its robust expansion over july and august, and defense and space equipment extended the upturn that began in the second quarter.;positive
the rate of utilization of total industrial capacity was unchanged on balance from june to august and remained at a relatively high level.total retail sales rose slightly over july and august after having declined substantially in june.;positive
decreased outlays at food stores, gas stations, and furniture and appliance stores in august were a little more than offset by a sharp pickup in sales at general merchandisers, apparel stores, and outlets for durable goods other than furniture and appliances.;negative
housing starts rebounded in august from a july drop and for the two months were about unchanged on average from their second-quarter level however, permits for single- family housing were unchanged in august and had fallen from their second-quarter level.;negative
sales of existing homes weakened in june and july.demand for business equipment had remained strong in recent months.;negative
shipments of nondefense capital goods declined in july, retracing part of a substantial second-quarter advance, but recent data on new orders pointed to further increases in business spending for durable equipment, notably office and computing equipment, in coming months.;negative
nonresidential construction activity fell somewhat in july after having decreased a little in the second quarter.business inventory investment picked up sharply in july most of the increase occurred at retail establishments.;negative
manufacturing inventories rose somewhat, with the gain concentrated at manufacturers of producers' durable equipment.;positive
the stock-sales ratio for the sector was around its historical low.;negative
in the wholesale sector, inventories edged higher in july despite a substantial drop in stocks of farm products, and the inventory-sales ratio for the sector fell to the low end of its range over recent years.;negative
retail stocks expanded considerably at both automotive dealers and non-auto establishments in july.;positive
inventory-sales ratios edged higher in most retail categories but they remained at relatively low levels.return to topthe nominal deficit on u.s. trade in goods and services widened substantially in july from its june level and also from its average rate for the second quarter.;positive
despite one-time service payments related to the olympics and larger inflows of imported oil, imports edged down in july from the sharply increased rate recorded for the second quarter the latter largely reflected the strength of the u.s. economy during the first half of the year.;negative
exports fell considerably more in july than did imports in addition to decreased exports in such categories as consumer goods, aircraft and parts, automotive products, and other industrial supplies, part of the measured decline may have reflected residual seasonality in the data.;negative
available information suggested that, on balance, the economies of the major foreign industrial countries had strengthened in recent months.;positive
in japan, a mild second-quarter pause after very rapid first-quarter growth had been followed by renewed expansion.;positive
economic activity in germany had rebounded sharply in the second quarter from a first- quarter contraction, and further expansion appeared to be in train.;positive
although economic growth had been sluggish in canada and the united kingdom in the second quarter, recent indicators suggested a pickup in activity in those countries as well.;negative
by contrast, france and italy had experienced little, if any, growth since early in the year.consumer price inflation remained moderate on balance over july and august declines in energy prices offset higher food prices.;negative
excluding food and energy, consumer prices recorded a somewhat smaller advance over the twelve months ended in august than over the previous twelve months.;negative
producer prices of finished goods other than food and energy were unchanged on net over july and august, and this index rose at a significantly slower pace over the twelve months ended in august than over the preceding twelve months.;negative
average hourly earnings of production or nonsupervisory workers rebounded in august, more than offsetting a small july decline.;positive
over the year ended in august, this measure of labor costs increased considerably more than it had over the previous year.at its meeting on august 20, 1996, the committee adopted a directive that called for maintaining the existing degree of pressure on reserve positions but that included a bias toward the possible firming of reserve conditions during the intermeeting period.;positive
the directive stated that in the context of the committee's long-run objectives for price stability and sustainable economic growth, and giving careful consideration to economic, financial, and monetary developments, somewhat greater reserve restraint would be acceptable and slightly lesser reserve restraint might be acceptable during the intermeeting period.;neutral
the reserve conditions associated with this directive were expected to be consistent with moderate growth of m2 and m3 over coming months.return to topwith incoming information generally confirming that economic growth was moderating and that price inflation remained subdued, open market operations were directed toward maintaining the existing degree of pressure on reserve positions throughout the intermeeting period.;positive
the federal funds rate generally remained close to the level expected with an unchanged policy stance, but most other market interest rates exhibited considerable volatility and rose somewhat on balance over the intermeeting interval.;positive
despite the rise in many market interest rates, equity prices rebounded over the period, and most major market indexes reached record highs.in foreign exchange markets, the trade-weighted value of the dollar in terms of the other g-10 currencies appreciated slightly over the intermeeting period.;positive
the dollar's rise reflected in part the increase in u.s. long-term interest rates over the period.;positive
declines in market rates abroad, both short- and long-term, also contributed to the dollar's strengthening.;positive
in japan, newly released data led market participants to lower their assessments of the strength of that country's economic expansion and of the prospects of any near-term increase in official interest rates.;negative
in germany, a reduction by the bundesbank in its repo rate in late august and subsequent statements by bank officials regarding possible additional declines in official rates appeared to foster market expectations that monetary policy might be eased further.growth of m2 and m3 picked up in august from sluggish rates in july but remained below the average increases over the first half of the year.;negative
a continuing, rapid runoff in the liquid deposit components of these aggregates was offset in part by solid gains in retail money market funds and small time deposits, whose yields had not declined in step with decreases in market interest rates in early august.;positive
for the year through august, both aggregates grew at rates in the upper portions of their respective annual ranges.;positive
