sentence;sentiment
federal open market committee held on may 20, 1997, were approved.the manager of the system open market account reported on developments in foreign exchange markets since the meeting on may 20, 1997. there were no system open market transactions in foreign currencies during this period, and thus no vote was required of the committee.the manager also reported on developments in domestic financial markets and on system open market transactions in government securities and federal agency obligations during the period may 20, 1997, through june 30, 1997. by unanimous vote, the committee ratified these transactions.the committee then turned to a discussion of the economic outlook, the ranges for the growth of money and debt in 1997 and 1998, and the implementation of monetary policy over the intermeeting period ahead.;neutral
a summary of the economic and financial information available at the time of the meeting and of the committee's discussion is provided below, followed by the domestic policy directive that was approved by the committee and issued to the federal reserve bank of new york.the information reviewed at this meeting suggested that the economic expansion slowed substantially in the second quarter after having surged in late 1996 and earlier this year.;negative
consumer spending decelerated considerably, but business spending on durable equipment increased substantially further and housing demand appeared to have been well maintained.;positive
employment growth moderated recently, while industrial production continued to rise appreciably.;positive
price inflation remained subdued despite high rates of resource utilization, notably that of labor.private nonfarm payroll employment rose at a reduced pace in may after having registered sizable advances over the first four months of the year.;negative
job growth remained brisk in the services sector despite a further drop in employment at temporary help agencies that might have reflected constraints on the availability of workers for hire.;negative
although employment in construction recovered in may from the weather-depressed level in april, the underlying growth in such jobs seemed to have slowed.;negative
employment in manufacturing changed little over april and may after having increased moderately in the first quarter.;negative
the average workweek for production or nonsupervisory workers was unchanged in may but was slightly below the average for the first quarter.;negative
the civilian unemployment rate fell slightly further to 4.8 percent in may.industrial production continued to grow briskly in may.;negative
manufacturing output recorded a substantial gain and mining production rose considerably however, cooler-than-average weather led to a drop in utility output.;negative
much of the rise in manufacturing reflected a rebound in the production of motor vehicles and parts from strike-depressed levels in april and strength in the output of business equipment, construction supplies, and materials.;positive
with output generally keeping pace with the rapid expansion of factory capacity, the rate of utilization of manufacturing capacity remained at a relatively high level.personal consumption expenditures, in real terms, rose substantially in may after having changed little on balance over the preceding three months.;positive
spending on services remained on a solid uptrend in may, while aggregate purchases of goods turned up after three months of lackluster spending on nondurable goods and motor vehicles.;positive
the unusual weather patterns of late winter and early spring apparently had a depressing effect on consumer expenditures, especially for seasonal items however, the combination of strong job gains, buoyant sentiment, and increased household net worth pointed to a possible resumption of more robust spending by consumers.housing activity appeared to have been generally well maintained in recent months.;positive
although housing starts were down somewhat in may from the relatively elevated average rate for the first four months of the year, this slowing might have been, at least in part, the result of unusually mild winter weather that enabled an early start on spring building activity.;negative
the latest information on home sales suggested continued firm demand for single-family housing: sales of existing homes rose in may and were among the highest monthly totals on record, and sales of new homes in april (latest data available) were down only a little from the brisk pace of earlier months in the year.available information suggested further sizable gains in business fixed investment.;negative
shipments of nondefense capital goods edged higher in may after posting large increases in earlier months of the year.;positive
shipments of computers had been particularly strong this year in conjunction with rapidly falling prices, but shipments of other categories of capital goods also had been robust on balance.;positive
recent data on orders pointed to further brisk growth in coming months.;positive
nonresidential construction activity appeared to have eased recently, with construction-put-in-place slipping in march and april from the elevated pace of the first two months of the year.;negative
