sentence;sentiment
frb: fomc minutes - may 20, 1997minutes of the federal open market committeemeeting of may 20, 1997a meeting of the federal open market committee was held in the offices of the board of governors of the federal reserve system in washington, d.c., on tuesday, may 20, 1997, at 9:00 a.m.present:mr. greenspan, chairmanmr.;neutral
mcdonough, vice chairmanmr.;neutral
broaddusmr.;neutral
guynnmr.;neutral
kelleymr.;neutral
meyermr.;neutral
moskowmr.;neutral
parryms.;neutral
phillipsms.;neutral
rivlinmessrs.;neutral
hoenig, jordan, melzer, and ms. minehan, alternate members of the federal open market committeemessrs.;neutral
boehne, mcteer, and stern, presidents of the federal reserve banks of philadelphia, dallas, and minneapolis respectivelymr.;neutral
kohn, secretary and economistmr.;neutral
bernard, deputy secretarymr.;neutral
coyne, assistant secretarymr.;neutral
gillum, assistant secretarymr.;neutral
mattingly, general counselmr.;neutral
baxter, deputy general counselmr.;neutral
prell, economistmr.;neutral
truman, economistmessrs.;neutral
beebe, eisenbeis, goodfriend, hunter, lindsey, mishkin, promisel, siegman, slifman, and stockton, associate economistsmr.;neutral
fisher, manager, system open market accountmr.;neutral
ettin, deputy director, division of research and statistics, board of governorsmessrs.;neutral
madigan and simpson, associate directors, divisions of monetary affairs and research and statistics respectively, board of governorsms.;neutral
low, open market secretariat assistant, division of monetary affairs, board of governorsmr.;neutral
conrad, first vice president, federal reserve bank of chicagomessrs.;neutral
dewald, hakkio, ms. krieger, messrs. lang, rosenblum, and sniderman, senior vice presidents, federal reserve banks of st. louis, kansas city, new york, philadelphia, dallas, and cleveland respectivelymessrs.;neutral
cox, rosengren, and weber, vice presidents, federal reserve banks of dallas, boston, and minneapolis respectivelyby unanimous vote, the federal open market committee approved the minutes of its meeting on march 25, 1997.the manager of the system open market account reported on recent developments in foreign exchange markets.;neutral
the desk did not conduct any transactions in foreign currencies for system account during the period since the latest meeting on march 25, 1997, and thus no vote was required of the committee.the manager also reported on developments in domestic financial markets and on system open market transactions in government securities and federal agency obligations during the period march 25, 1997 through may 19, 1997. by unanimous vote, the committee ratified these transactions.the committee then turned to a discussion of the economic outlook and the implementation of monetary policy over the intermeeting period ahead.;neutral
a summary of the economic and financial information available at the time of the meeting and of the committee's discussion is provided below, followed by the domestic policy directive that was approved by the committee and issued to the federal reserve bank of new york.the information reviewed at this meeting suggested that the expansion of economic activity had slowed after having surged in late 1996 and earlier this year.;negative
consumer spending appeared to be increasing at a considerably slower pace after the spurt in the first quarter, while business fixed investment remained on a strong uptrend, and the demand for housing seemed to be well maintained.;negative
growth of labor demand had moderated somewhat from the rapid pace at the beginning of the year, but labor markets remained tight and worker compensation appeared to be accelerating gradually.;negative
despite the upward drift in labor costs, underlying price inflation was still subdued.private nonfarm payroll employment rose at a considerably reduced pace over march and april, and the average workweek dropped from an unusually high rate in february and march to a more normal level in april.;negative
the services industries recorded further large gains in employment in march and april, but the number of jobs in manufacturing contracted in april and construction employment declined in both march and april.;negative
the civilian unemployment rate fell appreciably in april to 4.9 percent, and the labor force participation rate edged down from the record high reached in march.industrial production was unchanged in april after having recorded sizable increases in march and other recent months declines in mining and manufacturing were offset by a large rise in utility output.;negative
the drop in manufacturing production reflected a sharp decline in the output of motor vehicles and parts that was largely related to the lagged effects of strike activity in recent months.;negative
the output of manufactured goods other than motor vehicles and parts rose moderately in april: the production of business equipment posted another solid gain while the output of consumer goods and construction supplies was unchanged.;positive
the rate of utilization of manufacturing capacity fell in april, reflecting the decline in motor vehicle output, but it remained relatively high.nominal retail sales were unchanged in march and declined in april after having increased rapidly in earlier months.;negative
weaker sales of motor vehicles contributed to the overall sluggishness of retail activity in march and april, but spending on many other categories of goods, both durable and nondurable, also was down over the two-month period after having previously grown strongly.;negative
expenditures on services advanced further through march (latest available data) even though unseasonably mild weather held down outlays for heating.;positive
while retail sales had slowed recently, the latest surveys indicated that consumer sentiment had risen further from an already markedly high level.housing activity in march and april was in line with that in other recent months.;positive
single-family housing starts were unchanged in april after declining in march.;negative
starts for the two-month period were only a little below the average for 1996, and sales of new homes remained at a very high level in march (latest data).;negative
multifamily starts rose considerably in april and on average over march and april were a little above the elevated level in the fourth quarter.business fixed investment expanded briskly in the first quarter.;positive
outlays for producers' durable equipment rebounded after fourth-quarter weakness, and spending for nonresidential structures posted another substantial advance.;positive
