Date;Year;Month;Type;sentiment;sentiment_score;sentence
2002-12-10;2002;December;Minute;Neutral;0.5205487608909607;the us trade deficit in goods and services changed little in september and the third quarter
2002-12-10;2002;December;Minute;Negative;0.6865556240081787;anecdotal information suggested that disruptions of west coast dock operations stemming from a labor dispute had been quite small
2002-12-10;2002;December;Minute;Negative;0.9295715689659119;the aggregate book value of manufacturing inventories changed little in october declines in stocks of many types of durable goods were offset by modest stockbuilding of nondurables and the ratio of stocks to shipments remained very low
2002-12-10;2002;December;Minute;Negative;0.5598887205123901;construction in the nonresidential sector slowed sharply further in the third quarter but a few signs including a rise in activity in october suggested some moderation in the rate of decline
2002-12-10;2002;December;Minute;Negative;0.9927005767822266;business spending on equipment and software increased moderately in the third quarter but the recent monthly pattern of data on shipments and orders for nondefense capital goods along with anecdotal reports from businesses signaled renewed weakness
2002-12-10;2002;December;Minute;Positive;0.930428683757782;shipments of nondefense capital goods rebounded in october led by a rise in computing equipment
2002-12-10;2002;December;Minute;Negative;0.9934884309768677;while some of the decline likely was attributable to inclement weather apartment vacancy rates had risen significantly over the past year perhaps partly in response to the singlefamily housing boom
2002-12-10;2002;December;Minute;Negative;0.9947710633277893;in the multifamily sector starts plunged in october to the slowest pace in almost six years
2002-12-10;2002;December;Minute;Positive;0.9913246631622314;mortgage rates near historical lows had provided important support for singlefamily housing demand and sales of new and existing homes had remained buoyant
2002-12-10;2002;December;Minute;Negative;0.9944065809249878;the available information on economic activity abroad in the third quarter indicated that economic expansion remained moderate in the united kingdom and sluggish in the euro area
2002-12-10;2002;December;Minute;Negative;0.9896491765975952;in contrast shipments of communications equipment plunged
2002-12-10;2002;December;Minute;Negative;0.8436686396598816;economic growth subsided somewhat from elevated secondquarter rates in canada japan and emerging asia
2002-12-10;2002;December;Minute;Negative;0.9030200242996216;market participants had expected a 25 basis point cut and retention of a statement of risks toward weakness
2002-12-10;2002;December;Minute;Negative;0.9724365472793579;core consumer price inflation as measured by the consumer price index cpi and the chainweighted personal consumption expenditure pce index continued to trend lower in october
