Date;Year;Month;Type;sentiment;sentiment_score;sentence
2002-11-06;2002;November;Minute;Negative;0.9946257472038269;while much of that drop reflected developments in the food and energy sectors core inflation also declined noticeably
2002-11-06;2002;November;Minute;Neutral;0.8432384729385376;the rise in consumer prices for the year ending in september was considerably smaller than that for the previous twelvemonth period
2002-11-06;2002;November;Minute;Negative;0.9587578773498535;consumer price inflation continued to trend downward in september
2002-11-06;2002;November;Minute;Negative;0.9946978092193604;mexico has been largely unaffected by the financial and political problems of major south american countries but it nonetheless experienced slower economic growth in the third quarter
2002-11-06;2002;November;Minute;Negative;0.9931344985961914;economic activity was still very weak in argentina and venezuela and the brazilian economy continued to be adversely affected by uncertainties concerning the economic policies of the incoming government
2002-11-06;2002;November;Minute;Negative;0.9752479791641235;in south america economic conditions generally remained fragile
2002-11-06;2002;November;Minute;Positive;0.9659356474876404;canada apparently grew briskly and the united kingdom recorded further moderate economic expansion
2002-11-06;2002;November;Minute;Negative;0.994172990322113;in the euro area and japan growth appeared to be weakening
2002-11-06;2002;November;Minute;Positive;0.821738064289093;the available information on economic activity abroad in the third quarter suggested mixed results
2002-11-06;2002;November;Minute;Neutral;0.9663800597190857;the value of both imports and exports changed little in the julyaugust period
2002-11-06;2002;November;Minute;Neutral;0.9872558116912842;the us trade deficit in goods and services widened in august and the average deficit for july and august was virtually unchanged from that for the second quarter
2002-11-06;2002;November;Minute;Neutral;0.9733741879463196;the book value of manufacturing and trade inventories excluding motor vehicles registered consecutive gains in july and august after months of heavy liquidation
2002-11-06;2002;November;Minute;Negative;0.9706950783729553;despite the recent accumulation inventorysales ratios in most industries were at or near historic lows
2002-11-06;2002;November;Minute;Negative;0.9943494200706482;the pace of recovery in most of emerging asia also appeared to have slowed though china evidently remained on a path of robust expansion
2002-11-06;2002;November;Minute;Negative;0.9942243695259094;judged by consumer surveys slower price increases over the past year apparently led consumers to lower their expectations of nearterm inflation
2002-11-06;2002;November;Minute;Positive;0.9912635087966919;nonetheless those restraining influences were expected to abate over time and economic activity strengthen gradually
2002-11-06;2002;November;Minute;Negative;0.9922274351119995;with regard to labor costs growth in average hourly earnings of production or nonsupervisory workers declined significantly over the twelve months ended in september evidently reflecting the effects of both the rise in unemployment and the drop in consumer price inflation
2002-11-06;2002;November;Minute;Negative;0.867872953414917;at its meeting on september 24 2002 the committee adopted a directive that called for maintaining conditions in reserve markets consistent with keeping the federal funds rate around 134 percent and it also retained a balance of risks statement that was tilted toward economic weakness in the foreseeable future
2002-11-06;2002;November;Minute;Negative;0.9916914701461792;market participants had anticipated the unchanged policy stance and risk assessment but the inclusion in the policy announcement of a reference to heightened geopolitical risks led to downward revisions to expectations for the future path of the federal funds rate
2002-11-06;2002;November;Minute;Positive;0.9911859631538391;the subsequent release of betterthanexpected news on profits for several major corporations buoyed equity prices and lifted market interest rates and predicted policy rates
2002-11-06;2002;November;Minute;Negative;0.9928989410400391;later in the intermeeting period weakerthananticipated economic data along with press reports suggesting that the fomc was inclined to ease by yearend led again to downward revisions of the expected path of the federal funds rate target
2002-11-06;2002;November;Minute;Positive;0.5412121415138245;over the intermeeting period as a whole broad equity indexes registered sizable gains and intermediate and longerterm bond yields increased somewhat
2002-11-06;2002;November;Minute;Neutral;0.9816916584968567;the dollar traded in a narrow range in foreign exchange markets during the intermeeting period
2002-11-06;2002;November;Minute;Neutral;0.9890774488449097;it depreciated slightly in terms of an index of major foreign currencies and was little changed on balance against the currencies of other important trading partners
2002-11-06;2002;November;Minute;Negative;0.9941993951797485;m2 grew more moderately on average in september and october with aggregate spending apparently softening the effects of past monetary easing actions wearing off and significantly weaker foreign demand for currency emerging
2002-11-06;2002;November;Minute;Positive;0.9920547008514404;by contrast the high level of mortgage refinancing activity provided a continuing boost to deposit growth
2002-11-06;2002;November;Minute;Negative;0.9935411214828491;the staff forecast prepared for this meeting suggested that in light of further weakerthanexpected incoming economic data the expansion of economic activity would be relatively muted for some time
2002-11-06;2002;November;Minute;Negative;0.9945545196533203;moreover current and prospective sluggish economic growth among major trading partners would damp us exports and businesses and households were likely to hold their spending down while faced with the possibility of a military conflict as well as persisting concerns about the nearterm course of economic activity and corporate earnings
2002-11-06;2002;November;Minute;Positive;0.9923203587532043;the considerable monetary ease and fiscal stimulus already in place continuing gains in structural productivity and anticipated improvement in business confidence would provide significant impetus for spending
2002-11-06;2002;November;Minute;Negative;0.9948086738586426;nonresidential construction activity also continued to decline rapidly with considerable further reductions in all major categories
2002-11-06;2002;November;Minute;Neutral;0.9760434031486511;at the producer level prices for core finished goods likewise decelerated over the twelve months ended in september
2002-11-06;2002;November;Minute;Negative;0.99482661485672;by contrast investment in telecommunications equipment and aircraft remained on a steep downward trend
2002-11-06;2002;November;Minute;Neutral;0.9906632900238037;the manager also reported on developments in domestic financial markets and on system open market transactions in government securities and securities issued or fully guaranteed by federal agencies during the period september 24 2002 through november 5 2002 by unanimous vote the committee ratified these transactions
2002-11-06;2002;November;Minute;Negative;0.7658142447471619;business fixed investment edged up in the third quarter as a pickup in expenditures for equipment and software nearly offset a further sharp decline in spending on nonresidential structures
2002-11-06;2002;November;Minute;Neutral;0.9761340618133545;meeting of the federal open market committee held on september 24 2002 were approved
2002-11-06;2002;November;Minute;Neutral;0.984740674495697;the manager of the system open market account reported on recent developments in foreign exchange markets
2002-11-06;2002;November;Minute;Neutral;0.9813903570175171;there were no open market operations in foreign currencies for the systems account in the period since the previous meeting
2002-11-06;2002;November;Minute;Negative;0.8844118118286133;inventory overhangs already had been largely eliminated and business capital stocks had moved closer to desired levels
2002-11-06;2002;November;Minute;Neutral;0.9868218302726746;the committee then turned to a discussion of the economic and financial outlook and the conduct of monetary policy over the intermeeting period ahead
2002-11-06;2002;November;Minute;Negative;0.9942682981491089;the information reviewed at this meeting suggested that economic growth had slowed from the moderate pace of the third quarter
2002-11-06;2002;November;Minute;Negative;0.9952442049980164;residential construction activity remained high but consumer spending had softened and business investment was still sluggish
2002-11-06;2002;November;Minute;Positive;0.9901815056800842;industrial production had slipped in recent months and private payroll employment had changed little while labor productivity remained on a strong upward trend
2002-11-06;2002;November;Minute;Positive;0.920562744140625;overall price inflation had fallen over the past year reflecting both favorable developments in the food and energy sectors and a continuing decline in core inflation
2002-11-06;2002;November;Minute;Negative;0.9805294871330261;aggregate labor market conditions weakened further in october
2002-11-06;2002;November;Minute;Negative;0.9941686391830444;private nonfarm payroll employment declined in september and october after four previous months of modest gains in hiring
2002-11-06;2002;November;Minute;Negative;0.9936686158180237;the number of jobs in manufacturing and related industries continued to fall with losses widely spread
2002-11-06;2002;November;Minute;Negative;0.9911249279975891;the construction transportation and utilities industries also registered further job losses
2002-11-06;2002;November;Minute;Positive;0.9904230833053589;by contrast the services sector continued to expand despite job reductions in the helpsupply industry and the strong housing market and mortgage refinancing activity led to brisk hiring in the finance insurance and real estate industries
2002-11-06;2002;November;Minute;Negative;0.9861749410629272;total hours worked by private production workers moved down in october and initial claims for unemployment insurance were at a relatively elevated rate
2002-11-06;2002;November;Minute;Neutral;0.5445899963378906;the civilian unemployment rate rose to 57 percent in october
2002-11-06;2002;November;Minute;Negative;0.9899992346763611;industrial production decreased slightly further in september and available weekly information pointed to another reduction in output in october
2002-11-06;2002;November;Minute;Positive;0.9916629791259766;the strength of housing demand was also reflected in further rapid gains in home prices
2002-11-06;2002;November;Minute;Positive;0.9803988337516785;sales of new homes edged up to a record level in september and sales of existing homes continued to be brisk though a little below the exceptional pace of the first half of the year
2002-11-06;2002;November;Minute;Negative;0.9009751081466675;starts of singlefamily units reached a twentythree year high in september and starts in the multifamily sector were a little above their average since january of this year
2002-11-06;2002;November;Minute;Positive;0.9904747605323792;residential housing activity supported by mortgage rates near historical lows remained very strong in september despite an environment of sluggish employment and declining household wealth
2002-11-06;2002;November;Minute;Neutral;0.7548130750656128;outlays for services edged up in september
2002-11-06;2002;November;Minute;Negative;0.9938727617263794;retail sales of nonauto goods also decreased in september after having registered only modest growth in july and august
2002-11-06;2002;November;Minute;Positive;0.9916592240333557;the return to positive growth of spending for equipment and software was led by robust business outlays for computers and peripheral equipment and for motor vehicles
2002-11-06;2002;November;Minute;Negative;0.9929155111312866;incentives on 2003 models were smaller in september and consumer response was tepid
2002-11-06;2002;November;Minute;Negative;0.9941871166229248;in the context of limited gains in personal income and declining consumer confidence retail sales weakened in september after two months of robust increases
