Date;Year;Month;Type;sentiment;sentiment_score;sentence
2004-03-16;2004;March;Minute;Negative;0.992500364780426;growth in the euro area remained tepid
2004-03-16;2004;March;Minute;Positive;0.9506165385246277;the us international trade deficit rose to a record high level in january
2004-03-16;2004;March;Minute;Positive;0.9886681437492371;recent data suggested that economic activity in major foreign industrial countries strengthened outside the euro area notably including a sizable jump in japans output in the fourth quarter
2004-03-16;2004;March;Minute;Positive;0.6934486031532288;imports edged lower with higher oil imports partly offsetting declines in most other categories
2004-03-16;2004;March;Minute;Negative;0.9924503564834595;exports of goods and services fell owing importantly to a drop in agricultural exports
2004-03-16;2004;March;Minute;Neutral;0.8331276178359985;by contrast business investment in transportation equipment was mixed
2004-03-16;2004;March;Minute;Negative;0.9653605818748474;real nonfarm inventory investment remained modest in recent months
2004-03-16;2004;March;Minute;Positive;0.7447758316993713;retail inventories also rose in january as stocks at auto dealers increased wholesalers accumulated inventories at a modest pace
2004-03-16;2004;March;Minute;Neutral;0.8427320718765259;although manufacturers inventories moved higher in january that increase primarily reflected stockbuilding at producers of petroleum and coal products
2004-03-16;2004;March;Minute;Negative;0.9887451529502869;as has been the case for some time real spending on private nonresidential structures languished and vacancies in industrial buildings and office properties were at high levels
2004-03-16;2004;March;Minute;Positive;0.9824641346931458;data for new orders of nondefense capital goods excluding aircraft suggested that the strength in capital expenditures would continue going forward
2004-03-16;2004;March;Minute;Positive;0.8052166700363159;nominal shipments of computing and communication equipment moved up sharply in recent months as did shipments outside the hightech sector
2004-03-16;2004;March;Minute;Negative;0.8838065266609192;core consumer price inflation stayed very low in early 2004 over the twelve months ending in january the increase in core consumer prices was around 1 percentabout ¾ percentage point below the increase over the preceding twelve months
2004-03-16;2004;March;Minute;Negative;0.9771698117256165;inventorysales ratios in these sectors lingered at or near their historical lows
2004-03-16;2004;March;Minute;Positive;0.9751443266868591;total consumer price inflation however was boosted in january by a surge in energy prices
2004-03-16;2004;March;Minute;Negative;0.9050205945968628;yields on inflationindexed securities also fell leaving measures of inflation compensation little changed
2004-03-16;2004;March;Minute;Neutral;0.569576621055603;the average hourly earnings of production or nonsupervisory workers on private nonfarm payrolls rose modestly over the twelve months ending in february decelerating from its yearearlier pace
2004-03-16;2004;March;Minute;Positive;0.6615694761276245;the foreign exchange value of the dollar against other major currencies declined through the middle of february but subsequently rebounded to end the intermeeting period higher
2004-03-16;2004;March;Minute;Positive;0.9911948442459106;spending by businesses was supported by increases in their sales and the continuation of strong cash flows and a low user cost of capital
2004-03-16;2004;March;Minute;Negative;0.9921935796737671;technologyrelated issues which had registered very large gains over the preceding year or so fell more sharply
2004-03-16;2004;March;Minute;Negative;0.994234025478363;the disappointing employment data and renewed concerns about terrorism contributed to a decline in broad equity price indexes
2004-03-16;2004;March;Minute;Negative;0.8041744232177734;yields on investmentgrade bonds generally moved in tandem with those on treasuries over the intermeeting period but spreads on highyield bonds widened as investors reassessed credit risks in light of the negative tone of some incoming economic data
2004-03-16;2004;March;Minute;Negative;0.983005702495575;treasury yields declined considerably in response and ended the intermeeting period lower on balance
2004-03-16;2004;March;Minute;Neutral;0.8693068623542786;incoming information on trends in labor costs were more mixed
2004-03-16;2004;March;Minute;Negative;0.9915055632591248;over the balance of the intermeeting period however the chairmans testimony on monetary policy and data on nonfarm payroll employment with a weakish cast persuaded investors that policy tightening was still some ways off
2004-03-16;2004;March;Minute;Negative;0.977614164352417;although the committees decision at the january meeting to keep the federal funds rate unchanged had been widely anticipated the changes in the wording of the accompanying statement elicited a sharp reaction in financial markets
2004-03-16;2004;March;Minute;Neutral;0.9918338060379028;however to provide additional flexibility to adjust monetary policy at a later date once such action was deemed appropriate given economic developments the committee removed from its postmeeting statement the explicit reference to a considerable period and substituted a statement that conveyed the sense that it could be patient in removing its policy accommodation
2004-03-16;2004;March;Minute;Neutral;0.5830734372138977;with inflation low and resource use slack the committee saw no need for tightening policy in the near future
2004-03-16;2004;March;Minute;Neutral;0.9778384566307068;the committee also retained its assessment that the upside and downside risks to the attainment of sustainable growth were roughly equal as well as its judgment that the probability of an unwelcome fall in inflation had diminished and was almost equal to that of a rise in inflation
2004-03-16;2004;March;Minute;Neutral;0.9892804026603699;at its meeting on january 2728 2004 the federal open market committee decided to leave its target for the federal funds rate unchanged at 1 percent
2004-03-16;2004;March;Minute;Positive;0.9762210845947266;by contrast the employment cost index for hourly compensation in private industry grew a bit faster over the twelve months ending in december than over the yearearlier period
2004-03-16;2004;March;Minute;Neutral;0.8437832593917847;investors moved up the date when they expected policy tightening to commence resulting in a jump in treasury yields
2004-03-16;2004;March;Minute;Positive;0.9163584113121033;spending on capital goods had advanced at a vigorous pace in the fourth quarter and appeared to be continuing that growth early this year
2004-03-16;2004;March;Statement;Neutral;0.9590462446212769;with inflation quite low and resource use slack the committee believes that it can be patient in removing its policy accommodation
2004-03-16;2004;March;Minute;Negative;0.9894311428070068;sales of new and existing homes slowed in january but this change retraced only a small part of the extraordinary runup in home sales that began last spring
2004-03-16;2004;March;Minute;Positive;0.9909123182296753;the information reviewed at this meeting suggested that economic activity continued to expand at a solid pace in early 2004 consumer spending growth appeared to have picked up somewhat and activity in the housing market remained at high levels
2004-03-16;2004;March;Minute;Neutral;0.9907201528549194;the manager also reported on developments in domestic financial markets and on system open market transactions in government securities and securities issued or fully guaranteed by federal agencies during the period january 28 2004 through march 15 2004 by unanimous vote the committee ratified these transactions
2004-03-16;2004;March;Minute;Neutral;0.9813903570175171;there were no open market operations in foreign currencies for the systems account in the period since the previous meeting
2004-03-16;2004;March;Minute;Neutral;0.984740674495697;the manager of the system open market account reported on recent developments in foreign exchange markets
2004-03-16;2004;March;Statement;Neutral;0.9318164587020874;2004 monetary policy home  news and events accessibility last update march 16 2004
2004-03-16;2004;March;Statement;Neutral;0.9560947418212891;voting for the fomc monetary policy action were alan greenspan chairman timothy f geithner vice chairman ben s bernanke susan s bies roger w ferguson jr edward m gramlich thomas m hoenig donald l kohn cathy e minehan mark w olson sandra pianalto and william poole
2004-03-16;2004;March;Minute;Neutral;0.889333188533783;in the business sector spending for equipment and software was apparently advancing vigorously and firms were adding modestly to their inventories
2004-03-16;2004;March;Statement;Neutral;0.9354642033576965;the probability of an unwelcome fall in inflation has diminished in recent months and now appears almost equal to that of a rise in inflation
2004-03-16;2004;March;Statement;Negative;0.9945628046989441;increases in core consumer prices are muted and expected to remain low
2004-03-16;2004;March;Statement;Negative;0.989937424659729;although job losses have slowed new hiring has lagged
2004-03-16;2004;March;Statement;Positive;0.9922574758529663;the evidence accumulated over the intermeeting period indicates that output is continuing to expand at a solid pace
2004-03-16;2004;March;Statement;Positive;0.9915931224822998;the committee continues to believe that an accommodative stance of monetary policy coupled with robust underlying growth in productivity is providing important ongoing support to economic activity
2004-03-16;2004;March;Statement;Neutral;0.9871488213539124;the federal open market committee decided today to keep its target for the federal funds rate at 1 percent
2004-03-16;2004;March;Minute;Positive;0.9080735445022583;after four consecutive months of decline m2 rose slightly in january and accelerated markedly in february
2004-03-16;2004;March;Statement;Neutral;0.9277951717376709;the committee perceives the upside and downside risks to the attainment of sustainable growth for the next few quarters are roughly equal
2004-03-16;2004;March;Minute;Positive;0.9716885685920715;home prices continued to rise briskly
2004-03-16;2004;March;Minute;Negative;0.9666460752487183;still the increases in economic activity had not yet generated sizable gains in employment
2004-03-16;2004;March;Minute;Negative;0.9936012625694275;the january and february employment reports depicted a labor market that was slow to pick up momentum
2004-03-16;2004;March;Minute;Negative;0.9886519312858582;singlefamily housing starts and permits stepped down although both measures remained above their average levels of the first three quarters of 2003 housing starts in the multifamily sector slipped only slightly from the fourth quarter pace even though vacancy rates reached a record high level in the fourth quarter
2004-03-16;2004;March;Minute;Negative;0.980416476726532;despite the pullback sentiment remained above the levels seen during most of 2003 activity in the housing market moderated in january and february from its elevated pace in the fourth quarter
2004-03-16;2004;March;Minute;Negative;0.9946321249008179;surveys indicated that consumer sentiment moved higher in january but subsequently fell back
2004-03-16;2004;March;Minute;Positive;0.9500294327735901;disposable income was boosted by significant growth in private wages and salaries and by a drop in taxes that was due to the lower final payments and higher refunds associated with last years tax cut
2004-03-16;2004;March;Minute;Positive;0.9919724464416504;overall expenditures were supported by sizable gains in real disposable personal income and increases in household wealth owing to rising home and equity prices
2004-03-16;2004;March;Minute;Positive;0.9331663250923157;in contrast purchases of motor vehicles slipped in january and february from the strong pace in the fourth quarter
2004-03-16;2004;March;Minute;Negative;0.994581401348114;core consumer price inflation remained low and expectations of future inflation continued to be subdued
2004-03-16;2004;March;Minute;Positive;0.9642742276191711;consumer spending growth in recent months appeared to pick up somewhat from its pace in the fourth quarter of 2003 retail sales rose briskly on average in january and february and spending on services was up in january the most recent month for which data were available
2004-03-16;2004;March;Minute;Negative;0.9887688159942627;outside the manufacturing sector power generation by utilities surged in january but fell back in february in response to outsized swings in average temperatures during those months
2004-03-16;2004;March;Minute;Positive;0.9914932250976562;hightech industries including semiconductors computers and communications equipment posted particularly strong advances while the production of motor vehicles and the output of other manufacturing sectors were also strong
2004-03-16;2004;March;Minute;Neutral;0.5815474390983582;these gains in production were realized across a wide set of industries
2004-03-16;2004;March;Minute;Positive;0.9911537766456604;industrial production moved up briskly in january and february following strong increases in the fourth quarter
2004-03-16;2004;March;Minute;Negative;0.4574308693408966;employment in the manufacturing sector which had fallen continually for over three years was essentially unchanged in february while employment in other sectors showed mixed changes
2004-03-16;2004;March;Minute;Negative;0.9584043025970459;the modest gains posted in private nonfarm payrolls over the period were smaller than had been expected by most forecasters
2004-03-16;2004;March;Minute;Positive;0.961337149143219;capacity utilization continued to move higher in january and february although it remained below its longerrun average
2004-03-16;2004;March;Minute;Positive;0.9725844264030457;the effects of mortgage refinancing which had depressed m2 growth in the second half of last year appeared to wane allowing the expansion in nominal income to show through to m2 growth
2004-03-16;2004;March;Minute;Negative;0.9903932213783264;average weekly hours of production or nonsupervisory workers edged above the average level of the fourth quarter of 2003 despite the weakness in employment the unemployment rate in january and february came in below its fourthquarter level
2004-03-16;2004;March;Minute;Positive;0.9926952123641968;strong advances in real disposable income were expected to keep consumer spending on a solid upward trajectory
2004-03-16;2004;March;Minute;Negative;0.9863501191139221;similarly despite the rise in energy and commodity prices and reports of increased pricing power in some sectors many committee members commented that persisting slack in labor and output markets would keep inflation low
2004-03-16;2004;March;Minute;Positive;0.9923710823059082;to be sure some of the incoming informationnotably with regard to labor market developmentshad been somewhat disappointing but the committee continued to see the conditions in place for further solid economic growth
2004-03-16;2004;March;Minute;Neutral;0.9916267395019531;this preference for an unaltered stance of policy was based on the absence of significant changes in economic conditions or in the members basic assessment of the outlook since the january meeting
2004-03-16;2004;March;Minute;Neutral;0.9935258626937866;in the committees discussion of policy for the intermeeting period all the members favored the retention of the current target rate of 1 percent for the federal funds rate
2004-03-16;2004;March;Minute;Negative;0.9876407980918884;moreover if productivity were to expand at a rapid pace rather than slowing unit labor costs could fall putting downward pressure on prices
2004-03-16;2004;March;Minute;Positive;0.4734503924846649;increases in commodity prices remained limited to a few selected industries and with the persistence of slack in labor and product markets core inflation might well edge lower once any transitory influences had ebbed
2004-03-16;2004;March;Minute;Neutral;0.982819139957428;in these circumstances the current accommodative stance of monetary policy remained appropriate
2004-03-16;2004;March;Minute;Negative;0.9444355964660645;recent price trends were not clear with some measures of core inflation still declining
2004-03-16;2004;March;Minute;Negative;0.9864763021469116;moreover if as some members thought likely productivity growth slowed as employment picked up the result could be reductions in slack accompanied by higher unit labor costs and associated pressures on prices
