Date;Year;Month;Type;sentiment;sentiment_score;sentence
2006-01-31;2006;January;Minute;Negative;0.6391544938087463;mr lacker dissented in the votes on the foreign currency directive and authorization for foreign currency operations to indicate his opposition to foreign currency intervention by the federal reserve
2006-01-31;2006;January;Minute;Negative;0.6848922967910767;in his view such intervention would be ineffective if it did not also signal a shift in domestic monetary policy
2006-01-31;2006;January;Minute;Negative;0.5681635737419128;and if it did signal such a shift it could potentially compromise the federal reserves monetary policy independence
2006-01-31;2006;January;Minute;Neutral;0.9870411157608032;4 system foreign currency operations shall be conducted a in close and continuous consultation and cooperation with the united states treasury b in cooperation as appropriate with foreign monetary authorities and c in a manner consistent with the obligations of the united states in the international monetary fund regarding exchange arrangements under imf article iv
2006-01-31;2006;January;Minute;Neutral;0.9856696724891663;c for such other purposes as may be expressly authorized by the committee
2006-01-31;2006;January;Minute;Neutral;0.967158854007721;b to provide means for meeting system and treasury commitments in particular currencies and to facilitate operations of the exchange stabilization fund
2006-01-31;2006;January;Minute;Neutral;0.9896832704544067;3 transactions may also be undertaken a to adjust system balances in light of probable future needs for currencies
2006-01-31;2006;January;Minute;Neutral;0.9803426861763;c cooperate in other respects with central banks of other countries and with international monetary institutions
2006-01-31;2006;January;Minute;Neutral;0.9735816121101379;b maintain reciprocal currency swap arrangements with selected foreign central banks
2006-01-31;2006;January;Minute;Neutral;0.9896770119667053;at the request of any member of the subcommittee questions arising from such reviews and consultations shall be referred for determination to the federal open market committee
2006-01-31;2006;January;Minute;Neutral;0.9901413321495056;foreign currency directive reaffirmed january 31 2006 1 system operations in foreign currencies shall generally be directed at countering disorderly market conditions provided that market exchange rates for the us dollar reflect actions and behavior consistent with imf article iv section 1
2006-01-31;2006;January;Minute;Neutral;0.986473560333252;9 all federal reserve banks shall participate in the foreign currency operations for system account in accordance with paragraph 3g1 of the board of governors statement of procedure with respect to foreign relationships of federal reserve banks dated january 1 1944 with mr lacker dissenting the foreign currency directive was reaffirmed in the form shown below
2006-01-31;2006;January;Minute;Neutral;0.987575113773346;8 staff officers of the committee are authorized to transmit pertinent information on system foreign currency operations to appropriate officials of the treasury department
2006-01-31;2006;January;Minute;Neutral;0.9820842146873474;7 the chairman is authorized a with the approval of the committee to enter into any needed agreement or understanding with the secretary of the treasury about the division of responsibility for foreign currency operations between the system and the treasury b to keep the secretary of the treasury fully advised concerning system foreign currency operations and to consult with the secretary on policy matters relating to foreign currency operations c from time to time to transmit appropriate reports and information to the national advisory council on international monetary and financial policies
2006-01-31;2006;January;Minute;Neutral;0.9838927984237671;meetings of the subcommittee shall be called at the request of any member or at the request of the manager system open market account manager for the purposes of reviewing recent or contemplated operations and of consulting with the manager on other matters relating to his responsibilities
