Date;Year;Month;Type;sentiment;sentiment_score;sentence
2006-09-20;2006;September;Minute;Negative;0.9835165143013;imports of services fell slightly
2006-09-20;2006;September;Minute;Neutral;0.9740459322929382;real spending on equipment outside the hightech and transportation sectors appeared to be increasing moderately in the current quarter
2006-09-20;2006;September;Minute;Positive;0.6621138453483582;the growth of imports was heavily concentrated in oil reflecting higher petroleum prices and in nonoil industrial supplies and capital goods
2006-09-20;2006;September;Minute;Negative;0.9939559102058411;both imports and exports increased in the second quarter but imports increased and exports decreased in july widening the us trade deficit
2006-09-20;2006;September;Minute;Neutral;0.9816842675209045;outside the motor vehicle sector inventories appeared to be well aligned with demand and surveys indicated that firms continued to be generally comfortable with their level of inventories
2006-09-20;2006;September;Minute;Negative;0.9920555949211121;bookvalue data for the manufacturing and trade sectors suggested that inventory accumulation slowed only modestly in july from a brisk pace in the second quarter
2006-09-20;2006;September;Minute;Neutral;0.9850606322288513;available data indicated that aircraft purchases remained flat
2006-09-20;2006;September;Minute;Negative;0.9917594790458679;pending home sales dropped noticeably in july and mortgage rates had increased since the beginning of the year
2006-09-20;2006;September;Minute;Negative;0.9949153661727905;real computer spending remained sluggish in july
2006-09-20;2006;September;Minute;Negative;0.9944709539413452;orders and shipments of communications equipment leveled off in recent months after climbing earlier this year
2006-09-20;2006;September;Minute;Positive;0.9907951951026917;after strong increases in the first half of 2006 real spending on equipment and software remained robust into the summer against a backdrop of rising business output plentiful corporate cash reserves positive sentiment among executives and falling relative prices for hightech equipment
2006-09-20;2006;September;Minute;Negative;0.6783767938613892;available measures suggested that prices of existing homes increased through the second quarter at a much lower rate than the one observed during the same period last year
2006-09-20;2006;September;Minute;Negative;0.9942057728767395;a range of indicators suggested that housing market activity was likely to slow further in the near term
2006-09-20;2006;September;Minute;Positive;0.9912631511688232;exports of capital goods and industrial supplies declined after considerable gains in june but exports of telecommunications equipment and automotive products were strong
2006-09-20;2006;September;Minute;Positive;0.9876640439033508;business purchases of light vehicles picked up in august after a weak performance in july and sales of medium and heavy trucks remained brisk
2006-09-20;2006;September;Minute;Neutral;0.981037437915802;exports of services were unchanged in july
2006-09-20;2006;September;Minute;Negative;0.9137288331985474;however inflation pressures seemed likely to moderate over time reflecting contained inflation expectations and the cumulative effects of monetary policy actions as well as reduced impetus from higher energy and materials costs
2006-09-20;2006;September;Minute;Positive;0.9916547536849976;a fall in net exports held back expansion in japan and canada while strong domestic demand boosted growth in the united kingdom and the euro area
2006-09-20;2006;September;Minute;Negative;0.9954948425292969;sales of both new and existing singlefamily homes fell in july and were significantly below the peaks of last summer
2006-09-20;2006;September;Minute;Negative;0.7044709324836731;nonetheless the committee judged that some inflation risks remained
2006-09-20;2006;September;Minute;Positive;0.8462671041488647;readings on core inflation had been elevated in recent months and the high levels of resource utilization and of the prices of energy and other commodities had the potential to sustain inflation pressures
2006-09-20;2006;September;Minute;Negative;0.9930717349052429;the committees accompanying statement indicated that economic growth had moderated from its quite strong pace earlier in the year partly reflecting a gradual cooling of the housing market and the lagged effects of increases in interest rates and energy prices
2006-09-20;2006;September;Minute;Neutral;0.9901511669158936;at its august meeting the federal open market committee fomc decided to maintain its target for the federal funds rate at 514 percent
2006-09-20;2006;September;Minute;Negative;0.9910127520561218;after more favorable readings in june and july survey measures of households inflation expectations turned back up in august but preliminary september readings suggested a decline
2006-09-20;2006;September;Minute;Positive;0.8781865239143372;hourly compensation rose further in the second quarter and recorded an increase of about 734 percent from four quarters earlier
