Date;Year;Month;Type;sentiment;sentiment_score;sentence
2010-08-10;2010;August;Minute;Negative;0.9755941033363342;yields on investment and speculativegrade corporate bonds decreased and their spreads relative to yields on comparablematurity treasury securities declined moderately
2010-08-10;2010;August;Minute;Negative;0.9041966795921326;secondarymarket bid prices on syndicated leveraged loans rose a bit while bidasked spreads in that market edged down
2010-08-10;2010;August;Minute;Positive;0.9783034920692444;conditions in shortterm funding markets improved somewhat over the intermeeting period
2010-08-10;2010;August;Minute;Positive;0.9573849439620972;spreads of term london interbank offered rates libor over rates on overnight index swaps moved down at most horizons and liquidity in term funding markets reportedly increased
2010-08-10;2010;August;Minute;Neutral;0.945206880569458;spreads on unsecured commercial paper were little changed
2010-08-10;2010;August;Minute;Negative;0.8811883330345154;broad us equity price indexes increased slightly on net as generally positive corporate earnings news and an easing of investors worries about the potential effects of fiscal strains in europe were partly offset by concerns about the strength of the economic recovery
2010-08-10;2010;August;Minute;Positive;0.9789599776268005;most firms in the sp 500 reported secondquarter earnings that exceeded analysts forecasts
2010-08-10;2010;August;Minute;Negative;0.9862356781959534;optionimplied volatility on the sp 500 index declined but remained somewhat elevated by historical standards
2010-08-10;2010;August;Minute;Neutral;0.963229775428772;the spread between the staffs estimate of the expected real return on equities over the next 10 years and an estimate of the expected real return on a 10year treasury notea rough measure of the equity risk premiumwas little changed at an elevated level
2010-08-10;2010;August;Minute;Neutral;0.9330486059188843;financial stock prices moved about in line with broader indexes and credit default swap spreads for large financial institutions narrowed moderately
2010-08-10;2010;August;Minute;Neutral;0.6078310608863831;in secured funding markets spreads on assetbacked commercial paper moved down while rates and haircuts on collateral for repurchase agreements involving treasury and agency collateral held steady
2010-08-10;2010;August;Minute;Positive;0.7236036658287048;treasury auctions were generally well received with bidtocover ratios mostly exceeding historical averages
2010-08-10;2010;August;Minute;Negative;0.9917245507240295;in contrast imports of petroleum products fell in may held back by both lower prices and reduced volumes
2010-08-10;2010;August;Minute;Negative;0.9957186579704285;over the intermeeting period investors appeared to mark down the path for monetary policy in response to weakerthanexpected economic data releases and federal reserve communications that were read as suggesting that policymakers concerns about the economic outlook had increased
2010-08-10;2010;August;Minute;Neutral;0.9773640632629395;staff review of the financial situation the decision taken by the federal open market committee fomc at its june meeting to maintain the 0 to 14 percent target range for the federal funds rate was about in line with investor expectations and elicited little market reaction the same was true of the wording of the accompanying statement
2010-08-10;2010;August;Minute;Negative;0.9715035557746887;headline inflation rates generally declined abroad reflecting prior declines in oil and other commodity prices
2010-08-10;2010;August;Minute;Positive;0.9901864528656006;in contrast mexican indicators suggested that economic activity rebounded in the second quarter after contracting in the first quarter
2010-08-10;2010;August;Minute;Positive;0.9159755706787109;in other emes purchasing managers indexes generally still pointed to expansions in manufacturing activity though industrial production in many countries began to decelerate
2010-08-10;2010;August;Minute;Negative;0.9935637712478638;in the emerging market economies emes incoming data generally pointed to a moderation of economic growth albeit to a stillsolid pace with a notable slowing in china in the second quarter
2010-08-10;2010;August;Minute;Negative;0.993224561214447;machinery orders declined in may however and industrial production moved down in june suggesting some deceleration in economic activity
2010-08-10;2010;August;Minute;Positive;0.9593567848205566;in japan exports continued to support economic growth even as indicators of household spending remained weak
2010-08-10;2010;August;Minute;Positive;0.9910907745361328;industrial production continued to grow in may with particularly solid gains in germany and france and purchasing managers indexes and economic sentiment turned up in july
2010-08-10;2010;August;Minute;Negative;0.9847636818885803;recent indicators of economic activity for the euro area showed little imprint of the fiscal stresses that emerged in the spring
2010-08-10;2010;August;Minute;Positive;0.9921247363090515;available data suggested that aggregate gdp growth in foreign economies remained strong in the second quarter
2010-08-10;2010;August;Minute;Positive;0.9803358912467957;imports of capital goods also were strong as were imports of consumer goods and automotive products
2010-08-10;2010;August;Minute;Negative;0.7523791790008545;reflecting the same factors yields on nominal treasury coupon securities fell noticeably on net
2010-08-10;2010;August;Minute;Negative;0.7853327393531799;gross bond issuance by us investmentgrade nonfinancial corporations rebounded in july from relatively subdued levels in may and june
2010-08-10;2010;August;Minute;Neutral;0.9741626381874084;commercial banks core loansthe sum of commercial and industrial ci real estate and consumer loanscontinued to contract in june and july
2010-08-10;2010;August;Minute;Neutral;0.9715519547462463;issuance of syndicated leveraged loans rose in the second quarter but terms on such deals reportedly tightened somewhat
2010-08-10;2010;August;Minute;Neutral;0.9869513511657715;no changes were made to policy interest rates in the euro area the united kingdom or japan
2010-08-10;2010;August;Minute;Positive;0.9769699573516846;the increase in exports was broadly based with particular strength in exports of capital equipment
2010-08-10;2010;August;Minute;Neutral;0.9903823733329773;market indicators of expectations for future overnight rates in the euro area shifted up during the period
