Date;Year;Month;Type;sentiment;sentiment_score;sentence
2014-04-30;2014;April;Minute;Positive;0.9897017478942871;according to the april sloos banks again eased standards on cre loans during the first quarter they also reported an increase in loan demand especially for construction and land development loans
2014-04-30;2014;April;Minute;Positive;0.9911293983459473;in the first quarter commercial mortgage loans held on banks books continued to grow solidly
2014-04-30;2014;April;Minute;Positive;0.9919469952583313;financing conditions in the commercial real estate cre sector improved further
2014-04-30;2014;April;Minute;Positive;0.9873653650283813;the growth in commercial and industrial loans on banks balance sheets remained robust consistent with the increase in loan demand by large and middlemarket firms reported in the april senior loan officer opinion survey on bank lending practices sloos
2014-04-30;2014;April;Minute;Positive;0.9899452328681946;credit flows to nonfinancial corporations remained robust on balance notwithstanding subdued bond issuance in april that was attributed to typical constraints on issuance during the period when many firms are reporting their earnings
2014-04-30;2014;April;Minute;Negative;0.5519505143165588;firstquarter earnings reports for large banking organizations were mixed and the stock prices of such firms generally underperformed broad equity indexes
2014-04-30;2014;April;Minute;Neutral;0.7345237135887146;by contrast stocks that generally have more stable dividends such as those of utility and telecommunications companies advanced
2014-04-30;2014;April;Minute;Neutral;0.7653102278709412;some initial public offerings were reportedly put on hold as prices of smallcapitalization stocks declined
2014-04-30;2014;April;Minute;Neutral;0.866579532623291;the prices of social media and biotechnology stocks which had risen substantially faster than the broader market over the previous year fell sharply over the intermeeting period leaving the gains on these shares about in line with those on broader indexes over the past 12 months
2014-04-30;2014;April;Minute;Negative;0.9196877479553223;the sp 500 increased a bit on net over the intermeeting period but broader stock market indexes edged down
2014-04-30;2014;April;Minute;Positive;0.9622852206230164;institutional issuance of leveraged loans continued at a brisk pace amid reports of an ongoing gradual easing of credit terms and deal structures
2014-04-30;2014;April;Minute;Positive;0.7373109459877014;conditions in shortterm funding markets remained fairly stable over the intermeeting period
2014-04-30;2014;April;Minute;Neutral;0.9807807803153992;the allotment limit was subsequently increased to 10 billion per counterparty in early april
2014-04-30;2014;April;Minute;Positive;0.778525710105896;part of the increase in on rrp usage at the end of march relative to the end of december likely reflected higher counterparty allotment limits which were raised from 3 billion to 7 billion during the first quarter
2014-04-30;2014;April;Minute;Positive;0.9785255789756775;as has been the case since the on rrp exercise began money market funds increased their usage at quarterend takeup reached a record level of about 240 billion at the end of march
2014-04-30;2014;April;Minute;Neutral;0.9385831952095032;takeup in the federal reserves fixedrate on rrp exercise continued to be sensitive to the spread between market rates and the rate offered in the exercise with higher takeup occurring on days when the market rate on repurchase agreements was close to or below the on rrp rate
2014-04-30;2014;April;Minute;Neutral;0.9719246625900269;measures of longerhorizon inflation compensation based on treasury inflationprotected securities were little changed
2014-04-30;2014;April;Minute;Neutral;0.881354033946991;some market participants reportedly also revised down their estimate of the average real federal funds rate over the longer term reflecting in part changes in their assessments of longrun economic conditions
2014-04-30;2014;April;Minute;Negative;0.9676312208175659;market participants cited a number of factors as contributing to the drop in longterm yields so far this year including portfolio reallocation by large institutional investors the trading strategies pursued by some investors and safehaven flows
2014-04-30;2014;April;Minute;Negative;0.9948613047599792;in contrast yields at the long end of the curve declined continuing a downward trend evident over much of this year
2014-04-30;2014;April;Minute;Neutral;0.6140793561935425;yields on short and mediumterm nominal treasury securities rose on balance over the intermeeting period
2014-04-30;2014;April;Minute;Negative;0.9904701709747314;in contrast issuance of commercial mortgagebacked securities in 2014 has been a bit slower than last years pace
2014-04-30;2014;April;Minute;Neutral;0.9681992530822754;however subsequent communicationsincluding the release of the minutes of the march fomc meetingappeared to mostly reverse the earlier change in expectations
2014-04-30;2014;April;Minute;Neutral;0.9881348609924316;the seasonal paydown of shortterm treasury debt following the april tax date was accompanied by a notable pickup in participation at on rrp operations but treasury repo rates generally remained very close to the on rrp rate of 5 basis points
2014-04-30;2014;April;Minute;Negative;0.9886313080787659;mortgage credit conditions generally remained tight over the intermeeting period though signs of easing continued to emerge amid further gains in house prices
2014-04-30;2014;April;Minute;Negative;0.9922906756401062;staff economic outlook in the economic forecast prepared by the staff for the april fomc meeting real gdp growth in the first half of this year was somewhat slower than in the projection for the march meeting
2014-04-30;2014;April;Minute;Negative;0.5928612351417542;mortgage interest rates and their spreads over treasury yields were little changed over the intermeeting period and applications for refinancing and purchase mortgages remained tepid
2014-04-30;2014;April;Minute;Negative;0.9826323986053467;the communications following the conclusion of the march fomc meeting were interpreted as somewhat less accommodative than expected
2014-04-30;2014;April;Minute;Negative;0.9902098178863525;nonetheless the risks to the forecast for real gdp growth were viewed as tilted a little to the downside especially because the economy was not well positioned to withstand adverse shocks while the target for the federal funds rate was at its effective lower bound
2014-04-30;2014;April;Minute;Neutral;0.6080894470214844;the staff viewed the extent of uncertainty around its april projections for real gdp growth inflation and the unemployment rate as roughly in line with the average over the past 20 years
2014-04-30;2014;April;Minute;Neutral;0.4624006450176239;with longerrun inflation expectations assumed to remain stable changes in commodity and import prices expected to be subdued and slack in labor and product markets anticipated to diminish slowly inflation was projected to rise gradually toward the committees objective
2014-04-30;2014;April;Minute;Negative;0.6634472012519836;the staff continued to forecast that inflation would remain below the committees longerrun objective of 2 percent over the next few years
2014-04-30;2014;April;Minute;Neutral;0.9934131503105164;the staffs forecast for inflation was basically unchanged from the projection prepared for the previous fomc meeting
2014-04-30;2014;April;Minute;Positive;0.9486522078514099;the expansion in economic activity was anticipated to slowly reduce resource slack over the projection period and the unemployment rate was expected to decline gradually to the staffs estimate of its longerrun natural rate
2014-04-30;2014;April;Minute;Positive;0.9924957752227783;the faster pace of real gdp growth was expected to be supported by an easing in the restraint from changes in fiscal policy increases in consumer and business confidence further improvements in credit availability and financial conditions and a pickup in the rate of foreign economic growth
