Date;Year;Month;Type;sentiment;sentiment_score;sentence
2015-06-17;2015;June;Minute;Positive;0.9911862015724182;the sharp rise in yields on core euroarea sovereign bonds seemed to reflect a notable rise in term premiums from significantly compressed levels as well as an increase in the path of expected future shortterm rates following some positive data for the european economy
2015-06-17;2015;June;Minute;Neutral;0.5650588870048523;the nominal treasury yield curve steepened appreciably on net with 2 5 and 10year yields ending the intermeeting period about 15 to 35 basis points higher
2015-06-17;2015;June;Minute;Neutral;0.5232445001602173;most of the increase in nominal yields was attributable to a rise in real yields as measures of inflation compensation were relatively stable
2015-06-17;2015;June;Minute;Positive;0.9851345419883728;various measures typically used to assess liquidity in treasury and mortgagebacked securities mbs markets were little changed over the intermeeting period they have generally pointed to relatively stable market functioning over the past several years
2015-06-17;2015;June;Minute;Negative;0.9946304559707642;however the majority of respondents to the june senior credit officer opinion survey on dealer financing terms indicated that over the past five years liquidity and functioning in these markets especially in treasury markets have deteriorated
2015-06-17;2015;June;Minute;Negative;0.991108775138855;respondents attributed the deterioration primarily to securities dealers decreased willingness to provide balance sheet resources for market making as a result of both regulatory changes and changes in internal riskmanagement practices
2015-06-17;2015;June;Minute;Neutral;0.550969123840332;some evidence suggested that a significant part of the increase may have reflected higher term premiums
2015-06-17;2015;June;Minute;Negative;0.5906133055686951;by contrast federal reserve communications following the april fomc meeting were characterized by investors as generally in line with expectations and elicited limited market reaction
2015-06-17;2015;June;Minute;Neutral;0.9812656044960022;results from the june survey of primary dealers and the june survey of market participants indicated little change since the april survey in modal forecasts of the federal funds rate through 2018 respondents again saw the september 2015 fomc meeting as the most likely time for the first increase in the target range for the federal funds rate
2015-06-17;2015;June;Minute;Neutral;0.9934717416763306;the expected pace of tightening after the initial increase in the target range for the federal funds rate whenever that might occur was similar to that reported in the april survey
2015-06-17;2015;June;Minute;Negative;0.9679718017578125;over the intermeeting period most broad us equity price indexes moved down a bit on net amid mixed macroeconomic news and little information on earnings
2015-06-17;2015;June;Minute;Positive;0.9922498464584351;staff review of the financial situation over the intermeeting period longerterm treasury yields increased notably amid heightened volatility apparently boosted by a rise in yields on core euroarea sovereign bonds and to a lesser extent strongerthananticipated news about the us labor market late in the period
2015-06-17;2015;June;Minute;Neutral;0.9873384237289429;on balance the expected path of the federal funds rate implied by futures contracts steepened noticeably beyond 2015 with a portion of this shift coming after the may employment report
2015-06-17;2015;June;Minute;Positive;0.9920386075973511;inflation rates turned positive in recent months in many foreign economies following the trough in oil prices earlier this year
2015-06-17;2015;June;Minute;Negative;0.9909282326698303;imports rebounded in march from the depressed levels in january and february but fell back in april close to the firstquarter average
2015-06-17;2015;June;Minute;Negative;0.9945523142814636;in addition real gdp growth slowed in china and mexico
2015-06-17;2015;June;Minute;Negative;0.9131757020950317;real gdp contracted in canada where lower oil prices depressed investment and in brazil where business and consumer confidence weakened and high inflation prompted a significant tightening of monetary policy
2015-06-17;2015;June;Minute;Negative;0.9934349060058594;economic growth in many foreign economies slowed in the first quarter
2015-06-17;2015;June;Minute;Negative;0.9658651947975159;there were some tentative signs that these labor compensation measures were accelerating a little in the first quarter
2015-06-17;2015;June;Minute;Positive;0.9402704834938049;average hourly earnings for all employees increased 214 percent over the 12 months ending in may
2015-06-17;2015;June;Minute;Positive;0.9506240487098694;the employment cost index increased 234 percent over the four quarters ending in the first quarter while compensation per hour in the nonfarm business sector rose 134 percent over the same period
2015-06-17;2015;June;Minute;Positive;0.9853755235671997;measures of labor compensation rose at moderate rates outpacing the rise in consumer prices over the past year
2015-06-17;2015;June;Minute;Negative;0.9903354644775391;however marketbased measures of inflation compensation were still low although somewhat higher than early in the year
