Date;Year;Month;Type;sentiment;sentiment_score;sentence
2019-10-04;2019;October;Minute;Negative;0.8601920008659363;late in the period quotes on federal funds futures options contracts indicated that market participants assigned a very high probability to a 25 basis point reduction in the target range of the federal funds rate at the october fomc meeting
2019-10-04;2019;October;Minute;Positive;0.9816651940345764;financing conditions for businesses and households remained generally supportive of spending and economic activity
2019-10-04;2019;October;Minute;Negative;0.8217023611068726;september fomc communications were viewed as slightly less accommodative than expected with investors reportedly surprised by the summary of economic projections showing that a majority of fomc participants anticipated no further easing this year
2019-10-04;2019;October;Minute;Negative;0.8932617902755737;in addition marketimplied expectations for the federal funds rate at yearend and next year moved down
2019-10-04;2019;October;Minute;Positive;0.959480345249176;incoming data early in the intermeeting periodâparticularly the disappointing readings on business activityâprompted a decline in the marketimplied path for the policy rate but that decline was later partly reversed as market participants apparently grew more optimistic on the prospects for a usâchina trade deal and brexit negotiations
2019-10-04;2019;October;Minute;Negative;0.9943933486938477;yields on nominal us treasury securities moved down in the early part of the intermeeting period but later retraced their declines
2019-10-04;2019;October;Minute;Negative;0.9936869740486145;industrial production declined in september and was notably lower than at the beginning of the year
2019-10-04;2019;October;Minute;Negative;0.9817675948143005;measures of inflation compensation over the next 5 years and 5 to 10 years ahead based on treasury inflationprotected securities inched down and remained near multiyear low levels
2019-10-04;2019;October;Minute;Neutral;0.9836850166320801;broad stock price indexes fell by as much as 4 percent during the first half of the intermeeting period but recovered afterward ending the period roughly unchanged
2019-10-04;2019;October;Minute;Negative;0.8681705594062805;optionimplied volatility on the sp 500 index declined slightly and ended the period below the middle of its historical distribution
2019-10-04;2019;October;Minute;Neutral;0.8663619160652161;on net corporate credit spreads were little changed
2019-10-04;2019;October;Minute;Negative;0.9889131188392639;domestic shortterm funding markets were volatile in midseptember and exhibited additional albeit modest pressures around the september quarterend and the midoctober treasury settlement date
2019-10-04;2019;October;Minute;Negative;0.6755561232566833;on net equity prices and corporate bond spreads were little changed and the treasury yield curve steepened a bit
2019-10-04;2019;October;Minute;Negative;0.8751131296157837;these pressures were alleviated in part by the desks overnight and term repo operations that began on september 17 after smoothing through rate volatility over the period interest rates for overnight unsecured and secured funding declined roughly in line with the reduction in the target range for the federal funds rate at the september fomc meeting and the associated 30 basis point decrease in the interest on excess reserves ioer rate
2019-10-04;2019;October;Minute;Negative;0.9694091081619263;on net the treasury yield curve steepened a bit mostly reflecting a modest decline in shortterm yields
2019-10-04;2019;October;Minute;Positive;0.9925333261489868;staff review of the financial situation investor sentiment weakened over the early part of the intermeeting period reflecting a few weakerthanexpected domestic data releases but later strengthened on increased optimism regarding ongoing trade negotiations between the united states and china and positive brexit news
2019-10-04;2019;October;Minute;Negative;0.9897751808166504;production in september was held down by the strike at general motors and automakers schedules indicated that assemblies of light motor vehicles would remain low in october before rebounding in november
2019-10-04;2019;October;Minute;Negative;0.9913464188575745;foreign inflation appeared to have moderated a bit in the third quarter reflecting declines in energy prices
2019-10-04;2019;October;Minute;Negative;0.9947379231452942;similarly gdp growth remained subdued in china and several other emerging economies in asia and indicators suggested that growth in latin america also remained weak
2019-10-04;2019;October;Minute;Negative;0.9925476908683777;in several advanced foreign economies afes indicators showed continued weakness in the manufacturing sector especially in the euro area and the united kingdom
2019-10-04;2019;October;Minute;Negative;0.9911792874336243;incoming data suggested that growth in the foreign economies remained subpar in the third quarter
2019-10-04;2019;October;Minute;Negative;0.9900394082069397;the bureau of economic analysis estimated that net exports made a slight negative contribution to real gdp growth in the third quarter
2019-10-04;2019;October;Minute;Negative;0.9816312193870544;advance estimates for september suggested that goods imports fell more than exports pointing to a narrowing of the monthly trade deficit
2019-10-04;2019;October;Minute;Negative;0.9947962164878845;export growth was subdued due to lackluster exports of services and capital goods
2019-10-04;2019;October;Minute;Negative;0.9949670433998108;the nominal us international trade deficit widened in august reflecting a subdued pace of export growth and a moderate pace of import growth
2019-10-04;2019;October;Minute;Negative;0.7189502716064453;real purchases by state and local governments also rose at a slower pace as the boost from a faster expansion in state and local payrolls was partially offset by a decrease in real construction spending by these governments
2019-10-04;2019;October;Minute;Negative;0.9764392375946045;federal hiring of temporary workers for next years decennial census was quite modest during the quarter
2019-10-04;2019;October;Minute;Neutral;0.5323075652122498;real federal purchases decelerated reflecting smaller increases in both defense and nondefense spending
2019-10-04;2019;October;Minute;Negative;0.9513883590698242;total real government purchases rose at a slower pace in the third quarter than in the second quarter
2019-10-04;2019;October;Minute;Negative;0.9940587282180786;overall manufacturing production appeared likely to remain soft in coming months reflecting generally weak readings on new orders from national and regional manufacturing surveys declining domestic business investment weak gdp growth abroad and a persistent drag from trade developments
2019-10-04;2019;October;Minute;Neutral;0.9324658513069153;the effective federal funds rate effr was more volatile than usual over the intermeeting period with the effrâioer spread ranging between 2 basis points and 10 basis points
2019-10-04;2019;October;Minute;Negative;0.8542485237121582;inflation remained relatively low in most foreign economies
2019-10-04;2019;October;Minute;Negative;0.981611430644989;rates on overnight commercial paper cp and shortterm negotiable certificates of deposit declined fairly quickly following the announcement of desk operations on september 17 although some cp rates remained elevated into october
2019-10-04;2019;October;Minute;Positive;0.8661340475082397;in addition cre prices remained high relative to rental income
2019-10-04;2019;October;Minute;Neutral;0.9828777313232422;these communications reportedly did not materially affect yields on longerterm treasury securities
2019-10-04;2019;October;Minute;Positive;0.9716703295707703;financing conditions in the residential mortgage market remained accommodative on balance
2019-10-04;2019;October;Minute;Negative;0.9323181509971619;mortgage rates were little changed since the september fomc meeting and stayed near their lowest level since mid2016
2019-10-04;2019;October;Minute;Neutral;0.9566382765769958;in september homepurchase originations remained around the relatively high level seen during the previous two months while refinancing originations jumped to their highest level since late 2012 in the october sloos banks left their lending standards basically unchanged for most residential real estate loan categories over the third quarter
2019-10-04;2019;October;Minute;Negative;0.7457348704338074;however for subprime loans a moderate net percentage of banks reported tightening standards
2019-10-04;2019;October;Minute;Positive;0.9890592098236084;financing conditions in consumer credit markets remained generally supportive of household spending although conditions continued to be tight for credit card borrowers with nonprime credit scores
2019-10-04;2019;October;Minute;Neutral;0.8999450206756592;interest rates on auto loans fell on net since the beginning of the year and interest rates on credit card accounts leveled off through august
2019-10-04;2019;October;Minute;Negative;0.8305856585502625;banks in the october sloos reported tighter lending standards for all types of cre loans they also reported weaker demand for construction lending and stronger demand for the other cre lending categories
