Date;Year;Month;Type;sentiment;sentiment_score;sentence
2021-07-28;2021;July;Minute;Neutral;0.9424997568130493;domestic equity prices rose moderately and corporate bond spreads remained near the low end of their historical ranges
2021-07-28;2021;July;Minute;Negative;0.9940477609634399;in addition the increased prevalence of new virus variants particularly the delta variant underscored the continued uncertainty about the foreign outlook
2021-07-28;2021;July;Minute;Negative;0.9572146534919739;staff review of the financial situation over the intermeeting period fluctuations in financial markets appeared to be driven by lessaccommodativethanexpected june fomc communications a reduction in investor perceptions of the risk of persistently high inflation increased concerns about the rapid spread of the delta variant and strongerthananticipated inflation data
2021-07-28;2021;July;Minute;Negative;0.8156436085700989;inflation rose further in most foreign economies reflecting a reversal of price declines seen in the spring of 2020 higher energy and commodity prices and supply bottlenecks
2021-07-28;2021;July;Minute;Positive;0.9308268427848816;shortterm funding markets were stable while participation in the on rrp facility increased further to its highest level since the facility was put in place
2021-07-28;2021;July;Minute;Negative;0.9941083192825317;longerdated treasury yields fell largely reflecting declines in real yields while longerhorizon forward measures of inflation compensation also declined
2021-07-28;2021;July;Minute;Positive;0.9798799157142639;marketbased financing conditions were accommodative and bank lending standards eased for most loan categories
2021-07-28;2021;July;Minute;Negative;0.9941660165786743;bank stock prices also fell
2021-07-28;2021;July;Minute;Negative;0.9836254715919495;the decline in longerterm treasury yields was associated with a drop in real yields implied by treasury inflationprotected securities tips with the 10year real yield down about 25 basis points
2021-07-28;2021;July;Minute;Negative;0.9945329427719116;meanwhile shorterhorizon measures of inflation compensation ended the period modestly higher but longerterm forward measures fell notably
2021-07-28;2021;July;Minute;Neutral;0.9735754132270813;on net the marketimplied path of the policy rate was little changed for horizons up to late 2023 while it shifted lower beyond those horizons
2021-07-28;2021;July;Minute;Positive;0.991955578327179;broad stock market prices rose moderately over the intermeeting period supported in part by some strong secondquarter earnings reports that bolstered investor risk sentiment
2021-07-28;2021;July;Minute;Neutral;0.7662550210952759;however some prices declined for stocks that historically have moved more closely with economic conditionsâsuch as stocks for smaller companies and for firms in cyclical industriesâas did stock prices for firms in sectors such as airlines and hotels that were negatively affected by the pandemic
2021-07-28;2021;July;Minute;Negative;0.9883326888084412;although new covid19 cases fell dramatically in india after the surge in may and june the situation deteriorated markedly in several southeast asian countries whose cases and deaths rose to alltime highs
2021-07-28;2021;July;Minute;Neutral;0.9691382646560669;onemonth optionimplied volatility on the sp 500âthe vixâspiked to reach a twomonth high
2021-07-28;2021;July;Minute;Negative;0.6915062069892883;for the intermeeting period as a whole however the vix was little changed on net and remained somewhat above its average prepandemic levels
2021-07-28;2021;July;Minute;Neutral;0.7676793932914734;the treasury yield curve flattened on net with the 2âyear yield about unchanged the 5year yield declining a bit and the 10 and 30year yields each decreasing about 30 basis points
2021-07-28;2021;July;Minute;Negative;0.9826802611351013;the situation was quite different in some emerging market economies emes whose low vaccination rates left them vulnerable to new waves of infections
2021-07-28;2021;July;Minute;Negative;0.9089420437812805;however indicators of real state and local purchases pointed to a modest secondquarter increase in this component of government spending
2021-07-28;2021;July;Minute;Positive;0.97635817527771;incoming data suggested that after a weak start to the year foreign economic activity accelerated in the second quarter
2021-07-28;2021;July;Minute;Neutral;0.9911690950393677;in contrast the trimmed mean measure of 12month pce inflation constructed by the federal reserve bank of dallas was 19 percent in may
2021-07-28;2021;July;Minute;Neutral;0.8888486623764038;in june the 12month change in the cpi was 54 percent while the core cpi rose 45 percent over the same period
2021-07-28;2021;July;Minute;Neutral;0.9584672451019287;in the second quarter of 2021 the staffs common inflation expectations index which combines information from many indicators of inflation expectations and inflation compensation had more than reversed the moderate decline recorded in the middle of last year and had returned to the level that prevailed in 2014 when actual inflation was relatively modest
2021-07-28;2021;July;Minute;Neutral;0.9856947064399719;total pce price inflation was 39 percent over the 12 months ending in may and core pce price inflation which excludes changes in consumer energy prices and many consumer food prices was 34 percent over the 12 months ending in may
2021-07-28;2021;July;Minute;Negative;0.9947958588600159;even so consumer spending appeared to have been held back some as producers struggled to meet demand
2021-07-28;2021;July;Minute;Negative;0.9946300983428955;similarly despite very strong demand for housing incoming data suggested that residential investment spending had declined in the second quarter as materials shortages and limited stocks of homes for sale temporarily restrained activity in that sector
2021-07-28;2021;July;Minute;Negative;0.9932886958122253;available indicators suggested that growth in business fixed investment had slowed sharply in the second quarter reflecting disruptions to motor vehicle production and aircraft deliveries and a faster rate of decline in nonresidential structures investment
2021-07-28;2021;July;Minute;Positive;0.8575403690338135;growth in manufacturing output had picked up modestly in the second quarter
2021-07-28;2021;July;Minute;Negative;0.994278073310852;although production in the chemicals industry had rebounded from the weatherrelated disruptions earlier in the year the supply chain issues faced by a number of other industries particularly the motor vehicle industry continued to weigh on overall factory output
2021-07-28;2021;July;Minute;Negative;0.987036406993866;total real government purchases appeared to have moved lower in the second quarter after having risen in the first quarter
2021-07-28;2021;July;Minute;Neutral;0.7089241147041321;available data suggested that federal nondefense purchases had dropped following a firstquarter surge in pandemicrelated expenditures and that defense purchases were little changed
2021-07-28;2021;July;Minute;Positive;0.6398077011108398;spreads of yields on corporate bonds over those on comparablematurity treasury securities were little changed and spreads of benchmark municipal bond indexes increased moderately although both remained below their prepandemic levels
2021-07-28;2021;July;Minute;Negative;0.9698224067687988;the nominal us international trade deficit remained high in may
2021-07-28;2021;July;Minute;Positive;0.7623019218444824;real goods imports in may retraced only a bit of their april decline but they were still at the secondhighest level on record
2021-07-28;2021;July;Minute;Negative;0.9953194260597229;real goods exports edged down in may and remained below precovid19 levels
2021-07-28;2021;July;Minute;Negative;0.9943200349807739;bottlenecks in the global semiconductor industry continued to weigh on exports and imports of automotive products and shipping congestion likely continued to restrain trade overall
2021-07-28;2021;July;Minute;Negative;0.9946144223213196;although international travel recovered further in may exports and imports of services remained depressed relative to prepandemic levels
2021-07-28;2021;July;Minute;Positive;0.9836133718490601;the improvements were concentrated in the advanced foreign economies and china supported by vaccine rollouts the unwinding of public health restrictions economic adaptation to the virus and the reopening of the services sector
2021-07-28;2021;July;Minute;Negative;0.419256329536438;real pce appeared to have risen in the second quarter at a pace similar to that seen in the first quarter supported by previous rounds of federal stimulus payments and reductions in social distancing
2021-07-28;2021;July;Minute;Positive;0.9913540482521057;issuance of agency cmbs remained robust and issuance of nonagency cmbs strengthened notably in june
2021-07-28;2021;July;Minute;Positive;0.8637115359306335;following the actions at the june fomc meeting to increase both the interest rate on excess reserves and the on rrp rate by 5 basis points the effective federal funds rate rose 4 basis points reaching 10 basis points while the secured overnight financing rate rose 4 basis points reaching 5 basis points
