Date;Year;Month;Type;sentiment;sentiment_score;sentence
2022-05-04;2022;May;Minute;Negative;0.8533595204353333;early in the period equity prices increased supported by the robust pace of economic activity and reduced market concerns about the implications for the global economy of russias invasion of ukraine
2022-05-04;2022;May;Minute;Positive;0.9159603118896484;since the march fomc meeting 2 5 and 10year treasury yields increased significantly on net
2022-05-04;2022;May;Minute;Neutral;0.9903029799461365;the increases in nominal treasury yields were primarily accounted for by rising real yields while inflation compensation implied by treasury inflationprotected securities was little changed
2022-05-04;2022;May;Minute;Neutral;0.9898267984390259;alongside moves in shorterterm treasury yields the expected federal funds rate pathâimplied by a straight read of overnight index swap quotesârose notably since the march fomc meeting
2022-05-04;2022;May;Minute;Negative;0.9865135550498962;broad equity indexes decreased over the intermeeting period
2022-05-04;2022;May;Minute;Negative;0.9947752952575684;the initial sharp gains in stock prices were followed by larger declines later in the period as longerterm interest rates rose substantially and as some disappointing earnings reports toward the end of the intermeeting period weighed on equity prices
2022-05-04;2022;May;Minute;Negative;0.9896222352981567;spreads on most types of longertenor commercial paper and negotiable certificates of deposit narrowed reportedly reflecting reduced market concerns about the effects of russias invasion of ukraine although some of the spreads remained slightly wider than those seen earlier this year
2022-05-04;2022;May;Minute;Neutral;0.8773372769355774;similarly spreads on investment and speculativegrade corporate bonds narrowed moderately earlier in the intermeeting period and then widened ending the period only slightly narrower on net and below the median of their historical distribution
2022-05-04;2022;May;Minute;Neutral;0.9706608057022095;spreads on municipal bonds were up modestly and stood at about the 90th percentile of their historical distribution
2022-05-04;2022;May;Minute;Positive;0.9812389612197876;conditions in shortterm funding markets remained stable over the intermeeting period with the march increase in the federal reserves administered rates passing through to overnight money market rates
2022-05-04;2022;May;Minute;Negative;0.9712668061256409;secured overnight rates softened later in the period with downward pressure on rates attributed to continuing declines in net treasury bill issuance increased activity in certain segments of the repo market that tend to trade at lower rates and money market funds continuing to shorten portfolio maturities amid uncertainty about the pace of anticipated policy rate increases
2022-05-04;2022;May;Minute;Negative;0.9902690649032593;consistent with the downward pressure on repo rates daily takeup in the on rrp facility remained elevated
2022-05-04;2022;May;Minute;Negative;0.6495048403739929;amid the increase in treasury yields borrowing costs increased in many sectors and were at or somewhat above prepandemic levels
2022-05-04;2022;May;Minute;Neutral;0.9257490038871765;the vix declined substantially early in the period but ended the period little changed on net remaining at elevated levels
2022-05-04;2022;May;Minute;Positive;0.9586735367774963;shortterm funding markets were stable while participation in the on rrp facility increased further
2022-05-04;2022;May;Minute;Neutral;0.969670832157135;total pce price inflation was 66 percent over the 12 months ending in march and core pce price inflation which excludes changes in consumer energy prices and many consumer food prices was 52 percent over the same period
2022-05-04;2022;May;Minute;Positive;0.9595857858657837;sovereign yields in advanced foreign economies afes also increased notably
2022-05-04;2022;May;Minute;Positive;0.49134591221809387;staff review of the financial situation us treasury yields and the marketimplied federal funds rate path moved substantially higher over the intermeeting period as federal reserve communications and domestic economic data releases were perceived as suggesting that a more aggressive tightening of monetary policy was likely over coming months
2022-05-04;2022;May;Minute;Neutral;0.5052638649940491;in response many central banks around the world tightened their monetary policy stances
2022-05-04;2022;May;Minute;Negative;0.9725481271743774;foreign inflation increased significantly further driven by surging energy and food prices as well as some broadening of price pressures to core goods and services
2022-05-04;2022;May;Minute;Negative;0.9951081871986389;the ongoing russian invasion of ukraine also left its imprint on foreign economies with consumer and business sentiment declining in europe and global prices of a range of commodities continuing to rise
2022-05-04;2022;May;Minute;Negative;0.9949376583099365;chinese data for march and april however showed declines in manufacturing and services activity and worsening supply bottlenecks after chinese authorities locked down shanghai and other cities to combat the spread of the omicron variant
2022-05-04;2022;May;Minute;Positive;0.9909147024154663;data suggested that foreign economic growth remained solid in the first quarter as most economies continued to show adaptability to new covid19 waves
2022-05-04;2022;May;Minute;Negative;0.8865904211997986;both real exports and imports of services grew at a moderate pace in the first quarter though both were held back by a tepid recovery in international travel amid ongoing waves of covid19
2022-05-04;2022;May;Minute;Negative;0.9952119588851929;by contrast real exports of goods fell back after rising briskly late last year with broadbased declines in most major categories
2022-05-04;2022;May;Minute;Positive;0.9905277490615845;goods imports continued the fourth quarters strong growth driven by large increases in real imports of consumer goods capital goods and automotive products
2022-05-04;2022;May;Minute;Negative;0.9947195053100586;the us international trade deficit widened further in the first quarter of this year and net exports made a large negative contribution to real us gdp growth
2022-05-04;2022;May;Minute;Negative;0.9955469369888306;inventory investment moved lower after surging in the fourth quarter of 2021 and total real government purchases declined further led by a drop in defense purchases
2022-05-04;2022;May;Minute;Positive;0.9537235498428345;a new version of the staffs common inflation expectations index which combines information from many indicators of inflation expectations and inflation compensation moved up in the first quarter and was at the upper end of the range of values seen since 2005 both real pce and residential investment increased in the first quarter at rates similar to those seen in the fourth quarter of 2021 business fixed investment growth picked up sharply in the first quarter with spending on equipment and intellectual property products posting a large increase
2022-05-04;2022;May;Minute;Positive;0.9395174980163574;the trimmed mean measure of 12âmonth pce price inflation constructed by the federal reserve bank of dallas was 37 percent in march 2 percentage points higher than its yearearlier rate of increase
2022-05-04;2022;May;Minute;Negative;0.977725625038147;broad domestic equity price indexes declined on net and the onemonth optionimplied volatility on the sp 500 indexâthe vixâremained elevated
2022-05-04;2022;May;Minute;Negative;0.9951801300048828;over the intermeeting period sovereign yields in afes increased notably because of concerns about further inflationary pressures some central bank communications that were perceived as less accommodative than expected and spillovers from rises in us treasury yields
2022-05-04;2022;May;Minute;Negative;0.9861401319503784;households debttogdp ratio remained relatively low and there were few signs of increased stress among lowerincome households
2022-05-04;2022;May;Minute;Negative;0.711107611656189;on balance major foreign equity indexes registered mixed and relatively modest changes
2022-05-04;2022;May;Minute;Positive;0.9674901366233826;the employment cost index of hourly compensation in the private sector rose 48 percent over the 12 months ending in march this gain was much larger than the corresponding 12âmonth changes posted in each of the preceding four years and was the largest 12âmonth increase since 1990 consumer prices continued to rise rapidly
2022-05-04;2022;May;Minute;Neutral;0.9748943448066711;the staff assessed that aggregate household and business leverage was moderate
2022-05-04;2022;May;Minute;Positive;0.9740878939628601;residential house prices had risen rapidly although the staff continued to see key differences from the previous debtfueled housing boom the mortgage finance reforms enacted after 2008 limited the potential for significant deterioration in underwriting standards most new mortgage debt had been added by borrowers with prime credit scores and homeowners equity positions were healthy
2022-05-04;2022;May;Minute;Neutral;0.8341875076293945;cre valuations appeared somewhat elevated except for sectors that were affected most by the pandemic
2022-05-04;2022;May;Minute;Negative;0.9897645711898804;the staff noted that increased uncertainty and ongoing volatility had reduced risk appetite in financial markets and eased price pressures although valuations of many assets remained elevated
2022-05-04;2022;May;Minute;Negative;0.5569717288017273;to date however such potential spillovers appeared to be limited
2022-05-04;2022;May;Minute;Negative;0.9877825379371643;however larger or prolonged disruptions in commodities markets could interfere with other markets and real activity more broadly
2022-05-04;2022;May;Minute;Negative;0.9554890394210815;the staff judged that amid a substantial upward shift in interest rates russias invasion of ukraine and ongoing disruptions to supply chains the financial systemâoutside of commodities marketsâhad been resilient
2022-05-04;2022;May;Minute;Neutral;0.980213463306427;the staff provided an update on its assessment of the stability of the financial system
2022-05-04;2022;May;Minute;Positive;0.9860414862632751;household credit quality remained strong and delinquency rates across both prime and nonprime borrowers continued to be subdued by historical standards
2022-05-04;2022;May;Minute;Positive;0.9618801474571228;delinquency rates on bank and nonbank loans to small businesses edged down in february while in the cre sector borrower financial health continued to recover
2022-05-04;2022;May;Minute;Positive;0.9914124011993408;the credit quality of ci loans on banks books continued to be strong as delinquency and default rates both remained low
2022-05-04;2022;May;Minute;Neutral;0.7039213180541992;the volume of credit rating upgrades for corporate bonds outpaced downgrades moderately in march continuing a nearly yearlong pattern
2022-05-04;2022;May;Minute;Positive;0.991973876953125;the credit quality of firms municipalities and households remained strong overall
2022-05-04;2022;May;Minute;Positive;0.98587566614151;residential mortgage credit conditions remained accommodative through march despite the increase in mortgage interest rates particularly for stronger borrowers who met standard loan criteria
2022-05-04;2022;May;Minute;Positive;0.9919065237045288;in consumer credit markets credit card balances grew strongly in the first quarter amid easing standards and greater utilization and auto credit outstanding continued to grow steadily through february despite vehicle production shortfalls and low vehicle inventories
2022-05-04;2022;May;Minute;Neutral;0.9865039587020874;in the april sloos large banks reported unchanged standards on ci loans to small firms while small banks tightened standards modestly to such firms
2022-05-04;2022;May;Minute;Neutral;0.6080987453460693;the us dollar generally strengthened with a more pronounced dollar appreciation against afe currencies as us treasury yields generally rose more than their afe counterparts
2022-05-04;2022;May;Minute;Neutral;0.904937744140625;among em currencies the dollar appreciated significantly against the chinese renminbi
2022-05-04;2022;May;Minute;Positive;0.7257489562034607;over the intermeeting period along with the increase in treasury yields borrowing costs increased in many sectors and were at or somewhat above prepandemic levels
2022-05-04;2022;May;Minute;Positive;0.991633415222168;credit remained widely available and borrower credit quality continued to be strong overall
