STRUCTURE;STRUCTURE_ID;STRUCTURE_NAME;ACTION;REF_AREA;Reference area;FREQ;Frequency of observation;METHODOLOGY;Methodology;MEASURE;Measure;UNIT_MEASURE;Unit of measure;EXPENDITURE;Expenditure;ADJUSTMENT;Adjustment;TRANSFORMATION;Transformation;TIME_PERIOD;Time period;OBS_VALUE;Observation value;OBS_STATUS;Observation status;UNIT_MULT;Unit multiplier;BASE_PER;Base period;DURABILITY;Durability;DECIMALS;Decimals
DATAFLOW;OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0);G20 - Consumer price indices, all items;I;G20;G20;M;Monthly;N;National;CPI;Consumer price index;PC;Percentage change;_T;Total;N;Neither seasonally adjusted nor calendar adjusted;G1;Growth rate, period on period;1999-01;;0.3580978;;A;Normal value;0;Units;;;;;1;One
DATAFLOW;OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0);G20 - Consumer price indices, all items;I;G20;G20;M;Monthly;N;National;CPI;Consumer price index;PC;Percentage change;_T;Total;N;Neither seasonally adjusted nor calendar adjusted;G1;Growth rate, period on period;1999-02;;0.3057104;;A;Normal value;0;Units;;;;;1;One
DATAFLOW;OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0);G20 - Consumer price indices, all items;I;G20;G20;M;Monthly;N;National;CPI;Consumer price index;PC;Percentage change;_T;Total;N;Neither seasonally adjusted nor calendar adjusted;G1;Growth rate, period on period;1999-03;;0.4452847;;A;Normal value;0;Units;;;;;1;One
DATAFLOW;OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0);G20 - Consumer price indices, all items;I;G20;G20;M;Monthly;N;National;CPI;Consumer price index;PC;Percentage change;_T;Total;N;Neither seasonally adjusted nor calendar adjusted;G1;Growth rate, period on period;1999-04;;0.6298401;;A;Normal value;0;Units;;;;;1;One
DATAFLOW;OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0);G20 - Consumer price indices, all items;I;G20;G20;M;Monthly;N;National;CPI;Consumer price index;PC;Percentage change;_T;Total;N;Neither seasonally adjusted nor calendar adjusted;G1;Growth rate, period on period;1999-05;;0.2207871;;A;Normal value;0;Units;;;;;1;One
DATAFLOW;OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0);G20 - Consumer price indices, all items;I;G20;G20;M;Monthly;N;National;CPI;Consumer price index;PC;Percentage change;_T;Total;N;Neither seasonally adjusted nor calendar adjusted;G1;Growth rate, period on period;1999-06;;0.07457513;;A;Normal value;0;Units;;;;;1;One
DATAFLOW;OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0);G20 - Consumer price indices, all items;I;G20;G20;M;Monthly;N;National;CPI;Consumer price index;PC;Percentage change;_T;Total;N;Neither seasonally adjusted nor calendar adjusted;G1;Growth rate, period on period;1999-07;;0.288745;;A;Normal value;0;Units;;;;;1;One
DATAFLOW;OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0);G20 - Consumer price indices, all items;I;G20;G20;M;Monthly;N;National;CPI;Consumer price index;PC;Percentage change;_T;Total;N;Neither seasonally adjusted nor calendar adjusted;G1;Growth rate, period on period;1999-08;;0.381758;;A;Normal value;0;Units;;;;;1;One
DATAFLOW;OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0);G20 - Consumer price indices, all items;I;G20;G20;M;Monthly;N;National;CPI;Consumer price index;PC;Percentage change;_T;Total;N;Neither seasonally adjusted nor calendar adjusted;G1;Growth rate, period on period;1999-09;;0.6495804;;A;Normal value;0;Units;;;;;1;One
DATAFLOW;OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0);G20 - Consumer price indices, all items;I;G20;G20;M;Monthly;N;National;CPI;Consumer price index;PC;Percentage change;_T;Total;N;Neither seasonally adjusted nor calendar adjusted;G1;Growth rate, period on period;1999-10;;0.4981835;;A;Normal value;0;Units;;;;;1;One
DATAFLOW;OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0);G20 - Consumer price indices, all items;I;G20;G20;M;Monthly;N;National;CPI;Consumer price index;PC;Percentage change;_T;Total;N;Neither seasonally adjusted nor calendar adjusted;G1;Growth rate, period on period;1999-11;;0.2169697;;A;Normal value;0;Units;;;;;1;One
DATAFLOW;OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0);G20 - Consumer price indices, all items;I;G20;G20;M;Monthly;N;National;CPI;Consumer price index;PC;Percentage change;_T;Total;N;Neither seasonally adjusted nor calendar adjusted;G1;Growth rate, period on period;1999-12;;0.251694;;A;Normal value;0;Units;;;;;1;One
DATAFLOW;OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0);G20 - Consumer price indices, all items;I;G20;G20;M;Monthly;N;National;CPI;Consumer price index;PC;Percentage change;_T;Total;N;Neither seasonally adjusted nor calendar adjusted;G1;Growth rate, period on period;2000-01;;0.4324003;;A;Normal value;0;Units;;;;;1;One
