STRUCTURE;STRUCTURE_ID;STRUCTURE_NAME;ACTION;FREQ;Frequency of observation;ADJUSTMENT;Adjustment;REF_AREA;Reference area;SECTOR;Institutional sector;COUNTERPART_SECTOR;Counterpart institutional sector;TRANSACTION;Transaction;INSTR_ASSET;Financial instruments and non-financial assets;ACTIVITY;Economic activity;EXPENDITURE;Expenditure;UNIT_MEASURE;Unit of measure;PRICE_BASE;Price base;TRANSFORMATION;Transformation;TABLE_IDENTIFIER;Table identifier;TIME_PERIOD;Time period;OBS_VALUE;Observation value;REF_YEAR_PRICE;Price reference year;BASE_PER;Base period;CONF_STATUS;Confidentiality status;DECIMALS;Decimals;OBS_STATUS;Observation status;UNIT_MULT;Unit multiplier;CURRENCY;Currency
DATAFLOW;OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_G20(1.1);Quarterly real GDP growth - G20 countries;I;Q;Quarterly;Y;Calendar and seasonally adjusted;G7;G7;S1;Total economy;S1;Total economy;B1GQ;Gross domestic product;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;PC;Percentage change;L;Chain linked volume;G1;Growth rate, period on period;T0102;Table 0102 - GDP identity from the expenditure side;2021-Q3;;1.013974;;;;;;F;Free (free for publication);1;One;A;Normal value;0;Units;_Z;Not applicable
DATAFLOW;OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_G20(1.1);Quarterly real GDP growth - G20 countries;I;Q;Quarterly;Y;Calendar and seasonally adjusted;G7;G7;S1;Total economy;S1;Total economy;B1GQ;Gross domestic product;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;PC;Percentage change;L;Chain linked volume;G1;Growth rate, period on period;T0102;Table 0102 - GDP identity from the expenditure side;2002-Q3;;0.44628;;;;;;F;Free (free for publication);1;One;A;Normal value;0;Units;_Z;Not applicable
DATAFLOW;OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_G20(1.1);Quarterly real GDP growth - G20 countries;I;Q;Quarterly;Y;Calendar and seasonally adjusted;G7;G7;S1;Total economy;S1;Total economy;B1GQ;Gross domestic product;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;PC;Percentage change;L;Chain linked volume;G1;Growth rate, period on period;T0102;Table 0102 - GDP identity from the expenditure side;2019-Q2;;0.62417;;;;;;F;Free (free for publication);1;One;A;Normal value;0;Units;_Z;Not applicable
DATAFLOW;OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_G20(1.1);Quarterly real GDP growth - G20 countries;I;Q;Quarterly;Y;Calendar and seasonally adjusted;G7;G7;S1;Total economy;S1;Total economy;B1GQ;Gross domestic product;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;PC;Percentage change;L;Chain linked volume;G1;Growth rate, period on period;T0102;Table 0102 - GDP identity from the expenditure side;2010-Q1;;0.631908;;;;;;F;Free (free for publication);1;One;A;Normal value;0;Units;_Z;Not applicable
DATAFLOW;OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_G20(1.1);Quarterly real GDP growth - G20 countries;I;Q;Quarterly;Y;Calendar and seasonally adjusted;G7;G7;S1;Total economy;S1;Total economy;B1GQ;Gross domestic product;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;PC;Percentage change;L;Chain linked volume;G1;Growth rate, period on period;T0102;Table 0102 - GDP identity from the expenditure side;2021-Q2;;1.940668;;;;;;F;Free (free for publication);1;One;A;Normal value;0;Units;_Z;Not applicable
DATAFLOW;OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_G20(1.1);Quarterly real GDP growth - G20 countries;I;Q;Quarterly;Y;Calendar and seasonally adjusted;G7;G7;S1;Total economy;S1;Total economy;B1GQ;Gross domestic product;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;PC;Percentage change;L;Chain linked volume;G1;Growth rate, period on period;T0102;Table 0102 - GDP identity from the expenditure side;2021-Q1;;0.731468;;;;;;F;Free (free for publication);1;One;A;Normal value;0;Units;_Z;Not applicable
DATAFLOW;OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_G20(1.1);Quarterly real GDP growth - G20 countries;I;Q;Quarterly;Y;Calendar and seasonally adjusted;G7;G7;S1;Total economy;S1;Total economy;B1GQ;Gross domestic product;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;PC;Percentage change;L;Chain linked volume;G1;Growth rate, period on period;T0102;Table 0102 - GDP identity from the expenditure side;2020-Q4;;1.060113;;;;;;F;Free (free for publication);1;One;A;Normal value;0;Units;_Z;Not applicable
DATAFLOW;OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_G20(1.1);Quarterly real GDP growth - G20 countries;I;Q;Quarterly;Y;Calendar and seasonally adjusted;G7;G7;S1;Total economy;S1;Total economy;B1GQ;Gross domestic product;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;PC;Percentage change;L;Chain linked volume;G1;Growth rate, period on period;T0102;Table 0102 - GDP identity from the expenditure side;2020-Q3;;9.242818;;;;;;F;Free (free for publication);1;One;A;Normal value;0;Units;_Z;Not applicable
DATAFLOW;OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_G20(1.1);Quarterly real GDP growth - G20 countries;I;Q;Quarterly;Y;Calendar and seasonally adjusted;G7;G7;S1;Total economy;S1;Total economy;B1GQ;Gross domestic product;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;PC;Percentage change;L;Chain linked volume;G1;Growth rate, period on period;T0102;Table 0102 - GDP identity from the expenditure side;2020-Q2;;-9.673079;;;;;;F;Free (free for publication);1;One;A;Normal value;0;Units;_Z;Not applicable
DATAFLOW;OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_G20(1.1);Quarterly real GDP growth - G20 countries;I;Q;Quarterly;Y;Calendar and seasonally adjusted;G7;G7;S1;Total economy;S1;Total economy;B1GQ;Gross domestic product;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;PC;Percentage change;L;Chain linked volume;G1;Growth rate, period on period;T0102;Table 0102 - GDP identity from the expenditure side;2020-Q1;;-1.951998;;;;;;F;Free (free for publication);1;One;A;Normal value;0;Units;_Z;Not applicable
