STRUCTURE;STRUCTURE_ID;STRUCTURE_NAME;ACTION;REF_AREA;Reference area;MEASURE;Measure;UNIT_MEASURE;Unit of measure;TRANSFORMATION;Transformation;ADJUSTMENT;Adjustment;SEX;Sex;AGE;Age;ACTIVITY;Economic activity;FREQ;Frequency of observation;TIME_PERIOD;Time period;OBS_VALUE;Observation value;BASE_PER;Base period;OBS_STATUS;Observation status;UNIT_MULT;Unit multiplier;DECIMALS;Decimals
DATAFLOW;OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0);Infra-annual labour statistics;I;G7;G7;UNE_LF_M;Monthly unemployment rate;PT_LF_SUB;Percentage of labour force in the same subgroup;_Z;Not applicable;Y;Calendar and seasonally adjusted;_T;Total;Y_GE15;15 years or over;_Z;Not applicable;M;Monthly;2017-09;;4.869802;;;;A;Normal value;0;Units;1;One
DATAFLOW;OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0);Infra-annual labour statistics;I;G7;G7;UNE_LF_M;Monthly unemployment rate;PT_LF_SUB;Percentage of labour force in the same subgroup;_Z;Not applicable;Y;Calendar and seasonally adjusted;_T;Total;Y_GE15;15 years or over;_Z;Not applicable;M;Monthly;2017-08;;4.960303;;;;A;Normal value;0;Units;1;One
DATAFLOW;OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0);Infra-annual labour statistics;I;G7;G7;UNE_LF_M;Monthly unemployment rate;PT_LF_SUB;Percentage of labour force in the same subgroup;_Z;Not applicable;Y;Calendar and seasonally adjusted;_T;Total;Y_GE15;15 years or over;_Z;Not applicable;M;Monthly;2009-05;;8.049925;;;;A;Normal value;0;Units;1;One
DATAFLOW;OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0);Infra-annual labour statistics;I;G7;G7;UNE_LF_M;Monthly unemployment rate;PT_LF_SUB;Percentage of labour force in the same subgroup;_Z;Not applicable;Y;Calendar and seasonally adjusted;_T;Total;Y_GE15;15 years or over;_Z;Not applicable;M;Monthly;2009-04;;7.812339;;;;A;Normal value;0;Units;1;One
DATAFLOW;OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0);Infra-annual labour statistics;I;G7;G7;UNE_LF_M;Monthly unemployment rate;PT_LF_SUB;Percentage of labour force in the same subgroup;_Z;Not applicable;Y;Calendar and seasonally adjusted;_T;Total;Y_GE15;15 years or over;_Z;Not applicable;M;Monthly;2009-03;;7.6338;;;;A;Normal value;0;Units;1;One
DATAFLOW;OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0);Infra-annual labour statistics;I;G7;G7;UNE_LF_M;Monthly unemployment rate;PT_LF_SUB;Percentage of labour force in the same subgroup;_Z;Not applicable;Y;Calendar and seasonally adjusted;_T;Total;Y_GE15;15 years or over;_Z;Not applicable;M;Monthly;2008-02;;5.438956;;;;A;Normal value;0;Units;1;One
DATAFLOW;OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0);Infra-annual labour statistics;I;G7;G7;UNE_LF_M;Monthly unemployment rate;PT_LF_SUB;Percentage of labour force in the same subgroup;_Z;Not applicable;Y;Calendar and seasonally adjusted;_T;Total;Y_GE15;15 years or over;_Z;Not applicable;M;Monthly;2008-01;;5.486559;;;;A;Normal value;0;Units;1;One
DATAFLOW;OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0);Infra-annual labour statistics;I;G7;G7;UNE_LF_M;Monthly unemployment rate;PT_LF_SUB;Percentage of labour force in the same subgroup;_Z;Not applicable;Y;Calendar and seasonally adjusted;_T;Total;Y_GE15;15 years or over;_Z;Not applicable;M;Monthly;2008-12;;6.674718;;;;A;Normal value;0;Units;1;One
DATAFLOW;OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0);Infra-annual labour statistics;I;G7;G7;UNE_LF_M;Monthly unemployment rate;PT_LF_SUB;Percentage of labour force in the same subgroup;_Z;Not applicable;Y;Calendar and seasonally adjusted;_T;Total;Y_GE15;15 years or over;_Z;Not applicable;M;Monthly;2008-11;;6.368281;;;;A;Normal value;0;Units;1;One
DATAFLOW;OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0);Infra-annual labour statistics;I;G7;G7;UNE_LF_M;Monthly unemployment rate;PT_LF_SUB;Percentage of labour force in the same subgroup;_Z;Not applicable;Y;Calendar and seasonally adjusted;_T;Total;Y_GE15;15 years or over;_Z;Not applicable;M;Monthly;2008-10;;6.148526;;;;A;Normal value;0;Units;1;One
DATAFLOW;OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0);Infra-annual labour statistics;I;G7;G7;UNE_LF_M;Monthly unemployment rate;PT_LF_SUB;Percentage of labour force in the same subgroup;_Z;Not applicable;Y;Calendar and seasonally adjusted;_T;Total;Y_GE15;15 years or over;_Z;Not applicable;M;Monthly;2008-09;;5.988795;;;;A;Normal value;0;Units;1;One
DATAFLOW;OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0);Infra-annual labour statistics;I;G7;G7;UNE_LF_M;Monthly unemployment rate;PT_LF_SUB;Percentage of labour force in the same subgroup;_Z;Not applicable;Y;Calendar and seasonally adjusted;_T;Total;Y_GE15;15 years or over;_Z;Not applicable;M;Monthly;2008-08;;5.977396;;;;A;Normal value;0;Units;1;One
