Date,Type,Report
2024-12-12,Monetary Policy Decisions,"12 December 2024 The Governing Council today decided to lower the three key ECB interest rates by 25 basis points. In particular, the decision to lower the deposit facility rate – the rate through which the Governing Council steers the monetary policy stance – is based on its updated assessment of the inflation outlook, the dynamics of underlying inflation and the strength of monetary policy transmission. The disinflation process is well on track. Staff see headline inflation averaging 2.4% in 2024, 2.1% in 2025, 1.9% in 2026 and 2.1% in 2027 when the expanded EU Emissions Trading System becomes operational. For inflation excluding energy and food, staff project an average of 2.9% in 2024, 2.3% in 2025 and 1.9% in both 2026 and 2027.Most measures of underlying inflation suggest that inflation will settle at around the Governing Council’s 2% medium-term target on a sustained basis. Domestic inflation has edged down but remains high, mostly because wages and prices in certain sectors are still adjusting to the past inflation surge with a substantial delay.Financing conditions are easing, as the Governing Council’s recent interest rate cuts gradually make new borrowing less expensive for firms and households. But they continue to be tight because monetary policy remains restrictive and past interest rate hikes are still transmitting to the outstanding stock of credit. Staff now expect a slower economic recovery than in the September projections. Although growth picked up in the third quarter of this year, survey indicators suggest it has slowed in the current quarter. Staff see the economy growing by 0.7% in 2024, 1.1% in 2025, 1.4% in 2026 and 1.3% in 2027. The projected recovery rests mainly on rising real incomes – which should allow households to consume more – and firms increasing investment. Over time, the gradually fading effects of restrictive monetary policy should support a pick-up in domestic demand. The Governing Council is determined to ensure that inflation stabilises sustainably at its 2% medium-term target. It will follow a data-dependent and meeting-by-meeting approach to determining the appropriate monetary policy stance. In particular, the Governing Council’s interest rate decisions will be based on its assessment of the inflation outlook in light of the incoming economic and financial data, the dynamics of underlying inflation and the strength of monetary policy transmission. The Governing Council is not pre-committing to a particular rate path.Key ECB interest ratesThe Governing Council today decided to lower the three key ECB interest rates by 25 basis points. Accordingly, the interest rates on the deposit facility, the main refinancing operations and the marginal lending facility will be decreased to 3.00%, 3.15% and 3.40% respectively, with effect from 18 December 2024.Asset purchase programme (APP) and pandemic emergency purchase programme (PEPP)The APP portfolio is declining at a measured and predictable pace, as the Eurosystem no longer reinvests the principal payments from maturing securities.The Eurosystem no longer reinvests all of the principal payments from maturing securities purchased under the PEPP, reducing the PEPP portfolio by €7.5 billion per month on average. The Governing Council will discontinue reinvestments under the PEPP at the end of 2024.Refinancing operationsBanks will repay the remaining amounts borrowed under the targeted longer-term refinancing operations this month, which concludes this part of the balance sheet normalisation process. ***The Governing Council stands ready to adjust all of its instruments within its mandate to ensure that inflation stabilises sustainably at its 2% target over the medium term and to preserve the smooth functioning of monetary policy transmission. Moreover, the Transmission Protection Instrument is available to counter unwarranted, disorderly market dynamics that pose a serious threat to the transmission of monetary policy across all euro area countries, thus allowing the Governing Council to more effectively deliver on its price stability mandate.The President of the ECB will comment on the considerations underlying these decisions at a press conference starting at 14:45 CET today."
2024-10-17,Monetary Policy Decisions,"17 October 2024 The Governing Council today decided to lower the three key ECB interest rates by 25 basis points. In particular, the decision to lower the deposit facility rate – the rate through which the Governing Council steers the monetary policy stance – is based on its updated assessment of the inflation outlook, the dynamics of underlying inflation and the strength of monetary policy transmission. The incoming information on inflation shows that the disinflationary process is well on track. The inflation outlook is also affected by recent downside surprises in indicators of economic activity. Meanwhile, financing conditions remain restrictive.Inflation is expected to rise in the coming months, before declining to target in the course of next year. Domestic inflation remains high, as wages are still rising at an elevated pace. At the same time, labour cost pressures are set to continue easing gradually, with profits partially buffering their impact on inflation. The Governing Council is determined to ensure that inflation returns to its 2% medium-term target in a timely manner. It will keep policy rates sufficiently restrictive for as long as necessary to achieve this aim. The Governing Council will continue to follow a data-dependent and meeting-by-meeting approach to determining the appropriate level and duration of restriction. In particular, its interest rate decisions will be based on its assessment of the inflation outlook in light of the incoming economic and financial data, the dynamics of underlying inflation and the strength of monetary policy transmission. The Governing Council is not pre-committing to a particular rate path.Key ECB interest ratesThe Governing Council today decided to lower the three key ECB interest rates by 25 basis points. Accordingly, the interest rates on the deposit facility, the main refinancing operations and the marginal lending facility will be decreased to 3.25%, 3.40% and 3.65% respectively, with effect from 23 October 2024.Asset purchase programme (APP) and pandemic emergency purchase programme (PEPP)The APP portfolio is declining at a measured and predictable pace, as the Eurosystem no longer reinvests the principal payments from maturing securities.The Eurosystem no longer reinvests all of the principal payments from maturing securities purchased under the PEPP, reducing the PEPP portfolio by €7.5 billion per month on average. The Governing Council intends to discontinue reinvestments under the PEPP at the end of 2024.The Governing Council will continue applying flexibility in reinvesting redemptions coming due in the PEPP portfolio, with a view to countering risks to the monetary policy transmission mechanism related to the pandemic.Refinancing operationsAs banks are repaying the amounts borrowed under the targeted longer-term refinancing operations, the Governing Council will regularly assess how targeted lending operations and their ongoing repayment are contributing to its monetary policy stance. ***The Governing Council stands ready to adjust all of its instruments within its mandate to ensure that inflation returns to its 2% target over the medium term and to preserve the smooth functioning of monetary policy transmission. Moreover, the Transmission Protection Instrument is available to counter unwarranted, disorderly market dynamics that pose a serious threat to the transmission of monetary policy across all euro area countries, thus allowing the Governing Council to more effectively deliver on its price stability mandate.The President of the ECB will comment on the considerations underlying these decisions at a press conference starting at 14:45 CET today."
2024-09-12,Monetary Policy Decisions,"12 September 2024 The Governing Council today decided to lower the deposit facility rate – the rate through which it steers the monetary policy stance – by 25 basis points. Based on the Governing Council’s updated assessment of the inflation outlook, the dynamics of underlying inflation and the strength of monetary policy transmission, it is now appropriate to take another step in moderating the degree of monetary policy restriction. Recent inflation data have come in broadly as expected, and the latest ECB staff projections confirm the previous inflation outlook. Staff see headline inflation averaging 2.5% in 2024, 2.2% in 2025 and 1.9% in 2026, as in the June projections. Inflation is expected to rise again in the latter part of this year, partly because previous sharp falls in energy prices will drop out of the annual rates. Inflation should then decline towards our target over the second half of next year. For core inflation, the projections for 2024 and 2025 have been revised up slightly, as services inflation has been higher than expected. At the same time, staff continue to expect a rapid decline in core inflation, from 2.9% this year to 2.3% in 2025 and 2.0% in 2026. Domestic inflation remains high as wages are still rising at an elevated pace. However, labour cost pressures are moderating, and profits are partially buffering the impact of higher wages on inflation. Financing conditions remain restrictive, and economic activity is still subdued, reflecting weak private consumption and investment. Staff project that the economy will grow by 0.8% in 2024, rising to 1.3% in 2025 and 1.5% in 2026. This is a slight downward revision compared with the June projections, mainly owing to a weaker contribution from domestic demand over the next few quarters.The Governing Council is determined to ensure that inflation returns to its 2% medium-term target in a timely manner. It will keep policy rates sufficiently restrictive for as long as necessary to achieve this aim. The Governing Council will continue to follow a data-dependent and meeting-by-meeting approach to determining the appropriate level and duration of restriction. In particular, its interest rate decisions will be based on its assessment of the inflation outlook in light of the incoming economic and financial data, the dynamics of underlying inflation and the strength of monetary policy transmission. The Governing Council is not pre-committing to a particular rate path.As announced on 13 March 2024, some changes to the operational framework for implementing monetary policy will take effect from 18 September. In particular, the spread between the interest rate on the main refinancing operations and the deposit facility rate will be set at 15 basis points. The spread between the rate on the marginal lending facility and the rate on the main refinancing operations will remain unchanged at 25 basis points.Key ECB interest ratesThe Governing Council decided to lower the deposit facility rate by 25 basis points. The deposit facility rate is the rate through which the Governing Council steers the monetary policy stance. In addition, as announced on 13 March 2024 following the operational framework review, the spread between the interest rate on the main refinancing operations and the deposit facility rate will be set at 15 basis points. The spread between the rate on the marginal lending facility and the rate on the main refinancing operations will remain unchanged at 25 basis points. Accordingly, the deposit facility rate will be decreased to 3.50%. The interest rates on the main refinancing operations and the marginal lending facility will be decreased to 3.65% and 3.90% respectively. The changes will take effect from 18 September 2024.Asset purchase programme (APP) and pandemic emergency purchase programme (PEPP)The APP portfolio is declining at a measured and predictable pace, as the Eurosystem no longer reinvests the principal payments from maturing securities.The Eurosystem no longer reinvests all of the principal payments from maturing securities purchased under the PEPP, reducing the PEPP portfolio by €7.5 billion per month on average. The Governing Council intends to discontinue reinvestments under the PEPP at the end of 2024.The Governing Council will continue applying flexibility in reinvesting redemptions coming due in the PEPP portfolio, with a view to countering risks to the monetary policy transmission mechanism related to the pandemic.Refinancing operationsAs banks are repaying the amounts borrowed under the targeted longer-term refinancing operations, the Governing Council will regularly assess how targeted lending operations and their ongoing repayment are contributing to its monetary policy stance. ***The Governing Council stands ready to adjust all of its instruments within its mandate to ensure that inflation returns to its 2% target over the medium term and to preserve the smooth functioning of monetary policy transmission. Moreover, the Transmission Protection Instrument is available to counter unwarranted, disorderly market dynamics that pose a serious threat to the transmission of monetary policy across all euro area countries, thus allowing the Governing Council to more effectively deliver on its price stability mandate.The President of the ECB will comment on the considerations underlying these decisions at a press conference starting at 14:45 CET today."
2024-07-18,Monetary Policy Decisions,"18 July 2024The Governing Council today decided to keep the three key ECB interest rates unchanged. The incoming information broadly supports the Governing Council’s previous assessment of the medium-term inflation outlook. While some measures of underlying inflation ticked up in May owing to one-off factors, most measures were either stable or edged down in June. In line with expectations, the inflationary impact of high wage growth has been buffered by profits. Monetary policy is keeping financing conditions restrictive. At the same time, domestic price pressures are still high, services inflation is elevated and headline inflation is likely to remain above the target well into next year.The Governing Council is determined to ensure that inflation returns to its 2% medium-term target in a timely manner. It will keep policy rates sufficiently restrictive for as long as necessary to achieve this aim. The Governing Council will continue to follow a data-dependent and meeting-by-meeting approach to determining the appropriate level and duration of restriction. In particular, its interest rate decisions will be based on its assessment of the inflation outlook in light of the incoming economic and financial data, the dynamics of underlying inflation and the strength of monetary policy transmission. The Governing Council is not pre-committing to a particular rate path.Key ECB interest ratesThe interest rate on the main refinancing operations and the interest rates on the marginal lending facility and the deposit facility will remain unchanged at 4.25%, 4.50% and 3.75% respectively.Asset purchase programme (APP) and pandemic emergency purchase programme (PEPP)The APP portfolio is declining at a measured and predictable pace, as the Eurosystem no longer reinvests the principal payments from maturing securities.The Eurosystem no longer reinvests all of the principal payments from maturing securities purchased under the PEPP, reducing the PEPP portfolio by €7.5 billion per month on average. The Governing Council intends to discontinue reinvestments under the PEPP at the end of 2024.The Governing Council will continue applying flexibility in reinvesting redemptions coming due in the PEPP portfolio, with a view to countering risks to the monetary policy transmission mechanism related to the pandemic.Refinancing operationsAs banks are repaying the amounts borrowed under the targeted longer-term refinancing operations, the Governing Council will regularly assess how targeted lending operations and their ongoing repayment are contributing to its monetary policy stance. ***The Governing Council stands ready to adjust all of its instruments within its mandate to ensure that inflation returns to its 2% target over the medium term and to preserve the smooth functioning of monetary policy transmission. Moreover, the Transmission Protection Instrument is available to counter unwarranted, disorderly market dynamics that pose a serious threat to the transmission of monetary policy across all euro area countries, thus allowing the Governing Council to more effectively deliver on its price stability mandate.The President of the ECB will comment on the considerations underlying these decisions at a press conference starting at 14:45 CET today."
2024-06-06,Monetary Policy Decisions,"6 June 2024The Governing Council today decided to lower the three key ECB interest rates by 25 basis points. Based on an updated assessment of the inflation outlook, the dynamics of underlying inflation and the strength of monetary policy transmission, it is now appropriate to moderate the degree of monetary policy restriction after nine months of holding rates steady. Since the Governing Council meeting in September 2023, inflation has fallen by more than 2.5 percentage points and the inflation outlook has improved markedly. Underlying inflation has also eased, reinforcing the signs that price pressures have weakened, and inflation expectations have declined at all horizons. Monetary policy has kept financing conditions restrictive. By dampening demand and keeping inflation expectations well anchored, this has made a major contribution to bringing inflation back down. At the same time, despite the progress over recent quarters, domestic price pressures remain strong as wage growth is elevated, and inflation is likely to stay above target well into next year. The latest Eurosystem staff projections for both headline and core inflation have been revised up for 2024 and 2025 compared with the March projections. Staff now see headline inflation averaging 2.5% in 2024, 2.2% in 2025 and 1.9% in 2026. For inflation excluding energy and food, staff project an average of 2.8% in 2024, 2.2% in 2025 and 2.0% in 2026. Economic growth is expected to pick up to 0.9% in 2024, 1.4% in 2025 and 1.6% in 2026.The Governing Council is determined to ensure that inflation returns to its 2% medium-term target in a timely manner. It will keep policy rates sufficiently restrictive for as long as necessary to achieve this aim. The Governing Council will continue to follow a data-dependent and meeting-by-meeting approach to determining the appropriate level and duration of restriction. In particular, its interest rate decisions will be based on its assessment of the inflation outlook in light of the incoming economic and financial data, the dynamics of underlying inflation and the strength of monetary policy transmission. The Governing Council is not pre-committing to a particular rate path. The Governing Council today also confirmed that it will reduce the Eurosystem’s holdings of securities under the pandemic emergency purchase programme (PEPP) by €7.5 billion per month on average over the second half of the year. The modalities for reducing the PEPP holdings will be broadly in line with those followed under the asset purchase programme (APP).Key ECB interest ratesThe Governing Council decided to lower the three key ECB interest rates by 25 basis points. Accordingly, the interest rate on the main refinancing operations and the interest rates on the marginal lending facility and the deposit facility will be decreased to 4.25%, 4.50% and 3.75% respectively, with effect from 12 June 2024.Asset purchase programme (APP) and pandemic emergency purchase programme (PEPP)The APP portfolio is declining at a measured and predictable pace, as the Eurosystem no longer reinvests the principal payments from maturing securities.The Governing Council will continue to reinvest, in full, the principal payments from maturing securities purchased under the PEPP until the end of June 2024. Over the second half of the year, it will reduce the PEPP portfolio by €7.5 billion per month on average. The Governing Council intends to discontinue reinvestments under the PEPP at the end of 2024.The Governing Council will continue applying flexibility in reinvesting redemptions coming due in the PEPP portfolio, with a view to countering risks to the monetary policy transmission mechanism related to the pandemic.Refinancing operationsAs banks are repaying the amounts borrowed under the targeted longer-term refinancing operations, the Governing Council will regularly assess how targeted lending operations and their ongoing repayment are contributing to its monetary policy stance. ***The Governing Council stands ready to adjust all of its instruments within its mandate to ensure that inflation returns to its 2% target over the medium term and to preserve the smooth functioning of monetary policy transmission. Moreover, the Transmission Protection Instrument is available to counter unwarranted, disorderly market dynamics that pose a serious threat to the transmission of monetary policy across all euro area countries, thus allowing the Governing Council to more effectively deliver on its price stability mandate.The President of the ECB will comment on the considerations underlying these decisions at a press conference starting at 14:45 CET today."
2024-04-11,Monetary Policy Decisions,"11 April 2024The Governing Council today decided to keep the three key ECB interest rates unchanged. The incoming information has broadly confirmed the Governing Council’s previous assessment of the medium-term inflation outlook. Inflation has continued to fall, led by lower food and goods price inflation. Most measures of underlying inflation are easing, wage growth is gradually moderating, and firms are absorbing part of the rise in labour costs in their profits. Financing conditions remain restrictive and the past interest rate increases continue to weigh on demand, which is helping to push down inflation. But domestic price pressures are strong and are keeping services price inflation high. The Governing Council is determined to ensure that inflation returns to its 2% medium-term target in a timely manner. It considers that the key ECB interest rates are at levels that are making a substantial contribution to the ongoing disinflation process. The Governing Council’s future decisions will ensure that its policy rates will stay sufficiently restrictive for as long as necessary. If the Governing Council’s updated assessment of the inflation outlook, the dynamics of underlying inflation and the strength of monetary policy transmission were to further increase its confidence that inflation is converging to the target in a sustained manner, it would be appropriate to reduce the current level of monetary policy restriction. In any event, the Governing Council will continue to follow a data-dependent and meeting-by-meeting approach to determining the appropriate level and duration of restriction, and it is not pre-committing to a particular rate path.Key ECB interest ratesThe interest rate on the main refinancing operations and the interest rates on the marginal lending facility and the deposit facility will remain unchanged at 4.50%, 4.75% and 4.00% respectively.Asset purchase programme (APP) and pandemic emergency purchase programme (PEPP)The APP portfolio is declining at a measured and predictable pace, as the Eurosystem no longer reinvests the principal payments from maturing securities.The Governing Council intends to continue to reinvest, in full, the principal payments from maturing securities purchased under the PEPP during the first half of 2024. Over the second half of the year, it intends to reduce the PEPP portfolio by €7.5 billion per month on average. The Governing Council intends to discontinue reinvestments under the PEPP at the end of 2024.The Governing Council will continue applying flexibility in reinvesting redemptions coming due in the PEPP portfolio, with a view to countering risks to the monetary policy transmission mechanism related to the pandemic.Refinancing operationsAs banks are repaying the amounts borrowed under the targeted longer-term refinancing operations, the Governing Council will regularly assess how targeted lending operations and their ongoing repayment are contributing to its monetary policy stance. ***The Governing Council stands ready to adjust all of its instruments within its mandate to ensure that inflation returns to its 2% target over the medium term and to preserve the smooth functioning of monetary policy transmission. Moreover, the Transmission Protection Instrument is available to counter unwarranted, disorderly market dynamics that pose a serious threat to the transmission of monetary policy across all euro area countries, thus allowing the Governing Council to more effectively deliver on its price stability mandate.The President of the ECB will comment on the considerations underlying these decisions at a press conference starting at 14:45 CET today."
2024-03-07,Monetary Policy Decisions,"7 March 2024 The Governing Council today decided to keep the three key ECB interest rates unchanged. Since the last Governing Council meeting in January, inflation has declined further. In the latest ECB staff projections, inflation has been revised down, in particular for 2024 which mainly reflects a lower contribution from energy prices. Staff now project inflation to average 2.3% in 2024, 2.0% in 2025 and 1.9% in 2026. The projections for inflation excluding energy and food have also been revised down and average 2.6% for 2024, 2.1% for 2025 and 2.0% for 2026. Although most measures of underlying inflation have eased further, domestic price pressures remain high, in part owing to strong growth in wages. Financing conditions are restrictive and the past interest rate increases continue to weigh on demand, which is helping push down inflation. Staff have revised down their growth projection for 2024 to 0.6%, with economic activity expected to remain subdued in the near term. Thereafter, staff expect the economy to pick up and to grow at 1.5% in 2025 and 1.6% in 2026, supported initially by consumption and later also by investment. The Governing Council is determined to ensure that inflation returns to its 2% medium-term target in a timely manner. Based on its current assessment, the Governing Council considers that the key ECB interest rates are at levels that, maintained for a sufficiently long duration, will make a substantial contribution to this goal. The Governing Council’s future decisions will ensure that policy rates will be set at sufficiently restrictive levels for as long as necessary. The Governing Council will continue to follow a data-dependent approach to determining the appropriate level and duration of restriction. In particular, the Governing Council’s interest rate decisions will be based on its assessment of the inflation outlook in light of the incoming economic and financial data, the dynamics of underlying inflation and the strength of monetary policy transmission.Key ECB interest ratesThe interest rate on the main refinancing operations and the interest rates on the marginal lending facility and the deposit facility will remain unchanged at 4.50%, 4.75% and 4.00% respectively.Asset purchase programme (APP) and pandemic emergency purchase programme (PEPP)The APP portfolio is declining at a measured and predictable pace, as the Eurosystem no longer reinvests the principal payments from maturing securities.The Governing Council intends to continue to reinvest, in full, the principal payments from maturing securities purchased under the PEPP during the first half of 2024. Over the second half of the year, it intends to reduce the PEPP portfolio by €7.5 billion per month on average. The Governing Council intends to discontinue reinvestments under the PEPP at the end of 2024.The Governing Council will continue applying flexibility in reinvesting redemptions coming due in the PEPP portfolio, with a view to countering risks to the monetary policy transmission mechanism related to the pandemic.Refinancing operationsAs banks are repaying the amounts borrowed under the targeted longer-term refinancing operations, the Governing Council will regularly assess how targeted lending operations and their ongoing repayment are contributing to its monetary policy stance. ***The Governing Council stands ready to adjust all of its instruments within its mandate to ensure that inflation returns to its 2% target over the medium term and to preserve the smooth functioning of monetary policy transmission. Moreover, the Transmission Protection Instrument is available to counter unwarranted, disorderly market dynamics that pose a serious threat to the transmission of monetary policy across all euro area countries, thus allowing the Governing Council to more effectively deliver on its price stability mandate.The President of the ECB will comment on the considerations underlying these decisions at a press conference starting at 14:45 CET today."
2024-01-25,Monetary Policy Decisions,"25 January 2024 The Governing Council today decided to keep the three key ECB interest rates unchanged. The incoming information has broadly confirmed its previous assessment of the medium-term inflation outlook. Aside from an energy-related upward base effect on headline inflation, the declining trend in underlying inflation has continued, and the past interest rate increases keep being transmitted forcefully into financing conditions. Tight financing conditions are dampening demand, and this is helping to push down inflation.The Governing Council is determined to ensure that inflation returns to its 2% medium-term target in a timely manner. Based on its current assessment, the Governing Council considers that the key ECB interest rates are at levels that, maintained for a sufficiently long duration, will make a substantial contribution to this goal. The Governing Council’s future decisions will ensure that its policy rates will be set at sufficiently restrictive levels for as long as necessary.The Governing Council will continue to follow a data-dependent approach to determining the appropriate level and duration of restriction. In particular, the Governing Council’s interest rate decisions will be based on its assessment of the inflation outlook in light of the incoming economic and financial data, the dynamics of underlying inflation and the strength of monetary policy transmission.Key ECB interest ratesThe interest rate on the main refinancing operations and the interest rates on the marginal lending facility and the deposit facility will remain unchanged at 4.50%, 4.75% and 4.00% respectively.Asset purchase programme (APP) and pandemic emergency purchase programme (PEPP)The APP portfolio is declining at a measured and predictable pace, as the Eurosystem no longer reinvests the principal payments from maturing securities.The Governing Council intends to continue to reinvest, in full, the principal payments from maturing securities purchased under the PEPP during the first half of 2024. Over the second half of the year, it intends to reduce the PEPP portfolio by €7.5 billion per month on average. The Governing Council intends to discontinue reinvestments under the PEPP at the end of 2024.The Governing Council will continue applying flexibility in reinvesting redemptions coming due in the PEPP portfolio, with a view to countering risks to the monetary policy transmission mechanism related to the pandemic.Refinancing operationsAs banks are repaying the amounts borrowed under the targeted longer-term refinancing operations, the Governing Council will regularly assess how targeted lending operations and their ongoing repayment are contributing to its monetary policy stance. ***The Governing Council stands ready to adjust all of its instruments within its mandate to ensure that inflation returns to its 2% target over the medium term and to preserve the smooth functioning of monetary policy transmission. Moreover, the Transmission Protection Instrument is available to counter unwarranted, disorderly market dynamics that pose a serious threat to the transmission of monetary policy across all euro area countries, thus allowing the Governing Council to more effectively deliver on its price stability mandate.The President of the ECB will comment on the considerations underlying these decisions at a press conference starting at 14:45 CET today."
2023-12-14,Monetary Policy Decisions,"14 December 2023The Governing Council today decided to keep the three key ECB interest rates unchanged. While inflation has dropped in recent months, it is likely to pick up again temporarily in the near term. According to the latest Eurosystem staff projections for the euro area, inflation is expected to decline gradually over the course of next year, before approaching the Governing Council’s 2% target in 2025. Overall, staff expect headline inflation to average 5.4% in 2023, 2.7% in 2024, 2.1% in 2025 and 1.9% in 2026. Compared with the September staff projections, this amounts to a downward revision for 2023 and especially for 2024.Underlying inflation has eased further. But domestic price pressures remain elevated, primarily owing to strong growth in unit labour costs. Eurosystem staff expect inflation excluding energy and food to average 5.0% in 2023, 2.7% in 2024, 2.3% in 2025 and 2.1% in 2026.The past interest rate increases continue to be transmitted forcefully to the economy. Tighter financing conditions are dampening demand, and this is helping to push down inflation. Eurosystem staff expect economic growth to remain subdued in the near term. Beyond that, the economy is expected to recover because of rising real incomes – as people benefit from falling inflation and growing wages – and improving foreign demand. Eurosystem staff therefore see growth picking up from an average of 0.6% for 2023 to 0.8% for 2024, and to 1.5% for both 2025 and 2026.The Governing Council is determined to ensure that inflation returns to its 2% medium-term target in a timely manner. Based on its current assessment, the Governing Council considers that the key ECB interest rates are at levels that, maintained for a sufficiently long duration, will make a substantial contribution to this goal. The Governing Council’s future decisions will ensure that its policy rates will be set at sufficiently restrictive levels for as long as necessary.The Governing Council will continue to follow a data-dependent approach to determining the appropriate level and duration of restriction. In particular, its interest rate decisions will be based on its assessment of the inflation outlook in light of the incoming economic and financial data, the dynamics of underlying inflation and the strength of monetary policy transmission.The key ECB interest rates are the primary tool for setting the monetary policy stance. The Governing Council also decided today to advance the normalisation of the Eurosystem’s balance sheet. It intends to continue to reinvest, in full, the principal payments from maturing securities purchased under the pandemic emergency purchase programme (PEPP) during the first half of 2024. Over the second half of the year, it intends to reduce the PEPP portfolio by €7.5 billion per month on average. The Governing Council intends to discontinue reinvestments under the PEPP at the end of 2024.Key ECB interest ratesThe interest rate on the main refinancing operations and the interest rates on the marginal lending facility and the deposit facility will remain unchanged at 4.50%, 4.75% and 4.00% respectively.Asset purchase programme (APP) and pandemic emergency purchase programme (PEPP)The APP portfolio is declining at a measured and predictable pace, as the Eurosystem no longer reinvests the principal payments from maturing securities.The Governing Council intends to continue to reinvest, in full, the principal payments from maturing securities purchased under the PEPP during the first half of 2024. Over the second half of the year, it intends to reduce the PEPP portfolio by €7.5 billion per month on average. The Governing Council intends to discontinue reinvestments under the PEPP at the end of 2024.The Governing Council will continue applying flexibility in reinvesting redemptions coming due in the PEPP portfolio, with a view to countering risks to the monetary policy transmission mechanism related to the pandemic.Refinancing operationsAs banks are repaying the amounts borrowed under the targeted longer-term refinancing operations, the Governing Council will regularly assess how targeted lending operations and their ongoing repayment are contributing to its monetary policy stance. ***The Governing Council stands ready to adjust all of its instruments within its mandate to ensure that inflation returns to its 2% target over the medium term and to preserve the smooth functioning of monetary policy transmission. Moreover, the Transmission Protection Instrument is available to counter unwarranted, disorderly market dynamics that pose a serious threat to the transmission of monetary policy across all euro area countries, thus allowing the Governing Council to more effectively deliver on its price stability mandate. The President of the ECB will comment on the considerations underlying these decisions at a press conference starting at 14:45 CET today."
2023-10-26,Monetary Policy Decisions,"26 October 2023 The Governing Council today decided to keep the three key ECB interest rates unchanged. The incoming information has broadly confirmed its previous assessment of the medium-term inflation outlook. Inflation is still expected to stay too high for too long, and domestic price pressures remain strong. At the same time, inflation dropped markedly in September, including due to strong base effects, and most measures of underlying inflation have continued to ease. The Governing Council’s past interest rate increases continue to be transmitted forcefully into financing conditions. This is increasingly dampening demand and thereby helps push down inflation. The Governing Council is determined to ensure that inflation returns to its 2% medium-term target in a timely manner. Based on its current assessment, the Governing Council considers that the key ECB interest rates are at levels that, maintained for a sufficiently long duration, will make a substantial contribution to this goal. The Governing Council’s future decisions will ensure that its policy rates will be set at sufficiently restrictive levels for as long as necessary. The Governing Council will continue to follow a data-dependent approach to determining the appropriate level and duration of restriction. In particular, the Governing Council’s interest rate decisions will be based on its assessment of the inflation outlook in light of the incoming economic and financial data, the dynamics of underlying inflation and the strength of monetary policy transmission.Key ECB interest ratesThe interest rate on the main refinancing operations and the interest rates on the marginal lending facility and the deposit facility will remain unchanged at 4.50%, 4.75% and 4.00% respectively.Asset purchase programme (APP) and pandemic emergency purchase programme (PEPP)The APP portfolio is declining at a measured and predictable pace, as the Eurosystem no longer reinvests the principal payments from maturing securities.As concerns the PEPP, the Governing Council intends to reinvest the principal payments from maturing securities purchased under the programme until at least the end of 2024. In any case, the future roll-off of the PEPP portfolio will be managed to avoid interference with the appropriate monetary policy stance.The Governing Council will continue applying flexibility in reinvesting redemptions coming due in the PEPP portfolio, with a view to countering risks to the monetary policy transmission mechanism related to the pandemic.Refinancing operationsAs banks are repaying the amounts borrowed under the targeted longer-term refinancing operations, the Governing Council will regularly assess how targeted lending operations and their ongoing repayment are contributing to its monetary policy stance. ***The Governing Council stands ready to adjust all of its instruments within its mandate to ensure that inflation returns to its 2% target over the medium term and to preserve the smooth functioning of monetary policy transmission. Moreover, the Transmission Protection Instrument is available to counter unwarranted, disorderly market dynamics that pose a serious threat to the transmission of monetary policy across all euro area countries, thus allowing the Governing Council to more effectively deliver on its price stability mandate. The President of the ECB will comment on the considerations underlying these decisions at a press conference starting at 14:45 CET today."
